locus_tag,name,tnseq_ess,crispr_ess
MSMEG0001,dnaN,Essential,Essential
MSMEG0002,MSMEG0002,NonEssential,NonEssential
MSMEG0003,recF,NonEssential,NonEssential
MSMEG0004,MSMEG0004,NonEssential,NonEssential
MSMEG0005,gyrB,Essential,Essential
MSMEG0006,gyrA,Essential,Essential
MSMEG0007,MSMEG0007,NonEssential,NonEssential
MSMEG0008,MSMEG0008,Uncertain,NonEssential
MSMEG0010,MSMEG0010,Uncertain,NonEssential
MSMEG0011,MSMEG0011,NonEssential,NonEssential
MSMEG0012,MSMEG0012,NonEssential,NonEssential
MSMEG0013,MSMEG0013,Uncertain,NonEssential
MSMEG0014,MSMEG0014,NonEssential,NonEssential
MSMEG0015,MSMEG0015,NonEssential,NonEssential
MSMEG0016,MSMEG0016,NonEssential,NonEssential
MSMEG0017,MSMEG0017,NonEssential,NonEssential
MSMEG0018,MSMEG0018,NonEssential,NonEssential
MSMEG0019,MSMEG0019,NonEssential,NonEssential
MSMEG0020,MSMEG0020,NonEssential,NonEssential
MSMEG0021,panD,NonEssential,NonEssential
MSMEG0022,MSMEG0022,NonEssential,NonEssential
MSMEG0023,MSMEG0023,NonEssential,NonEssential
MSMEG0024,MSMEG0024,NonEssential,NonEssential
MSMEG0025,MSMEG0025,NonEssential,NonEssential
MSMEG0026,MSMEG0026,NonEssential,NonEssential
MSMEG0027,MSMEG0027,NonEssential,NonEssential
MSMEG0028,MSMEG0028,Essential,Essential
MSMEG0029,MSMEG0029,Essential,NonEssential
MSMEG0030,pknA,Essential,Essential
MSMEG0031,MSMEG0031,NonEssential,NonEssential
MSMEG0032,MSMEG0032,NonEssential,NonEssential
MSMEG0033,MSMEG0033,NonEssential,Essential
MSMEG0034,MSMEG0034,NonEssential,NonEssential
MSMEG0035,MSMEG0035,Essential,NonEssential
MSMEG0036,MSMEG0036,NonEssential,NonEssential
MSMEG0038,MSMEG0038,Uncertain,NonEssential
MSMEG0039,MSMEG0039,NonEssential,NonEssential
MSMEG0040,MSMEG0040,NonEssential,NonEssential
MSMEG0041,MSMEG0041,NonEssential,NonEssential
MSMEG0042,MSMEG0042,NonEssential,NonEssential
MSMEG0043,MSMEG0043,NonEssential,NonEssential
MSMEG0044,MSMEG0044,NonEssential,NonEssential
MSMEG0045,MSMEG0045,NonEssential,NonEssential
MSMEG0046,MSMEG0046,NonEssential,NonEssential
MSMEG0047,MSMEG0047,NonEssential,NonEssential
MSMEG0048,MSMEG0048,NonEssential,NonEssential
MSMEG0049,MSMEG0049,NonEssential,NonEssential
MSMEG0050,MSMEG0050,NonEssential,NonEssential
MSMEG0051,MSMEG0051,NonEssential,NonEssential
MSMEG0052,MSMEG0052,NonEssential,NonEssential
MSMEG0053,MSMEG0053,NonEssential,NonEssential
MSMEG0055,MSMEG0055,NonEssential,NonEssential
MSMEG0056,MSMEG0056,NonEssential,NonEssential
MSMEG0057,MSMEG0057,NonEssential,NonEssential
MSMEG0058,MSMEG0058,NonEssential,NonEssential
MSMEG0059,MSMEG0059,NonEssential,NonEssential
MSMEG0060,MSMEG0060,NonEssential,NonEssential
MSMEG0061,MSMEG0061,NonEssential,NonEssential
MSMEG0062,MSMEG0062,NonEssential,NonEssential
MSMEG0064,MSMEG0064,NonEssential,NonEssential
