gene	HalfLife_vals_logPhase	HalfLife_cls_logPhase	HalfLife_BestIntervalMSE_logPhase	HalfLife_vals_hypoxia	HalfLife_cls_hypoxia	HalfLife_BestIntervalMSE_hypoxia	HalfLife_FC_hypoxiaToLogPhase	HalfLife_FCcls_hypoxiaToLogPhase
MSMEG_0001	0.75	Med-fast	0.0185	26.21	Med-slow	0.125	34.95	Med-large
MSMEG_0002	0.92	Med-fast	0.0913	66.82	Slow	0.0612	72.63	Large
MSMEG_0003	0.68	Fast	0.0754	47.84	Slow	0.067	70.35	Large
MSMEG_0005	0.98	Med-slow	0.0518	10.9	Fast	0.0873	11.12	Small
MSMEG_0006	1.65	Slow	0.2381	47.58	Slow	0.0485	28.84	Med-large
MSMEG_0007	1.49	Slow	0.2344	48.54	Slow	0.0761	32.58	Med-large
MSMEG_0009	0.62	Fast	0.3405	12.29	Fast	0.0766	19.82	Med-small
MSMEG_0011	0.64	Fast	0.3486	15.69	Fast	0.1764	24.52	Med-small
MSMEG_0012	0.97	Med-slow	0.0856	NA	NA	NA	NA	NA
MSMEG_0015	1.56	Slow	0.1332	24.69	Med-slow	0.4434	15.83	Small
MSMEG_0017	0.74	Med-fast	0.0685	NA	NA	NA	NA	NA
MSMEG_0019	5.24	Slow	0.2181	26.36	Med-slow	0.2409	5.03	Small
MSMEG_0020	1.12	Med-slow	0.1376	NA	NA	NA	NA	NA
MSMEG_0021	0.82	Med-fast	0.0364	NA	NA	NA	NA	NA
MSMEG_0022	0.94	Med-fast	0.0861	NA	NA	NA	NA	NA
MSMEG_0023	2.23	Slow	0.0418	23.79	Med-fast	0.1433	10.67	Small
MSMEG_0024	1.06	Med-slow	0.3176	24.47	Med-slow	0.0868	23.08	Med-small
MSMEG_0025	0.75	Med-fast	0.0432	32.13	Med-slow	0.136	42.84	Large
MSMEG_0026	0.64	Fast	0.0613	10.26	Fast	0.1032	16.03	Small
MSMEG_0027	1.54	Slow	0.1886	18.31	Med-fast	0.1505	11.89	Small
MSMEG_0028	1.64	Slow	0.0562	112.23	Slow	0.0833	68.43	Large
MSMEG_0029	0.67	Fast	0.0786	18.4	Med-fast	0.1888	27.46	Med-large
MSMEG_0030	1.53	Slow	0.1754	41.59	Slow	0.076	27.18	Med-large
MSMEG_0031	1.4	Slow	0.3591	58.23	Slow	0.0933	41.59	Large
MSMEG_0032	NA	NA	NA	97.99	Slow	0.073	NA	NA
MSMEG_0033	0.97	Med-slow	0.066	26.8	Med-slow	0.0586	27.63	Med-large
MSMEG_0034	0.61	Fast	0.165	21.97	Med-fast	0.0623	36.02	Med-large
MSMEG_0035	1.22	Med-slow	0.0282	58.57	Slow	0.0854	48.01	Large
MSMEG_0042	0.64	Fast	0.1083	18.97	Med-fast	0.2598	29.64	Med-large
MSMEG_0043	0.84	Med-fast	0.1248	16.1	Fast	0.1008	19.17	Med-small
MSMEG_0044	0.76	Med-fast	0.0777	17.9	Med-fast	0.0961	23.55	Med-small
MSMEG_0045	2.5	Slow	0.42	41.8	Slow	0.0797	16.72	Small
MSMEG_0046	1.36	Med-slow	0.463	57.56	Slow	0.0444	42.32	Large
MSMEG_0047	0.88	Med-fast	0.0144	22.57	Med-fast	0.1697	25.65	Med-small
MSMEG_0048	1.1	Med-slow	0.0268	25.2	Med-slow	0.1941	22.91	Med-small
MSMEG_0049	0.52	Fast	0.0502	21.02	Med-fast	0.2298	40.42	Large
MSMEG_0050	1.15	Med-slow	0.1723	NA	NA	NA	NA	NA
MSMEG_0051	0.82	Med-fast	0.3289	NA	NA	NA	NA	NA
MSMEG_0052	0.83	Med-fast	0.1128	17.2	Fast	0.1238	20.72	Med-small
MSMEG_0053	0.74	Med-fast	0.0347	16.93	Fast	0.1069	22.88	Med-small
MSMEG_0054	0.44	Fast	0.0584	19.92	Med-fast	0.1394	45.27	Large
MSMEG_0055	1.04	Med-slow	0.0727	106.31	Slow	0.1426	102.22	Large
MSMEG_0056	0.62	Fast	0.0958	56.46	Slow	0.1281	91.06	Large
MSMEG_0057	0.94	Med-fast	0.0235	48.64	Slow	0.1412	51.74	Large
MSMEG_0058	0.95	Med-fast	0.0362	NA	NA	NA	NA	NA
MSMEG_0059	NA	NA	NA	73.96	Slow	0.1549	NA	NA
MSMEG_0060	1.37	Med-slow	0.4404	NA	NA	NA	NA	NA
MSMEG_0061	1.54	Slow	0.1523	128.24	Slow	0.2194	83.27	Large
MSMEG_0062	1.7	Slow	0.203	118	Slow	0.1664	69.41	Large
MSMEG_0063	2.7	Slow	0.2314	NA	NA	NA	NA	NA
MSMEG_0064	2.89	Slow	0.1601	NA	NA	NA	NA	NA
MSMEG_0065	4.87	Slow	0.1398	NA	NA	NA	NA	NA
MSMEG_0066	5.26	Slow	0.1349	NA	NA	NA	NA	NA
MSMEG_0067	2.64	Slow	0.215	NA	NA	NA	NA	NA
