,No zero values in 0-15 minute timepoints,half-life for 0-15 minutes,Fold change half-life hypoxia/con no atc,hyp_1_5_slope,hyp_1_5_r2,hyp_1_5_mse,log2 hypoxia half-life,log2 con no atc half-life,con no atc half-life
MSMEG_2027,pass,9.15,2.22,-0.109279579579579,0.849697178088377,0.0562749619579579,3.19,2.04419513525472,4.12443109749319
MSMEG_2449,pass,17.67,3.21,-0.0566012012012012,0.663416866081569,0.0433003451171171,4.14,2.46242229728619,5.51141321820606
MSMEG_5406,pass,7.06,3.28,-0.141692192192192,0.809592207502864,0.125789519531531,2.82,1.10375952550249,2.14914008811475
MSMEG_5136,pass,10.46,3.50,-0.0956072072072072,0.715497909252371,0.0968261308828828,3.39,1.57928445247644,2.98821603502709
MSMEG_5329,pass,7.36,3.55,-0.135841891891892,0.632365495860258,0.285791799648648,2.88,1.05349370131098,2.0755500207555
MSMEG_3903,pass,15.51,3.70,-0.0644713213213213,0.582486710118652,0.0793691347117117,3.96,2.06796043251766,4.19293490468561
MSMEG_4167,pass,10.66,3.78,-0.0938510510510509,0.533277205353778,0.205361247459459,3.41,1.49478655093095,2.81822451855331
MSMEG_4046,pass,10.49,3.96,-0.0952930930930931,0.663291638603316,0.122802284684684,3.39,1.40723601778909,2.65228538590753
MSMEG_4499,pass,7.76,4.08,-0.12886006006006,0.764276417862071,0.136434263903903,2.96,0.926911008864646,1.90120092525112
MSMEG_6090,pass,14.70,4.31,-0.0680453453453453,0.611150335036323,0.0784810383783784,3.88,1.76933437697936,3.40896639327298
MSMEG_4368,pass,12.72,4.49,-0.0785977477477477,0.42204045482846,0.225370870087086,3.67,1.5035546945853,2.83540475402864
MSMEG_2983,pass,11.87,4.62,-0.0842355855855856,0.578959471071587,0.137467855864864,3.57,1.36302356909253,2.5722369887679
MSMEG_6031,pass,13.07,4.69,-0.0764863363363363,0.259792900284788,0.444045942759759,3.71,1.48002204841846,2.78952996420104
MSMEG_4688,pass,15.86,4.80,-0.0630472972972972,0.650699312890904,0.0568442132942943,3.99,1.72514057938028,3.30612341286398
