,half-life best interval,Hypoxia half-life,Fold increase in hypoxia
MSMEG_2027,4.12443109749319,9.15084047584375,2.21869156243284
MSMEG_2449,5.51141321820606,17.6674695726913,3.20561512505172
MSMEG_5406,2.14914008811475,7.05755189843908,3.28389570203869
MSMEG_5136,2.98821603502709,10.4594625155479,3.50023639286611
MSMEG_5329,2.0755500207555,7.36149935835579,3.54677039085582
MSMEG_3903,4.19293490468561,15.5107725342879,3.69926385381147
MSMEG_4167,2.81822451855331,10.6551816820468,3.78081363351294
MSMEG_4046,2.65228538590753,10.4939399860081,3.95656517272458
MSMEG_4499,1.90120092525112,7.76035646370111,4.08181816063238
MSMEG_6090,3.40896639327298,14.6960823686731,4.31100828616948
MSMEG_4368,2.83540475402864,12.7230108833323,4.48719388836991
MSMEG_2983,2.5722369887679,11.8714673026636,4.61523077169885
MSMEG_6031,2.78952996420104,13.074230612938,4.68689377089471
MSMEG_4688,3.30612341286398,15.8611081341764,4.79749427152705
MSMEG_0493,2.30370512574391,11.1451937606996,4.83794285829034
MSMEG_2415,1.96782143426071,9.64972651863666,4.90376126137785
MSMEG_3137,2.8028215069837,13.796074954531,4.92220960919408
MSMEG_5680,3.19348492050305,15.8005243116926,4.94773725413541
MSMEG_3970,2.35356747593898,11.821463944535,5.02278522514792
MSMEG_0019,5.23628747218225,26.3581783570069,5.03375311172937
MSMEG_6684,2.77854959711031,14.1935566367664,5.10826103357222
MSMEG_3973,2.90923196276183,14.9578552322173,5.14151343848749
MSMEG_2487,3.83659748611517,19.853098991248,5.17466298278548
MSMEG_1107,7.10985446437039,37.097277304933,5.2177266765218
MSMEG_6345,1.43650641639533,7.78707836069144,5.42084481615599
MSMEG_5336,1.86273422774144,10.1527795139471,5.45047133549337
MSMEG_1947,3.0480060960122,16.7632778500719,5.49975207464441
MSMEG_1254,2.65898515399956,14.686716460369,5.5234292821371
MSMEG_5496,3.09900890743704,17.5286683212747,5.65621746978822
MSMEG_6801,6.37442249117974,36.0840661216131,5.66075847208786
MSMEG_6878,2.26215098241986,12.8360303130758,5.67425888582595
MSMEG_0216,3.45093914843969,19.6850393700787,5.70425571803522
MSMEG_5246,2.94118676886124,17.1011716613557,5.81437800632324
MSMEG_6710,2.09475264462522,12.2421519717953,5.84419931546886
MSMEG_3794,1.39401965567714,8.14719759645442,5.8443921958166
MSMEG_4891,5.48582176303863,32.5881126785374,5.940424987575
MSMEG_2057,2.64352948951558,15.8519720948167,5.99651797253888
MSMEG_2759,1.32989671135542,8.0253340274163,6.03455438222488
MSMEG_2570,2.3216220399319,14.0232963589964,6.04030118503171
MSMEG_5154,2.46704729682103,14.9178510230823,6.04684435612768
MSMEG_5275,2.89003419873802,17.6065181127716,6.09214870898752
MSMEG_6879,2.0845638050238,12.76568828336,6.12391343099918
MSMEG_2297,1.53578376164636,9.42958113404166,6.13991459574566
MSMEG_5558,6.51657760677274,40.0264438968689,6.14224924679314
MSMEG_4753,3.29236172080773,20.4224315572564,6.20297321165734
MSMEG_2004,1.6990188166334,10.6103669338907,6.2449967181147
MSMEG_1017,1.50598629552471,9.45837321661383,6.2805174553852
MSMEG_6159,2.93611398930659,18.626192453875,6.34382470221256
MSMEG_3793,1.33741350596582,8.56590538147224,6.40482942879086
MSMEG_0565,2.03924280001631,13.0610259769295,6.40484104042198
MSMEG_4164,2.06490690711361,13.2816161293861,6.43206533119285
MSMEG_5355,1.00465490104149,6.46814825461976,6.4381791677067
MSMEG_4005,2.42916384710149,15.708584529167,6.466663229782
MSMEG_3519,2.80964645282136,18.1916515069571,6.4747119655178
MSMEG_2659,2.16109857902623,14.0190456945111,6.48699963554089
MSMEG_3479,4.26825420979769,27.710743113922,6.49228976341488
MSMEG_0966,1.71877557701752,11.2866817155756,6.56669891432868
MSMEG_4586,1.94256932544281,12.8250554596993,6.60210953180568
MSMEG_4272,2.14362272240086,14.2130029770479,6.63036588879284
MSMEG_4890,4.96920890914344,33.0150798608013,6.64393074721671
