,mse best interval
MSMEG_2027,0.441984782400966
MSMEG_2449,0.209609754629629
MSMEG_5406,0.026249872830688
MSMEG_5136,0.480060272294685
MSMEG_5329,0.158569796543209
MSMEG_3903,0.168323988809523
MSMEG_4167,0.0641596106172839
MSMEG_4046,0.0764088491358025
MSMEG_4499,0.0537789133950617
MSMEG_6090,0.10018512521164
MSMEG_4368,0.0605721148765431
MSMEG_2983,0.0697210837037037
MSMEG_6031,0.195687496358024
MSMEG_4688,0.247603166137566
MSMEG_0493,0.442905297777777
MSMEG_2415,0.110469582645502
MSMEG_3137,0.057200763765432
MSMEG_5680,0.173220123033816
MSMEG_3970,0.233973072513227
MSMEG_0019,0.218065144999999
MSMEG_6684,0.0248060758024691
MSMEG_3973,0.0589476809876544
MSMEG_2487,0.309936026137566
MSMEG_1107,0.429538009096618
MSMEG_6345,0.339849958024691
MSMEG_5336,0.229875279285714
MSMEG_1947,0.040798442037037
MSMEG_1254,0.0303320726543209
MSMEG_5496,0.302172562968253
MSMEG_6801,0.195086194942028
MSMEG_6878,0.294361917460317
MSMEG_0216,0.136162617460317
MSMEG_5246,0.225663291349206
MSMEG_6710,0.204593973148148
MSMEG_3794,0.0367170311728393
MSMEG_4891,0.144576624550264
MSMEG_2057,0.44742955579365
MSMEG_2759,0.0370390505820107
MSMEG_2570,0.207056348148148
MSMEG_5154,0.0320246645238095
MSMEG_5275,0.0440021096913577
MSMEG_6879,0.0749029701851852
MSMEG_2297,0.0575939506172838
MSMEG_5558,0.39512272010628
MSMEG_4753,0.050316690617284
MSMEG_2004,0.363030758333333
MSMEG_1017,0.0491613998148147
MSMEG_6159,0.168165351425121
MSMEG_3793,0.0726685178042327
MSMEG_0565,0.0580211047142854
MSMEG_4164,0.0719677775925926
MSMEG_5355,0.189442625925925
MSMEG_4005,0.0933870646825397
MSMEG_3519,0.0845105598148147
MSMEG_2659,0.145845817428571
MSMEG_3479,0.160086002405797
MSMEG_0966,0.27890317563492
MSMEG_4586,0.169857113571428
MSMEG_4272,0.0364789266666667
MSMEG_4890,0.142885942526569
MSMEG_3385,0.256880512333333
MSMEG_2954,0.147637445811594
MSMEG_1453,0.105484260061728
MSMEG_3395,0.464098708994709
MSMEG_6427,0.175659001507935
MSMEG_3564,0.213869099091787
MSMEG_6169,0.31472345047619
MSMEG_1916,0.0406786506172839
MSMEG_4287,0.0158330385802469
MSMEG_6245,0.162802952592592
MSMEG_1919,0.108501272407407
MSMEG_1571,0.237872670761904
MSMEG_6455,0.0522565177777777
MSMEG_5721,0.0874550173816424
MSMEG_1597,0.0124903109259259
MSMEG_0996,0.307103241746032
MSMEG_6342,0.238236675190476
MSMEG_1312,0.461949581587301
MSMEG_4472,0.131317546172839
VBIMycSme59918_3469,0.124433225111111
MSMEG_6600,0.0515356444444446
MSMEG_0372,0.0306772980246912
MSMEG_6559,0.0353397526543209
MSMEG_6488,0.254908606666666
MSMEG_3858,0.0213145119135802
MSMEG_4126,0.0324661193209876
MSMEG_0965,0.165720407859903
MSMEG_2289,0.155661973580246
MSMEG_6876,0.327364085291005
MSMEG_5653,0.044240038765432
MSMEG_5961,0.040380283047619
MSMEG_2754,0.041176867089947
MSMEG_5884,0.078457083765432
MSMEG_1216,0.172204227619047
MSMEG_3748,0.0187827580246914
MSMEG_6880,0.159063632063491
MSMEG_4693,0.0171627563580247
MSMEG_6452,0.0190436913580246
