,No zero values in 0-15 minute timepoints,half-life for 0-15 minutes,hyp_1_5_slope,hyp_1_5_r2,hyp_1_5_mse
MSMEG_2527,pass,3.81,-0.262794444444444,0.81614955972872,0.414439846111111
MSMEG_5535,pass,5.76,-0.17369009009009,0.762046532420116,0.250954419339339
VBIMycSme59918_1950,pass,6.07,-0.16471006006006,0.804455845430452,0.175677886459459
MSMEG_2149,pass,6.45,-0.154945645645645,0.628120992165084,0.37866165445045
MSMEG_5355,pass,6.47,-0.154603753753753,0.670136867975927,0.313432881846847
MSMEG_3385,pass,6.74,-0.14826081081081,0.747435910640946,0.197872118375375
MSMEG_1786,pass,6.84,-0.146284684684684,0.72382127590661,0.217515802906906
MSMEG_1453,pass,6.94,-0.144059759759759,0.620417007247102,0.338253768684684
MSMEG_5406,pass,7.06,-0.141692192192192,0.809592207502864,0.125789519531531
MSMEG_4099,pass,7.14,-0.140106156156156,0.535930498875389,0.45281750939039
MSMEG_5842,pass,7.30,-0.136976726726726,0.609209350265939,0.320630913126126
MSMEG_5505,pass,7.31,-0.136842942942942,0.797439501826547,0.126717338606606
MSMEG_0343,pass,7.32,-0.136524324324324,0.673253321498605,0.24098331206006
MSMEG_5329,pass,7.36,-0.135841891891892,0.632365495860258,0.285791799648648
MSMEG_0776,pass,7.44,-0.134419069069069,0.819626825296767,0.105928243912912
VBIMycSme59918_4501,pass,7.57,-0.132121771771771,0.560130111832132,0.365189524261261
MSMEG_0833,pass,7.61,-0.131374324324324,0.736384502983305,0.164596845726726
MSMEG_3718,pass,7.69,-0.130099549549549,0.520699736690414,0.415055445150149
MSMEG_5142,pass,7.73,-0.129287837837837,0.568942180121607,0.337378156681681
MSMEG_4499,pass,7.76,-0.12886006006006,0.764276417862071,0.136434263903903
MSMEG_2226,pass,7.78,-0.128456606606606,0.780225191388768,0.123824063792792
MSMEG_6345,pass,7.79,-0.128417867867867,0.517435963621602,0.40971651745045
MSMEG_0533,pass,7.81,-0.12802042042042,0.619422893175072,0.268255185957958
MSMEG_2062,pass,7.81,-0.128006756756756,0.468255920960438,0.495700542339339
MSMEG_4751,pass,7.82,-0.127852852852852,0.489648558844944,0.453878835183182
MSMEG_2673,pass,7.84,-0.127545495495495,0.711160515174833,0.176016506459459
MSMEG_2076,pass,7.85,-0.127373573573573,0.522746010233423,0.394595136684684
MSMEG_6188,pass,7.86,-0.127231981981982,0.766871095244139,0.131099356573573
MSMEG_6556,pass,7.94,-0.125972972972973,0.690008335196897,0.189926103207207
MSMEG_6145,pass,7.96,-0.125652252252252,0.785075624902732,0.115146026198198
MSMEG_5648,pass,8.02,-0.124704354354354,0.47463842646066,0.458556512117117
MSMEG_2759,pass,8.03,-0.124605405405405,0.524166506502704,0.375485981177177
MSMEG_6641,pass,8.15,-0.122744294294294,0.445963233641932,0.498627672621621
MSMEG_3794,pass,8.15,-0.122741591591591,0.708066591451988,0.165473104849849
MSMEG_4257,pass,8.17,-0.122453603603603,0.691633942522398,0.178101521942943
MSMEG_4568,pass,8.21,-0.121732582582582,0.592557926833648,0.27144569154054
MSMEG_2677,pass,8.23,-0.121544144144144,0.659234751673675,0.203431174042042
MSMEG_4122,pass,8.24,-0.12135075075075,0.53158924092501,0.345676483207207
MSMEG_1571,pass,8.24,-0.121316066066066,0.503150444872702,0.387166616057057
VBIMycSme59918_2639,pass,8.31,-0.120356006006006,0.706484915596997,0.160323537594594
ORF46,pass,8.35,-0.119742342342342,0.493553850484555,0.39194799606006
MSMEG_6252,pass,8.41,-0.118961111111111,0.465488817414711,0.432904188333332
MSMEG_6196,pass,8.42,-0.118832882882882,0.622801558959772,0.227838800261261
MSMEG_5868,pass,8.42,-0.118712462462462,0.461667948506562,0.437771375684684
MSMEG_5416,pass,8.44,-0.118495645645645,0.603481341968823,0.245775610783783
MSMEG_5797,pass,8.46,-0.118163963963963,0.744434314969986,0.127696936960961
MSMEG_6503,pass,8.56,-0.116872072072072,0.482866773277248,0.389700379843844
MSMEG_3793,pass,8.57,-0.116741891891891,0.820026666660105,0.0796834005375374
MSMEG_0230,pass,8.60,-0.116262912912912,0.774853534814532,0.104631423624624
MSMEG_3053,pass,8.61,-0.116119969969969,0.715559626334464,0.142788575864864
MSMEG_2105,pass,8.64,-0.115799399399399,0.536597479457877,0.308501015279279
MSMEG_3518,pass,8.65,-0.115555705705705,0.464461913818765,0.410163739288288
MSMEG_2832,pass,8.68,-0.115195195195195,0.663509444000743,0.179278711207207
MSMEG_0305,pass,8.69,-0.115021921921921,0.605769296085722,0.229371074486486
MSMEG_4618,pass,8.72,-0.11468048048048,0.468397099129143,0.397636620072071
MSMEG_3012,pass,8.73,-0.114527477477477,0.507445046213307,0.339171447708708
MSMEG_6886,pass,8.75,-0.114306606606606,0.539693828418133,0.296876779903904
MSMEG_3986,pass,8.83,-0.113271171171171,0.449334370630705,0.418881647015015
MSMEG_1966,pass,8.91,-0.112218618618618,0.722677000688986,0.128737690054054
MSMEG_6518,pass,8.93,-0.11204009009009,0.653626539128246,0.177213193006006
MSMEG_0399,pass,8.96,-0.111565765765765,0.632872487636557,0.192352057933933
MSMEG_0303,pass,8.98,-0.111322522522522,0.461615183580137,0.385046354486486
MSMEG_5360,pass,8.99,-0.111264114114114,0.567686866056181,0.251150491648648
MSMEG_0497,pass,8.99,-0.111198498498498,0.443365195574937,0.413562190162162
VBIMycSme59918_5985,pass,9.00,-0.111124774774774,0.62935000645431,0.19374377787087
MSMEG_2768,pass,9.01,-0.111025525525525,0.595663782473891,0.222905787531531
MSMEG_1599,pass,9.04,-0.110614714714714,0.650924756867637,0.17480276072072
MSMEG_5983,pass,9.07,-0.110277177177177,0.618061238033932,0.200201685945945
MSMEG_4982,pass,9.08,-0.110146846846846,0.47361070429163,0.359222804024024
MSMEG_3781,pass,9.14,-0.109427327327327,0.480894086029956,0.344343861261261
MSMEG_2027,pass,9.15,-0.109279579579579,0.849697178088377,0.0562749619579579
MSMEG_0704,pass,9.17,-0.109088588588588,0.720608619293064,0.122915433597597
MSMEG_2691,pass,9.18,-0.108967117117117,0.608488626725018,0.203524670483483
MSMEG_2921,pass,9.18,-0.108904054054054,0.425068772596702,0.427345378495495
MSMEG_6032,pass,9.22,-0.108469669669669,0.742613575174693,0.108635960648648
MSMEG_1198,pass,9.32,-0.107292042042042,0.609243679291703,0.196690879468468
ORF63,pass,9.36,-0.106819969969969,0.435585106304745,0.393880578531531
MSMEG_4449,pass,9.38,-0.106571321321321,0.569294446064616,0.228906669378378
MSMEG_1653,pass,9.38,-0.106553453453453,0.606970456304222,0.195851510282282
MSMEG_3204,pass,9.42,-0.106185585585585,0.492246660456427,0.309838487087087
MSMEG_6648,pass,9.43,-0.106049549549549,0.499089415525109,0.300700206150149
MSMEG_2297,pass,9.43,-0.106049249249249,0.770577417541773,0.0892009138738738
MSMEG_0834,pass,9.45,-0.105844144144144,0.782288904294664,0.0830579647087087
MSMEG_1017,pass,9.46,-0.105726426426426,0.779769620991018,0.084103146018018
