,Delay type,Best interval,slope best interval,half-life best interval,mse best interval,Log2 initial abundance,,,half-life best interval,Log2 initial abundance
MSMEG_4848,0,0-2,-3.8773,0.257911433213834,0.0628261498765432,12.5456,,MSMEG_4848,0.257911433213834,12.5456
MSMEG_2128,0,0-2,-3.70595,0.269836344257208,0.273226468950617,12.1272333333333,,MSMEG_2128,0.269836344257208,12.1272333333333
MSMEG_5527,0,0-2,-3.39671666666666,0.29440194697821,0.205008359320987,14.4495,,MSMEG_5527,0.29440194697821,14.4495
MSMEG_5505,0,0-2,-3.32458333333333,0.300789572628149,0.13569762228395,14.6378333333333,,MSMEG_5505,0.300789572628149,14.6378333333333
MSMEG_4847,0,0-2,-3.26631666666666,0.306155251327949,0.0863166798148148,15.1230333333333,,MSMEG_4847,0.306155251327949,15.1230333333333
MSMEG_0727,1,1-4,-3.13616904761904,0.318860362696071,0.253228078015873,10.2786,,MSMEG_0727,0.318860362696071,10.2786
MSMEG_1601,0,0-2,-3.13416666666666,0.319064078702473,0.101087999506172,15.8306666666667,,MSMEG_1601,0.319064078702473,15.8306666666667
MSMEG_5351,0,0-2,-3.12076666666666,0.320434081368895,0.361544505925925,11.0400666666667,,MSMEG_5351,0.320434081368895,11.0400666666667
MSMEG_3363,0,0-2,-3.10506666666666,0.322054276880798,0.341568320987654,14.1690666666667,,MSMEG_3363,0.322054276880798,14.1690666666667
MSMEG_5135,0,0-2,-3.0066,0.332601609791791,0.119475503950617,11.7693666666667,,MSMEG_5135,0.332601609791791,11.7693666666667
MSMEG_3678,0,0-2,-3.0054,0.332734411392826,0.197976275555555,12.2452333333333,,MSMEG_3678,0.332734411392826,12.2452333333333
MSMEG_6637,0,0-2,-3.00091666666666,0.333231512593375,0.140849669691358,13.1548333333333,,MSMEG_6637,0.333231512593375,13.1548333333333
MSMEG_4121,0,0-2,-2.95403333333333,0.338520215298857,0.113688491358024,13.9281666666667,,MSMEG_4121,0.338520215298857,13.9281666666667
MSMEG_0765,0,0-2,-2.9421,0.339893273512117,0.271628263209876,11.6608,,MSMEG_0765,0.339893273512117,11.6608
MSMEG_0833,0,0-2,-2.93568333333333,0.340636194866613,0.190186287469136,16.1837333333333,,MSMEG_0833,0.340636194866613,16.1837333333333
MSMEG_3566,0,0-2,-2.93406666666666,0.340823884937857,0.374729558765431,12.1484333333333,,MSMEG_3566,0.340823884937857,12.1484333333333
MSMEG_1935,0,0-2,-2.92696666666666,0.341650628067739,0.198013072098765,15.4177333333333,,MSMEG_1935,0.341650628067739,15.4177333333333
MSMEG_3443,0,0-2,-2.92543333333333,0.34182970044324,0.289629179259259,10.2740333333333,,MSMEG_3443,0.34182970044324,10.2740333333333
MSMEG_4921,0,0-2,-2.9223,0.342196215309859,0.291799926666666,15.2603333333333,,MSMEG_4921,0.342196215309859,15.2603333333333
MSMEG_4449,0,0-2,-2.91393333333333,0.343178750371777,0.387279741481481,12.2114,,MSMEG_4449,0.343178750371777,12.2114
MSMEG_4128,0,0-2,-2.91125,0.34349506225848,0.108496173395061,14.8986333333333,,MSMEG_4128,0.34349506225848,14.8986333333333
MSMEG_3849,0,0-2,-2.8748,0.347850285237234,0.45731465728395,6.20493333333333,,MSMEG_3849,0.347850285237234,6.20493333333333
VBIMycSme59918_1007,0,0-2,-2.87003333333333,0.348428008966215,0.0667929483950616,11.8914666666667,,VBIMycSme59918_1007,0.348428008966215,11.8914666666667
MSMEG_3345,0,0-2,-2.84496666666666,0.351497967170091,0.21004779037037,11.8616333333333,,MSMEG_3345,0.351497967170091,11.8616333333333
MSMEG_5557,0,0-2,-2.83791666666666,0.352371164293056,0.0892778741358024,13.1759666666667,,MSMEG_5557,0.352371164293056,13.1759666666667
MSMEG_6188,0,0-2,-2.81165,0.355663044831327,0.334154242283951,14.5974666666667,,MSMEG_6188,0.355663044831327,14.5974666666667
VBIMycSme59918_3999,0,0-2,-2.75615,0.362824955100412,0.144210357098765,12.3289666666667,,VBIMycSme59918_3999,0.362824955100412,12.3289666666667
MSMEG_1817,0,0-2,-2.75566666666666,0.362888593201888,0.0733612437037037,15.9231333333333,,MSMEG_1817,0.362888593201888,15.9231333333333
MSMEG_6204,0,0-2,-2.75223333333333,0.363341286470382,0.257994756543209,11.2461333333333,,MSMEG_6204,0.363341286470382,11.2461333333333
MSMEG_0392,0,0-2,-2.74723333333333,0.364002572284845,0.107422712098765,13.6895333333333,,MSMEG_0392,0.364002572284845,13.6895333333333
MSMEG_1818,0,0-2,-2.74211666666666,0.364681784752656,0.298397726728394,13.6305,,MSMEG_1818,0.364681784752656,13.6305
MSMEG_2371,0,0-2,-2.73085,0.366186352234652,0.123742514135802,13.1072666666667,,MSMEG_2371,0.366186352234652,13.1072666666667
MSMEG_0092,0,0-2,-2.72196666666666,0.367381427644229,0.0596537725925926,15.2973333333333,,MSMEG_0092,0.367381427644229,15.2973333333333
MSMEG_0226,0,0-2,-2.71843333333333,0.367858938359104,0.248275977037037,14.1437,,MSMEG_0226,0.367858938359104,14.1437
MSMEG_0540,0,0-2,-2.70813333333333,0.369258037516617,0.273466752098765,13.1309666666667,,MSMEG_0540,0.369258037516617,13.1309666666667
MSMEG_2768,0,0-2,-2.68483333333333,0.372462598547396,0.16162858691358,14.9063,,MSMEG_2768,0.372462598547396,14.9063
