feature1	rs_abs	region_feature1	type_feature1	kruskal_pval_hl_hypoxia_fdr_feature1	ks_pval_fdr_hl_hypoxia_feature1	avg_fdrPval_hl_hypoxia_feature1	kendall_hl_hypoxia_abs_feature1	feature2	region_feature2	type_feature2	kruskal_pval_hl_hypoxia_fdr_feature2	ks_pval_fdr_hl_hypoxia_feature2	avg_fdrPval_hl_hypoxia_feature2	kendall_hl_hypoxia_abs_feature2
thrprUTR_MFE_20_10nt_5p	0.65300488579635	tpr_UTR	secondaryStructure	0.604091988950276	0.267467941176471	0.435779965063373	0.00848409496722411	thrprUTR_MFE_20_10nt_3pUTR	tpr_UTR	secondaryStructure	0.553929874213836	0.252402073170732	0.403165973692284	0.0289133618956521
thrprUTR_MFE_20_10nt_mid	0.689745968102349	tpr_UTR	secondaryStructure	0.657634558823529	0.7472175	0.702426029411765	0.0300416898067856	thrprUTR_MFE_20_10nt_3pUTR	tpr_UTR	secondaryStructure	0.553929874213836	0.252402073170732	0.403165973692284	0.0289133618956521
fprUTR_MFE_20_10nt_5p	0.755089077813272	fpr_UTR	secondaryStructure	0.0517955980392157	0.0203225357142857	0.0360590668767507	0.0711501620379646	fprUTR_MFE_20_10nt_5pUTR	fpr_UTR	secondaryStructure	0.0140944459459459	0.0571036097560976	0.0355990278510218	0.0795975469298196
fprUTR_MFE_20_10nt_mid	0.660961258454284	fpr_UTR	secondaryStructure	0.0119970606060606	0.0015522225	0.0067746415530303	0.0830538701053073	fprUTR_MFE_20_10nt_5pUTR	fpr_UTR	secondaryStructure	0.0140944459459459	0.0571036097560976	0.0355990278510218	0.0795975469298196
transcript_5p20nt_MFE	0.665119922456994	fpr_transcript	secondaryStructure	0.444114285714286	0.0826745641025641	0.263394424908425	0.0447169557586505	fprUTR_MFE_20_10nt_5p	fpr_UTR	secondaryStructure	0.0517955980392157	0.0203225357142857	0.0360590668767507	0.0711501620379646
CDS_MFE_100_50nt_5p	0.766526451075595	CDS	secondaryStructure	0.0000000689363	0.0000156646	0.00000786676815	0.140642731461883	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000109344	0.00004898705	0.000024548197	0.144589158727288
CDS_MFE_100_50nt_mid	0.788553027114657	CDS	secondaryStructure	0.009593328	0.01157383125	0.010583579625	0.0847367265997783	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000109344	0.00004898705	0.000024548197	0.144589158727288
CDS_MFE_100_50nt_3p	0.727486254810957	CDS	secondaryStructure	0.00000052988625	0.000002774805	0.000001652345625	0.128113567384551	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000109344	0.00004898705	0.000024548197	0.144589158727288
CDS_MFE_20_10nt_CDS	0.833720769041965	CDS	secondaryStructure	0.000203084178571429	0.00430363333333333	0.00225335875595238	0.100386448128613	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000109344	0.00004898705	0.000024548197	0.144589158727288
CDS_MFE_20_10nt_mid	0.624759622668339	CDS	secondaryStructure	0.118275615384615	0.0256368055555556	0.0719562104700855	0.0633944670779978	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000109344	0.00004898705	0.000024548197	0.144589158727288
CDS_MFE_50_25nt_CDS	0.936187145612409	CDS	secondaryStructure	0.00000480650555555555	0.0006954935	0.000350150002777778	0.128554171790366	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000109344	0.00004898705	0.000024548197	0.144589158727288
CDS_MFE_50_25nt_5p	0.678417098308225	CDS	secondaryStructure	0.0000001838815	0.00004106832	0.00002062610075	0.137583419139105	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000109344	0.00004898705	0.000024548197	0.144589158727288
