feature1	rs_abs	region_feature1	type_feature1	kruskal_pval_hl_hypoxia_fdr_feature1	ks_pval_fdr_hl_hypoxia_feature1	avg_fdrPval_hl_hypoxia_feature1	kendall_hl_hypoxia_abs_feature1	feature2	region_feature2	type_feature2	kruskal_pval_hl_hypoxia_fdr_feature2	ks_pval_fdr_hl_hypoxia_feature2	avg_fdrPval_hl_hypoxia_feature2	kendall_hl_hypoxia_abs_feature2
thrprUTR_MFE_20_10nt_5p	0.657554311524603	tpr_UTR	secondaryStructure	0.507341818181818	1	0.753670909090909	0.0534141113708822	thrprUTR_MFE_20_10nt_3pUTR	tpr_UTR	secondaryStructure	0.52150868852459	0.702762826086957	0.612135757305773	0.0472034983025183
thrprUTR_MFE_20_10nt_mid	0.676708549002018	tpr_UTR	secondaryStructure	0.762965126903553	1	0.881482563451777	0.0124216599897199	thrprUTR_MFE_20_10nt_3pUTR	tpr_UTR	secondaryStructure	0.52150868852459	0.702762826086957	0.612135757305773	0.0472034983025183
CDS_MFE_100_50nt_5p	0.685541756318887	CDS	secondaryStructure	0.016491825	0.0143571045454545	0.0154244647727273	0.0907870116380797	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.0000000002438045	0.0000003152903	0.00000015776705225	0.188897480592905
CDS_MFE_100_50nt_mid	0.763009799760167	CDS	secondaryStructure	0.0000002260427125	0.00000178330428571429	0.00000100467349910714	0.158928332329097	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.0000000002438045	0.0000003152903	0.00000015776705225	0.188897480592905
CDS_MFE_100_50nt_3p	0.689571555856975	CDS	secondaryStructure	0.0000000987009666666667	0.000013814079	0.00000695638998333333	0.167270235348589	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.0000000002438045	0.0000003152903	0.00000015776705225	0.188897480592905
CDS_MFE_20_10nt_CDS	0.809032375295966	CDS	secondaryStructure	0.0000138700872727273	0.000283087076923077	0.000148478582097902	0.140307510800792	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.0000000002438045	0.0000003152903	0.00000015776705225	0.188897480592905
CDS_MFE_20_10nt_mid	0.600851132299006	CDS	secondaryStructure	0.000000050673414	0.000003236847875	0.0000016437606445	0.163998012178062	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.0000000002438045	0.0000003152903	0.00000015776705225	0.188897480592905
CDS_MFE_50_25nt_CDS	0.925485859968932	CDS	secondaryStructure	0.000000050673414	0.0000007464125	0.000000398542957	0.166465021069422	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.0000000002438045	0.0000003152903	0.00000015776705225	0.188897480592905
CDS_MFE_50_25nt_5p	0.602558767584148	CDS	secondaryStructure	0.05185975	0.018961	0.035410375	0.0828207988084984	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.0000000002438045	0.0000003152903	0.00000015776705225	0.188897480592905
CDS_MFE_50_25nt_mid	0.675761184485409	CDS	secondaryStructure	0.0000002260427125	0.0000007464125	0.00000048622760625	0.155153559625683	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.0000000002438045	0.0000003152903	0.00000015776705225	0.188897480592905
