feature1	rs_abs	region_feature1	type_feature1	kruskal_pval_hl_logPhase_fdr_feature1	ks_pval_fdr_hl_logPhase_feature1	avg_fdrPval_hl_logPhase_feature1	kendall_hl_logPhase_abs_feature1	feature2	region_feature2	type_feature2	kruskal_pval_hl_logPhase_fdr_feature2	ks_pval_fdr_hl_logPhase_feature2	avg_fdrPval_hl_logPhase_feature2	kendall_hl_logPhase_abs_feature2
thrprUTR_MFE_20_10nt_5p	0.65300488579635	tpr_UTR	secondaryStructure	0.737859293680297	0.526861639344262	0.63236046651228	0.00414416816741088	thrprUTR_MFE_20_10nt_3pUTR	tpr_UTR	secondaryStructure	0.529666904761905	0.133671320754717	0.331669112758311	0.034504350999656
thrprUTR_MFE_20_10nt_mid	0.689745968102349	tpr_UTR	secondaryStructure	0.452320526315789	0.0208748695652174	0.236597697940503	0.0285200493179234	thrprUTR_MFE_20_10nt_3pUTR	tpr_UTR	secondaryStructure	0.529666904761905	0.133671320754717	0.331669112758311	0.034504350999656
fprUTR_MFE_20_10nt_5p	0.755089077813272	fpr_UTR	secondaryStructure	0.797378428093645	0.801918939393939	0.799648683743792	0.00206773710532815	fprUTR_MFE_20_10nt_5pUTR	fpr_UTR	secondaryStructure	0.775389824561404	0.325050114942529	0.550219969751966	0.00179188071304608
fprUTR_MFE_20_10nt_mid	0.660961258454284	fpr_UTR	secondaryStructure	0.827217821782178	0.179570634920635	0.503394228351407	0.0226346584585352	fprUTR_MFE_20_10nt_5pUTR	fpr_UTR	secondaryStructure	0.775389824561404	0.325050114942529	0.550219969751966	0.00179188071304608
transcript_5p20nt_MFE	0.665119922456994	fpr_transcript	secondaryStructure	0.704091967871486	0.526861639344262	0.615476803607874	0.0261235389953647	fprUTR_MFE_20_10nt_5p	fpr_UTR	secondaryStructure	0.797378428093645	0.801918939393939	0.799648683743792	0.00206773710532815
CDS_MFE_100_50nt_5p	0.766526451075595	CDS	secondaryStructure	0.00031356	0.00005672622	0.00018514311	0.068247336441027	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.00000389404	0.0000340348833333333	0.0000189644616666667	0.0905940929281505
CDS_MFE_100_50nt_mid	0.788553027114657	CDS	secondaryStructure	0.00567034027777778	0.0673685	0.0365194201388889	0.0645972865123732	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.00000389404	0.0000340348833333333	0.0000189644616666667	0.0905940929281505
CDS_MFE_100_50nt_3p	0.727486254810957	CDS	secondaryStructure	0.000003396029	0.0000672903333333333	0.0000353431811666667	0.0916497501508689	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.00000389404	0.0000340348833333333	0.0000189644616666667	0.0905940929281505
CDS_MFE_20_10nt_CDS	0.833720769041965	CDS	secondaryStructure	0.000685587352941176	0.000985637	0.000835612176470588	0.0775414206071753	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.00000389404	0.0000340348833333333	0.0000189644616666667	0.0905940929281505
CDS_MFE_20_10nt_mid	0.624759622668339	CDS	secondaryStructure	0.0633033139534884	0.0386627222222222	0.0509830180878553	0.0604923034622949	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.00000389404	0.0000340348833333333	0.0000189644616666667	0.0905940929281505
