feature1	rs_abs	region_feature1	type_feature1	kruskal_pval_hl_logPhase_fdr_feature1	ks_pval_fdr_hl_logPhase_feature1	avg_fdrPval_hl_logPhase_feature1	kendall_hl_logPhase_abs_feature1	feature2	region_feature2	type_feature2	kruskal_pval_hl_logPhase_fdr_feature2	ks_pval_fdr_hl_logPhase_feature2	avg_fdrPval_hl_logPhase_feature2	kendall_hl_logPhase_abs_feature2
thrprUTR_MFE_20_10nt_5p	0.657554311524603	tpr_UTR	secondaryStructure	0.350429081632653	0.579224807692308	0.46482694466248	0.0617966024931368	thrprUTR_MFE_20_10nt_3pUTR	tpr_UTR	secondaryStructure	0.408626272727273	0.302660176470588	0.35564322459893	0.0513169890612841
thrprUTR_MFE_20_10nt_mid	0.676708549002018	tpr_UTR	secondaryStructure	0.903436622222222	1	0.951718311111111	0.00440475986618876	thrprUTR_MFE_20_10nt_3pUTR	tpr_UTR	secondaryStructure	0.408626272727273	0.302660176470588	0.35564322459893	0.0513169890612841
CDS_MFE_100_50nt_5p	0.685541756318887	CDS	secondaryStructure	0.000311378611111111	0.000389974	0.000350676305555556	0.0752569306702217	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
CDS_MFE_100_50nt_mid	0.763009799760167	CDS	secondaryStructure	0.000000277505083333333	0.00000049311335	0.000000385309216666667	0.151821586015254	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
CDS_MFE_100_50nt_3p	0.689571555856975	CDS	secondaryStructure	0.0000637213090909091	0.00100454892857143	0.000534135118831169	0.104661618424723	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
CDS_MFE_20_10nt_CDS	0.809032375295966	CDS	secondaryStructure	0.0000002016375	0.0000455468285714286	0.0000228742330357143	0.121649324800054	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
CDS_MFE_20_10nt_mid	0.600851132299006	CDS	secondaryStructure	0.000000135634825	0.00002386256	0.0000119990974125	0.146221193209737	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
CDS_MFE_50_25nt_CDS	0.925485859968932	CDS	secondaryStructure	0.000000129680033333333	0.000000937852566666667	0.0000005337663	0.127990273075269	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
CDS_MFE_50_25nt_5p	0.602558767584148	CDS	secondaryStructure	0.00428874708333333	0.000232489216666667	0.00226061815	0.0475442570702467	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
CDS_MFE_50_25nt_mid	0.675761184485409	CDS	secondaryStructure	0.000000992198	0.00002636428	0.000013678239	0.144145253101996	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.000000003451468	0.000000003064041	0.0000000032577545	0.151041195146131
