feature1	rs_abs	region_feature1	type_feature1	kruskal_pval_fc_hypoxiaToLogPhase_fdr_feature1	ks_pval_fdr_fc_hypoxiaToLogPhase_feature1	avg_fdrPval_fc_hypoxiaToLogPhase_feature1	kendall_fc_hypoxiaToLogPhase_abs_feature1	feature2	region_feature2	type_feature2	kruskal_pval_fc_hypoxiaToLogPhase_fdr_feature2	ks_pval_fdr_fc_hypoxiaToLogPhase_feature2	avg_fdrPval_fc_hypoxiaToLogPhase_feature2	kendall_fc_hypoxiaToLogPhase_abs_feature2
thrprUTR_MFE_20_10nt_5p	0.65300488579635	tpr_UTR	secondaryStructure	0.952456711409396	1	0.976228355704698	0.0201715008571985	thrprUTR_MFE_20_10nt_3pUTR	tpr_UTR	secondaryStructure	0.626826404494382	0.644342941176471	0.635584672835426	0.0139633137116637
thrprUTR_MFE_20_10nt_mid	0.689745968102349	tpr_UTR	secondaryStructure	0.504368269230769	0.863857547169811	0.68411290820029	0.0211432965052857	thrprUTR_MFE_20_10nt_3pUTR	tpr_UTR	secondaryStructure	0.626826404494382	0.644342941176471	0.635584672835426	0.0139633137116637
fprUTR_MFE_20_10nt_5p	0.755089077813272	fpr_UTR	secondaryStructure	0.632963888888889	0.309227333333333	0.471095611111111	0.0423399312723384	fprUTR_MFE_20_10nt_5pUTR	fpr_UTR	secondaryStructure	0.4879275	0.309347121212121	0.398637310606061	0.0525139733399569
fprUTR_MFE_20_10nt_mid	0.660961258454284	fpr_UTR	secondaryStructure	0.508251886792453	0.309347121212121	0.408799504002287	0.0438136932012532	fprUTR_MFE_20_10nt_5pUTR	fpr_UTR	secondaryStructure	0.4879275	0.309347121212121	0.398637310606061	0.0525139733399569
transcript_5p20nt_MFE	0.665119922456994	fpr_transcript	secondaryStructure	0.955609253246753	1	0.977804626623377	0.0181127155008071	fprUTR_MFE_20_10nt_5p	fpr_UTR	secondaryStructure	0.632963888888889	0.309227333333333	0.471095611111111	0.0423399312723384
CDS_MFE_100_50nt_5p	0.766526451075595	CDS	secondaryStructure	0.0743946842105263	0.0306931785714286	0.0525439313909774	0.0677760693712675	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.17653641025641	0.0796534285714286	0.128094919413919	0.0592067639361178
CDS_MFE_100_50nt_mid	0.788553027114657	CDS	secondaryStructure	0.596585975609756	0.543	0.569792987804878	0.031944587555871	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.17653641025641	0.0796534285714286	0.128094919413919	0.0592067639361178
CDS_MFE_100_50nt_3p	0.727486254810957	CDS	secondaryStructure	0.597735714285714	0.174121833333333	0.385928773809524	0.0370170215388492	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.17653641025641	0.0796534285714286	0.128094919413919	0.0592067639361178
CDS_MFE_20_10nt_CDS	0.833720769041965	CDS	secondaryStructure	0.491246601941748	0.128316964285714	0.309781783113731	0.0363116215433215	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.17653641025641	0.0796534285714286	0.128094919413919	0.0592067639361178
CDS_MFE_20_10nt_mid	0.624759622668339	CDS	secondaryStructure	0.730284633027523	0.560845833333333	0.645565233180428	0.0243332210636102	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.17653641025641	0.0796534285714286	0.128094919413919	0.0592067639361178
CDS_MFE_50_25nt_CDS	0.936187145612409	CDS	secondaryStructure	0.119156034482759	0.00588103666666667	0.0625185355747126	0.064409744294564	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.17653641025641	0.0796534285714286	0.128094919413919	0.0592067639361178
CDS_MFE_50_25nt_5p	0.678417098308225	CDS	secondaryStructure	0.122285151515152	0.0271427307692308	0.0747139411421911	0.0639334154527888	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.17653641025641	0.0796534285714286	0.128094919413919	0.0592067639361178
CDS_MFE_50_25nt_mid	0.722728617416794	CDS	secondaryStructure	0.551936428571429	0.610730769230769	0.581333598901099	0.0153805063569684	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.17653641025641	0.0796534285714286	0.128094919413919	0.0592067639361178
CDS_MFE_50_25nt_3p	0.64968054753604	CDS	secondaryStructure	0.423793406593407	0.18383125	0.303812328296703	0.0515626726879324	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.17653641025641	0.0796534285714286	0.128094919413919	0.0592067639361178
