feature1	rs_abs	region_feature1	type_feature1	kruskal_pval_fc_hypoxiaToLogPhase_fdr_feature1	ks_pval_fdr_fc_hypoxiaToLogPhase_feature1	avg_fdrPval_fc_hypoxiaToLogPhase_feature1	kendall_fc_hypoxiaToLogPhase_abs_feature1	feature2	region_feature2	type_feature2	kruskal_pval_fc_hypoxiaToLogPhase_fdr_feature2	ks_pval_fdr_fc_hypoxiaToLogPhase_feature2	avg_fdrPval_fc_hypoxiaToLogPhase_feature2	kendall_fc_hypoxiaToLogPhase_abs_feature2
thrprUTR_MFE_20_10nt_5p	0.657554311524603	tpr_UTR	secondaryStructure	0.99813	1	0.999065	0.000566798446585318	thrprUTR_MFE_20_10nt_3pUTR	tpr_UTR	secondaryStructure	0.99813	1	0.999065	0.0195780212721826
thrprUTR_MFE_20_10nt_mid	0.676708549002018	tpr_UTR	secondaryStructure	0.971573352601156	1	0.985786676300578	0.00229104564151971	thrprUTR_MFE_20_10nt_3pUTR	tpr_UTR	secondaryStructure	0.99813	1	0.999065	0.0195780212721826
CDS_MFE_100_50nt_5p	0.685541756318887	CDS	secondaryStructure	0.792177415730337	0.966617944444444	0.879397680087391	0.0215794242071614	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
CDS_MFE_100_50nt_mid	0.763009799760167	CDS	secondaryStructure	0.971573352601156	0.966617944444444	0.9690956485228	0.0300486785610783	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
CDS_MFE_100_50nt_3p	0.689571555856975	CDS	secondaryStructure	0.981869900990099	1	0.99093495049505	0.0222347737858811	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
CDS_MFE_20_10nt_CDS	0.809032375295966	CDS	secondaryStructure	0.981869900990099	1	0.99093495049505	0.027267715635338	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
CDS_MFE_20_10nt_mid	0.600851132299006	CDS	secondaryStructure	0.792177415730337	1	0.896088707865168	0.00938226829391801	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
CDS_MFE_50_25nt_CDS	0.925485859968932	CDS	secondaryStructure	0.99813	1	0.999065	0.015758713984627	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
CDS_MFE_50_25nt_5p	0.602558767584148	CDS	secondaryStructure	0.827841121495327	1	0.913920560747664	0.00753473464502092	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
CDS_MFE_50_25nt_mid	0.675761184485409	CDS	secondaryStructure	0.99813	1	0.999065	0.0163842985819555	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
CDS_MFE_50_25nt_3p	0.644200510293952	CDS	secondaryStructure	0.968308658536585	1	0.984154329268293	0.00155011838185075	CDS_MFE_100_50nt_CDS	CDS	secondaryStructure	0.99813	1	0.999065	0.015543558966677
