 	initialAbundance_hypoxia
MSMEG_0001	4793.8569
MSMEG_0002	5379.0648
MSMEG_0003	2542.6171
MSMEG_0004	1387.4044
MSMEG_0005	34406.3297
MSMEG_0006	8434.2126
MSMEG_0007	3576.3451
MSMEG_0009	12646.1215
MSMEG_0011	1048.6027
MSMEG_0012	96.0773
MSMEG_0014	61.8683
MSMEG_0015	103.5211
MSMEG_0016	99.6489
MSMEG_0017	60.7373
MSMEG_0018	17.0403
MSMEG_0019	32.4173
MSMEG_0020	96.1291
MSMEG_0021	24.3144
MSMEG_0022	61.5639
MSMEG_0023	3430.457
MSMEG_0024	28260.2196
MSMEG_0025	760.2084
MSMEG_0026	2757.4065
MSMEG_0027	3435.5071
MSMEG_0028	2027.5425
MSMEG_0029	2375.8426
MSMEG_0030	2179.8048
MSMEG_0031	2296.6081
MSMEG_0032	2456.6013
MSMEG_0033	3547.8591
MSMEG_0034	4108.6438
MSMEG_0035	3149.9489
MSMEG_0036	2.0515
MSMEG_0039	53.1195
MSMEG_0040	62.8798
MSMEG_0041	79.9771
MSMEG_0042	714.6099
MSMEG_0043	2656.9294
MSMEG_0044	2816.9771
MSMEG_0045	1940.6207
MSMEG_0046	1539.19
MSMEG_0047	1125.3685
MSMEG_0048	1224.5519
MSMEG_0049	250.2577
MSMEG_0050	210.4913
MSMEG_0051	69.4329
MSMEG_0052	2904.1012
MSMEG_0053	1587.1821
MSMEG_0054	3454.7469
MSMEG_0055	431.4852
MSMEG_0056	645.2527
MSMEG_0057	1051.5024
MSMEG_0058	382.4354
MSMEG_0059	481.2233
MSMEG_0060	485.8997
MSMEG_0061	487.5044
MSMEG_0062	483.0924
MSMEG_0063	492.9124
MSMEG_0064	327.4992
MSMEG_0065	900.2886
MSMEG_0066	3481.0545
MSMEG_0067	541.9375
MSMEG_0068	443.0408
MSMEG_0069	6689.0459
MSMEG_0070	9279.8047
MSMEG_0071	4450.3264
MSMEG_0072	102.417
MSMEG_0073	801.6348
MSMEG_0074	617.4776
MSMEG_0075	627.3342
MSMEG_0076	840.8049
MSMEG_0077	502.5094
MSMEG_0078	330.002
MSMEG_0079	132.1017
MSMEG_0080	937.1777
MSMEG_0081	610.7873
MSMEG_0082	749.5149
MSMEG_0083	985.2092
MSMEG_0084	580.3018
MSMEG_0085	550.5339
MSMEG_0086	746.7925
MSMEG_0087	582.194
MSMEG_0088	128.9268
MSMEG_0089	78.333
MSMEG_0090	1065.7095
MSMEG_0091	3922.8687
MSMEG_0092	4247.6131
MSMEG_0093	8644.0389
MSMEG_0094	0.0
MSMEG_0095	9889.1698
MSMEG_0096	3216.7913
MSMEG_0097	1503.3196
MSMEG_0098	1021.0281
MSMEG_0099	821.1701
MSMEG_0100	1448.9226
MSMEG_0101	1641.3261
MSMEG_0102	1062.5965
MSMEG_0103	333.1151
MSMEG_0104	1129.7286
MSMEG_0105	196.5095
MSMEG_0106	46.083
MSMEG_0107	3320.8555
