 	initialAbundance_logPhase
MSMEG_0001	70936.5374
MSMEG_0002	63489.8412
MSMEG_0003	35151.4349
MSMEG_0004	23164.59
MSMEG_0005	78309.2862
MSMEG_0006	50311.0538
MSMEG_0007	39844.6726
MSMEG_0009	309755.1885
MSMEG_0011	34494.3251
MSMEG_0012	3527.8099
MSMEG_0014	5186.4732
MSMEG_0015	4187.9322
MSMEG_0016	5119.0222
MSMEG_0017	1919.6724
MSMEG_0018	1373.7015
MSMEG_0019	682.2212
MSMEG_0020	11893.6269
MSMEG_0021	5776.5842
MSMEG_0022	3965.7121
MSMEG_0023	27362.5427
MSMEG_0024	271841.3834
MSMEG_0025	29693.6759
MSMEG_0026	49479.098
MSMEG_0027	6757.5853
MSMEG_0028	47296.8866
MSMEG_0029	25908.4363
MSMEG_0030	42058.0821
MSMEG_0031	31416.8305
MSMEG_0032	37661.3549
MSMEG_0033	51550.0851
MSMEG_0034	81513.3532
MSMEG_0035	57712.9964
MSMEG_0036	51.1059
MSMEG_0039	798.9694
MSMEG_0040	185.4854
MSMEG_0041	1220.5575
MSMEG_0042	10627.871
MSMEG_0043	11719.5573
MSMEG_0044	12532.3469
MSMEG_0045	12277.2079
MSMEG_0046	11169.789
MSMEG_0047	15458.1021
MSMEG_0048	19152.7211
MSMEG_0049	5032.785
MSMEG_0050	3491.3732
MSMEG_0051	3357.8664
MSMEG_0052	24037.5436
MSMEG_0053	14010.0586
MSMEG_0054	5169.515
MSMEG_0055	4538.6867
MSMEG_0056	26241.1095
MSMEG_0057	33790.9157
MSMEG_0058	10667.2725
MSMEG_0059	16944.7135
MSMEG_0060	16224.7956
MSMEG_0061	15869.9071
MSMEG_0062	15063.1992
MSMEG_0063	21380.0032
MSMEG_0064	23773.2933
MSMEG_0065	49958.1242
MSMEG_0066	189007.4369
MSMEG_0067	25489.1688
MSMEG_0068	18431.7593
MSMEG_0069	34102.8293
MSMEG_0070	38974.251
MSMEG_0071	26017.8155
MSMEG_0072	572.3245
MSMEG_0073	4030.2591
MSMEG_0074	3684.0638
MSMEG_0075	4589.3144
MSMEG_0076	17407.7834
MSMEG_0077	21722.752
MSMEG_0078	19062.8547
MSMEG_0079	9823.5894
MSMEG_0080	17401.1131
MSMEG_0081	16493.3532
MSMEG_0082	14260.1097
MSMEG_0083	16075.0286
MSMEG_0084	8449.4305
MSMEG_0085	8023.6691
MSMEG_0086	7218.9082
MSMEG_0087	10286.9615
MSMEG_0088	3269.0994
MSMEG_0089	2259.3656
MSMEG_0090	5572.009
MSMEG_0091	29826.4953
MSMEG_0092	63529.7984
MSMEG_0093	25253.1562
MSMEG_0094	812.5157
MSMEG_0095	15945.9376
MSMEG_0096	52441.5034
MSMEG_0097	22731.2277
MSMEG_0098	10082.0772
MSMEG_0099	9848.6243
MSMEG_0100	11656.2253
MSMEG_0101	29995.6189
MSMEG_0102	10553.5616
MSMEG_0103	2449.2872
MSMEG_0104	3193.7511
MSMEG_0105	1965.9998
MSMEG_0106	1238.6837
MSMEG_0107	15595.8434
MSMEG_0108	28296.5156
MSMEG_0109	31678.4787
MSMEG_0110	46217.6495
MSMEG_0111	7774.1181
MSMEG_0112	859.5897
MSMEG_0113	12581.6399
MSMEG_0114	4375.3842
MSMEG_0115	1363.5588
MSMEG_0116	3841.0954
MSMEG_0117	1162.7065
MSMEG_0118	5619.9619
MSMEG_0119	68006.7084
MSMEG_0120	17274.9559
MSMEG_0121	21065.0654
MSMEG_0122	2487.8351
MSMEG_0123	543.578
MSMEG_0124	3175.6083
MSMEG_0125	285.9618
MSMEG_0126	2926.0349
MSMEG_0127	3082.5638
MSMEG_0128	6336.7519
MSMEG_0129	21612.3453
MSMEG_0130	2701.506
MSMEG_0131	8282.803
MSMEG_0132	51659.0401
MSMEG_0133	37599.2405
MSMEG_0134	28634.6775
MSMEG_0135	28625.2332
MSMEG_0136	27017.2063
MSMEG_0137	20213.739
MSMEG_0138	21060.7664
MSMEG_0139	24452.8428
MSMEG_0140	41475.9803
MSMEG_0141	15980.0736
MSMEG_0142	12224.589
MSMEG_0143	10978.0767
MSMEG_0144	2399.0674
MSMEG_0145	6379.154
MSMEG_0146	20100.5927
MSMEG_0147	1543.9189
MSMEG_0148	2863.3622
MSMEG_0149	904.5663
MSMEG_0150	2282.3444
MSMEG_0151	1130.5641
MSMEG_0152	1110.5929
MSMEG_0153	2179.4629
MSMEG_0154	2152.6575
MSMEG_0155	2565.5499
MSMEG_0156	2350.4242
MSMEG_0157	1902.9293
MSMEG_0158	10346.1049
MSMEG_0159	931.9877
MSMEG_0160	1126.6561
MSMEG_0161	1075.0345
MSMEG_0162	1230.541
