 	SD_GA_percent	SD_GA_count
MSMEG_0002	0.9286	11
MSMEG_0003	0.6429	6
MSMEG_0004	0.5	3
MSMEG_0006	0.6429	6
MSMEG_0009	0.6429	6
MSMEG_0011	0.4286	3
MSMEG_0012	0.5714	4
MSMEG_0014	0.5714	5
MSMEG_0017	0.4286	1
MSMEG_0018	0.5714	5
MSMEG_0019	0.6429	5
MSMEG_0022	0.7143	5
MSMEG_0025	0.7857	7
MSMEG_0031	0.7857	8
MSMEG_0035	0.6429	4
MSMEG_0039	0.5714	5
MSMEG_0040	0.4286	3
MSMEG_0041	0.5	3
MSMEG_0043	0.5	4
MSMEG_0045	0.3571	1
MSMEG_0054	0.5714	4
MSMEG_0057	0.6429	6
MSMEG_0058	0.7143	7
MSMEG_0059	0.5714	4
MSMEG_0062	0.5714	2
MSMEG_0063	0.8571	9
MSMEG_0064	0.2143	0
MSMEG_0065	0.8571	10
MSMEG_0066	0.7143	7
MSMEG_0068	0.6429	5
MSMEG_0071	0.7143	5
MSMEG_0072	0.4286	2
MSMEG_0075	0.7857	8
MSMEG_0077	0.7143	8
MSMEG_0080	0.5714	4
MSMEG_0081	0.7857	7
MSMEG_0082	0.7143	6
MSMEG_0084	0.7857	9
MSMEG_0085	0.6429	6
MSMEG_0086	0.5714	4
MSMEG_0088	0.4286	3
MSMEG_0089	0.6429	6
MSMEG_0090	0.5	3
MSMEG_0091	0.5714	3
MSMEG_0094	0.7857	9
MSMEG_0097	0.6429	6
MSMEG_0099	0.5	2
MSMEG_0100	0.3571	1
MSMEG_0102	0.4286	1
MSMEG_0103	0.4286	2
MSMEG_0105	0.5	2
MSMEG_0106	0.7143	6
MSMEG_0108	0.5	4
MSMEG_0112	0.8571	10
MSMEG_0113	0.7143	6
MSMEG_0114	0.4286	2
MSMEG_0115	0.7143	8
MSMEG_0116	0.5714	5
MSMEG_0121	0.7857	7
MSMEG_0122	0.7143	7
MSMEG_0123	0.5714	4
MSMEG_0125	0.5714	4
MSMEG_0126	0.4286	2
MSMEG_0134	0.5	3
MSMEG_0135	0.7143	6
MSMEG_0136	0.5	3
MSMEG_0137	0.7143	7
MSMEG_0138	0.5	3
MSMEG_0139	0.5	2
MSMEG_0141	0.4286	3
MSMEG_0144	0.4286	2
MSMEG_0147	0.7143	8
MSMEG_0149	0.7143	8
MSMEG_0150	0.6429	6
MSMEG_0151	0.7143	7
MSMEG_0154	0.7857	9
MSMEG_0156	0.7857	8
MSMEG_0157	0.5714	6
MSMEG_0158	0.7143	7
MSMEG_0159	0.6429	7
MSMEG_0160	0.5714	4
MSMEG_0161	0.7143	8
MSMEG_0162	0.7143	7
MSMEG_0163	0.5	6
MSMEG_0164	0.7143	7
MSMEG_0165	0.7143	7
MSMEG_0169	0.4286	2
MSMEG_0170	0.9286	11
MSMEG_0171	0.6429	7
MSMEG_0172	0.4286	3
MSMEG_0175	0.6429	5
MSMEG_0176	0.5714	6
MSMEG_0177	0.6429	6
MSMEG_0178	0.7143	6
MSMEG_0182	0.7143	8
MSMEG_0183	0.7857	8
MSMEG_0184	0.5	3
MSMEG_0185	0.5714	3
MSMEG_0187	0.5	3
MSMEG_0189	0.5714	3
MSMEG_0190	0.5	4
MSMEG_0192	0.8571	9
MSMEG_0193	0.7143	7
MSMEG_0196	0.6429	6
MSMEG_0197	0.5	5
MSMEG_0198	0.2143	0
MSMEG_0200	0.7143	7
MSMEG_0201	0.4286	1
MSMEG_0202	0.5	5
MSMEG_0204	0.5714	6
MSMEG_0205	0.5714	5
MSMEG_0207	0.4286	3
MSMEG_0209	0.5714	5
MSMEG_0211	0.5714	4
