gene	Pattern_cls_logPhase
MSMEG_0001	Fast
MSMEG_0002	Fast
MSMEG_0003	Fast
MSMEG_0004	Slow
MSMEG_0005	Med-fast
MSMEG_0009	Med-fast
MSMEG_0011	Slow
MSMEG_0012	Med-fast
MSMEG_0015	Slow
MSMEG_0017	Fast
MSMEG_0018	Slow
MSMEG_0020	Med-fast
MSMEG_0021	Med-fast
MSMEG_0022	Med-fast
MSMEG_0023	Slow
MSMEG_0024	Med-fast
MSMEG_0025	Med-fast
MSMEG_0026	Fast
MSMEG_0027	Slow
MSMEG_0028	Slow
MSMEG_0029	Med-fast
MSMEG_0030	Slow
MSMEG_0032	Med-fast
MSMEG_0033	Med-fast
MSMEG_0034	Fast
MSMEG_0035	Med-fast
MSMEG_0042	Fast
MSMEG_0043	Med-slow
MSMEG_0044	Fast
MSMEG_0045	Slow
MSMEG_0047	Med-fast
MSMEG_0048	Med-fast
MSMEG_0049	Fast
MSMEG_0050	Med-fast
MSMEG_0051	Med-fast
MSMEG_0052	Med-slow
MSMEG_0053	Fast
MSMEG_0054	Fast
MSMEG_0055	Med-slow
MSMEG_0056	Fast
MSMEG_0057	Med-fast
MSMEG_0058	Med-fast
MSMEG_0059	Med-fast
MSMEG_0064	Slow
MSMEG_0069	Slow
MSMEG_0070	Med-fast
MSMEG_0071	Slow
MSMEG_0072	Fast
MSMEG_0073	Med-fast
MSMEG_0074	Med-fast
MSMEG_0075	Slow
MSMEG_0076	Fast
MSMEG_0077	Slow
MSMEG_0078	Slow
MSMEG_0080	Slow
MSMEG_0081	Med-fast
MSMEG_0082	Med-fast
MSMEG_0083	Med-fast
MSMEG_0084	Slow
MSMEG_0085	Med-fast
MSMEG_0086	Fast
MSMEG_0087	Fast
MSMEG_0088	Med-fast
MSMEG_0089	Med-fast
MSMEG_0090	Med-fast
MSMEG_0091	Med-fast
MSMEG_0092	Fast
MSMEG_0093	Fast
MSMEG_0095	Fast
MSMEG_0096	Slow
MSMEG_0097	Slow
MSMEG_0098	Slow
MSMEG_0099	Slow
MSMEG_0100	Med-fast
MSMEG_0101	Med-fast
MSMEG_0102	Med-fast
MSMEG_0103	Med-slow
MSMEG_0104	Med-fast
MSMEG_0105	Fast
MSMEG_0107	Slow
MSMEG_0108	Slow
MSMEG_0109	Med-fast
MSMEG_0110	Med-fast
MSMEG_0111	Med-fast
MSMEG_0113	Slow
MSMEG_0114	Med-fast
MSMEG_0115	Slow
MSMEG_0116	Med-fast
MSMEG_0118	Med-fast
MSMEG_0119	Fast
MSMEG_0120	Med-fast
MSMEG_0121	Med-slow
MSMEG_0122	Fast
MSMEG_0123	Fast
MSMEG_0124	Med-fast
MSMEG_0125	Slow
MSMEG_0126	Med-fast
MSMEG_0127	Slow
MSMEG_0128	Med-fast
MSMEG_0129	Fast
MSMEG_0130	Med-slow
MSMEG_0131	Med-fast
MSMEG_0132	Med-fast
MSMEG_0133	Fast
MSMEG_0134	Fast
MSMEG_0135	Med-fast
MSMEG_0136	Slow
MSMEG_0140	Slow
MSMEG_0142	Med-fast
MSMEG_0144	Fast
MSMEG_0146	Med-fast
MSMEG_0147	Slow
MSMEG_0148	Med-fast
MSMEG_0149	Med-fast
MSMEG_0150	Med-fast
MSMEG_0152	Slow
MSMEG_0153	Slow
MSMEG_0154	Med-fast
MSMEG_0155	Fast
MSMEG_0156	Slow
MSMEG_0165	Med-fast
MSMEG_0166	Fast
MSMEG_0167	Med-slow
MSMEG_0168	Fast
MSMEG_0169	Med-fast
MSMEG_0170	Med-fast
MSMEG_0171	Med-fast
MSMEG_0172	Fast
MSMEG_0173	Med-fast
MSMEG_0174	Med-fast
MSMEG_0175	Med-slow
MSMEG_0178	Fast
MSMEG_0179	Med-slow
MSMEG_0180	Fast
MSMEG_0181	Med-fast
MSMEG_0182	Fast
MSMEG_0183	Slow
MSMEG_0184	Med-fast
MSMEG_0185	Med-fast
MSMEG_0187	Fast
MSMEG_0188	Med-slow
MSMEG_0189	Med-fast
MSMEG_0191	Med-fast
MSMEG_0192	Med-slow
MSMEG_0193	Med-fast
MSMEG_0194	Med-fast
MSMEG_0195	Slow
MSMEG_0196	Med-fast
