 	CDS_length
MSMEG_0001	1194
MSMEG_0002	894
MSMEG_0003	1155
MSMEG_0004	585
MSMEG_0005	2028
MSMEG_0006	2529
MSMEG_0007	783
MSMEG_0009	93
MSMEG_0011	801
MSMEG_0012	1032
MSMEG_0014	969
MSMEG_0015	831
MSMEG_0016	267
MSMEG_0017	1728
MSMEG_0018	1770
MSMEG_0019	22572
MSMEG_0020	948
MSMEG_0021	411
MSMEG_0022	1323
MSMEG_0023	411
MSMEG_0024	528
MSMEG_0025	408
MSMEG_0026	285
MSMEG_0027	750
MSMEG_0028	1878
MSMEG_0029	675
MSMEG_0030	1260
MSMEG_0031	1476
MSMEG_0032	1416
MSMEG_0033	1539
MSMEG_0034	468
MSMEG_0035	1149
MSMEG_0036	108
MSMEG_0039	375
MSMEG_0040	306
MSMEG_0041	477
MSMEG_0042	564
MSMEG_0043	786
MSMEG_0044	2079
MSMEG_0045	2469
MSMEG_0046	1158
MSMEG_0047	936
MSMEG_0048	504
MSMEG_0049	966
MSMEG_0050	267
MSMEG_0051	294
MSMEG_0052	780
MSMEG_0053	1389
MSMEG_0054	1086
MSMEG_0055	1578
MSMEG_0056	318
MSMEG_0057	849
MSMEG_0058	528
MSMEG_0059	1725
MSMEG_0060	1440
MSMEG_0061	2229
MSMEG_0062	1782
MSMEG_0063	294
MSMEG_0064	1296
MSMEG_0065	303
MSMEG_0066	288
MSMEG_0067	1425
MSMEG_0068	1533
MSMEG_0069	702
MSMEG_0070	336
MSMEG_0071	2016
MSMEG_0072	861
MSMEG_0073	1215
MSMEG_0074	1512
MSMEG_0075	357
MSMEG_0076	1563
MSMEG_0077	318
MSMEG_0078	576
MSMEG_0079	747
MSMEG_0080	531
MSMEG_0081	333
MSMEG_0082	1395
MSMEG_0083	1350
MSMEG_0084	258
MSMEG_0085	2016
MSMEG_0086	984
MSMEG_0087	768
MSMEG_0088	1635
MSMEG_0089	975
MSMEG_0090	2148
MSMEG_0091	585
MSMEG_0092	636
MSMEG_0093	963
MSMEG_0094	180
MSMEG_0095	936
MSMEG_0096	855
MSMEG_0097	966
MSMEG_0098	714
MSMEG_0099	486
MSMEG_0100	807
MSMEG_0101	555
MSMEG_0102	1236
MSMEG_0103	1200
MSMEG_0104	882
MSMEG_0105	651
MSMEG_0106	1167
MSMEG_0107	1602
MSMEG_0108	1140
MSMEG_0109	1443
MSMEG_0110	1542
MSMEG_0111	1005
MSMEG_0112	117
MSMEG_0113	861
MSMEG_0114	966
MSMEG_0115	681
MSMEG_0116	798
MSMEG_0117	864
MSMEG_0118	501
MSMEG_0119	111
MSMEG_0120	660
MSMEG_0121	774
MSMEG_0122	1008
MSMEG_0123	507
MSMEG_0124	684
MSMEG_0125	1527
MSMEG_0126	1119
MSMEG_0127	1092
MSMEG_0128	450
MSMEG_0129	444
MSMEG_0130	693
MSMEG_0131	1635
MSMEG_0132	801
MSMEG_0133	870
MSMEG_0134	1230
MSMEG_0135	1032
MSMEG_0136	1209
MSMEG_0137	1644
MSMEG_0138	957
MSMEG_0139	1353
MSMEG_0140	609
MSMEG_0141	969
MSMEG_0142	549
MSMEG_0143	891
MSMEG_0144	1869
MSMEG_0145	669
MSMEG_0146	819
MSMEG_0147	915
MSMEG_0148	648
MSMEG_0149	1428
MSMEG_0150	1434
MSMEG_0151	324
MSMEG_0152	1083
MSMEG_0153	1014
MSMEG_0154	1434
MSMEG_0155	471
MSMEG_0156	927
MSMEG_0157	1734
MSMEG_0158	1263
MSMEG_0159	486
MSMEG_0160	1599
MSMEG_0161	2820
MSMEG_0162	225
MSMEG_0163	312
