gene	Pattern_cls_hypoxia
MSMEG_0001	Med-fast
MSMEG_0002	Med-slow
MSMEG_0003	Slow
MSMEG_0004	Slow
MSMEG_0005	Fast
MSMEG_0006	Slow
MSMEG_0007	Med-slow
MSMEG_0009	Fast
MSMEG_0011	Med-fast
MSMEG_0019	Slow
MSMEG_0023	Med-fast
MSMEG_0024	Med-fast
MSMEG_0025	Med-slow
MSMEG_0026	Fast
MSMEG_0027	Med-fast
MSMEG_0028	Slow
MSMEG_0029	Med-slow
MSMEG_0030	Slow
MSMEG_0031	Slow
MSMEG_0032	Slow
MSMEG_0033	Med-fast
MSMEG_0034	Med-fast
MSMEG_0035	Med-slow
MSMEG_0042	Med-fast
MSMEG_0043	Fast
MSMEG_0044	Fast
MSMEG_0045	Med-slow
MSMEG_0046	Slow
MSMEG_0047	Med-slow
MSMEG_0048	Med-slow
MSMEG_0049	Med-fast
MSMEG_0052	Med-fast
MSMEG_0053	Fast
MSMEG_0054	Fast
MSMEG_0055	Med-slow
MSMEG_0056	Med-fast
MSMEG_0057	Slow
MSMEG_0058	Slow
MSMEG_0060	Slow
MSMEG_0063	Slow
MSMEG_0067	Slow
MSMEG_0068	Slow
MSMEG_0069	Fast
MSMEG_0070	Slow
MSMEG_0071	Med-slow
MSMEG_0072	Med-fast
MSMEG_0073	Med-fast
MSMEG_0074	Med-fast
MSMEG_0075	Fast
MSMEG_0076	Med-slow
MSMEG_0077	Slow
MSMEG_0080	Slow
MSMEG_0081	Slow
MSMEG_0082	Slow
MSMEG_0083	Med-fast
MSMEG_0085	Med-slow
MSMEG_0086	Med-fast
MSMEG_0087	Fast
MSMEG_0090	Med-fast
MSMEG_0091	Fast
MSMEG_0092	Fast
MSMEG_0093	Fast
MSMEG_0094	Fast
MSMEG_0095	Med-fast
MSMEG_0096	Med-slow
MSMEG_0097	Slow
MSMEG_0098	Med-fast
MSMEG_0099	Med-slow
MSMEG_0100	Med-slow
MSMEG_0101	Med-fast
MSMEG_0102	Med-fast
MSMEG_0103	Med-fast
MSMEG_0104	Fast
MSMEG_0106	Med-slow
MSMEG_0107	Fast
MSMEG_0110	Med-slow
MSMEG_0111	Med-fast
MSMEG_0118	Med-slow
MSMEG_0119	Fast
MSMEG_0120	Med-fast
MSMEG_0121	Med-slow
MSMEG_0122	Med-slow
MSMEG_0124	Med-slow
MSMEG_0127	Med-slow
MSMEG_0128	Med-fast
MSMEG_0129	Fast
MSMEG_0131	Med-fast
MSMEG_0132	Slow
MSMEG_0133	Slow
MSMEG_0139	Slow
MSMEG_0140	Slow
MSMEG_0141	Slow
MSMEG_0144	Med-slow
MSMEG_0146	Med-fast
MSMEG_0147	Med-slow
MSMEG_0153	Med-slow
MSMEG_0155	Slow
MSMEG_0157	Slow
MSMEG_0165	Med-fast
MSMEG_0166	Med-fast
MSMEG_0167	Med-fast
MSMEG_0169	Med-slow
MSMEG_0172	Fast
MSMEG_0173	Fast
MSMEG_0174	Fast
MSMEG_0179	Slow
MSMEG_0180	Fast
MSMEG_0184	Med-slow
MSMEG_0185	Med-slow
MSMEG_0186	Med-slow
MSMEG_0187	Fast
MSMEG_0188	Med-slow
MSMEG_0189	Med-slow
MSMEG_0191	Med-fast
MSMEG_0193	Med-slow
MSMEG_0194	Med-fast
MSMEG_0195	Med-fast
MSMEG_0202	Med-fast
MSMEG_0203	Med-fast
MSMEG_0206	Fast
MSMEG_0208	Fast
MSMEG_0209	Med-fast
MSMEG_0210	Fast
MSMEG_0211	Med-slow
MSMEG_0212	Fast
MSMEG_0213	Fast
MSMEG_0214	Med-fast
MSMEG_0215	Med-fast
MSMEG_0216	Med-fast
MSMEG_0217	Slow
MSMEG_0219	Med-fast
MSMEG_0220	Med-fast
MSMEG_0221	Med-slow
MSMEG_0222	Slow
MSMEG_0223	Med-slow
MSMEG_0224	Med-fast
MSMEG_0225	Slow
MSMEG_0226	Med-fast
MSMEG_0227	Med-slow
MSMEG_0228	Med-fast
MSMEG_0229	Med-slow
MSMEG_0230	Fast
MSMEG_0231	Fast
MSMEG_0232	Slow
MSMEG_0233	Med-fast
MSMEG_0234	Med-fast
MSMEG_0235	Slow
MSMEG_0236	Slow
MSMEG_0237	Fast
MSMEG_0239	Slow
MSMEG_0240	Med-slow
MSMEG_0241	Med-slow
MSMEG_0242	Fast
MSMEG_0243	Slow
MSMEG_0244	Slow
MSMEG_0245	Med-fast
MSMEG_0247	Med-slow
MSMEG_0248	Fast
MSMEG_0249	Med-fast
MSMEG_0250	Med-slow
MSMEG_0251	Fast
MSMEG_0252	Fast
MSMEG_0253	Slow
MSMEG_0254	Slow
MSMEG_0255	Med-slow
MSMEG_0256	Med-fast
MSMEG_0257	Med-fast
MSMEG_0259	Med-fast
MSMEG_0260	Med-slow
MSMEG_0261	Med-fast
MSMEG_0262	Slow
MSMEG_0263	Med-slow
MSMEG_0264	Slow
MSMEG_0266	Med-slow
MSMEG_0267	Med-slow
MSMEG_0268	Fast
MSMEG_0269	Med-slow
MSMEG_0270	Med-slow
MSMEG_0281	Med-slow
MSMEG_0284	Med-slow
MSMEG_0289	Med-slow
MSMEG_0290	Med-slow
MSMEG_0291	Med-slow
MSMEG_0293	Med-fast
MSMEG_0294	Med-fast
MSMEG_0295	Fast
MSMEG_0296	Med-fast
MSMEG_0300	Med-slow
MSMEG_0301	Med-fast
MSMEG_0302	Slow
MSMEG_0303	Fast
MSMEG_0304	Med-slow
MSMEG_0305	Fast
MSMEG_0306	Fast
MSMEG_0308	Med-fast
MSMEG_0309	Med-fast
MSMEG_0311	Slow
MSMEG_0314	Med-slow
MSMEG_0315	Slow
MSMEG_0316	Med-slow
MSMEG_0317	Med-fast
MSMEG_0319	Slow
MSMEG_0320	Med-slow
MSMEG_0321	Med-fast
MSMEG_0325	Med-slow
MSMEG_0326	Med-slow
MSMEG_0327	Slow
MSMEG_0329	Med-fast
MSMEG_0334	Med-slow
MSMEG_0337	Med-slow
MSMEG_0339	Slow
MSMEG_0341	Med-slow
MSMEG_0342	Med-fast
MSMEG_0343	Fast
MSMEG_0344	Fast
MSMEG_0345	Fast
MSMEG_0346	Med-fast
MSMEG_0347	Med-slow
MSMEG_0348	Med-slow
MSMEG_0349	Med-slow
MSMEG_0350	Med-slow
MSMEG_0351	Med-slow
MSMEG_0356	Med-slow
MSMEG_0357	Med-slow
MSMEG_0358	Med-slow
MSMEG_0359	Med-fast
MSMEG_0360	Fast
MSMEG_0362	Med-slow
MSMEG_0363	Fast
MSMEG_0364	Med-fast
MSMEG_0365	Med-fast
MSMEG_0366	Med-fast
MSMEG_0367	Med-slow
MSMEG_0368	Med-fast
MSMEG_0369	Slow
MSMEG_0370	Slow
MSMEG_0371	Med-slow
MSMEG_0372	Med-fast
MSMEG_0373	Med-fast
MSMEG_0374	Med-slow
MSMEG_0375	Med-slow
MSMEG_0376	Med-slow
MSMEG_0377	Med-slow
MSMEG_0378	Med-slow
MSMEG_0380	Med-slow
MSMEG_0382	Med-fast
MSMEG_0383	Fast
MSMEG_0384	Fast
MSMEG_0385	Med-fast
MSMEG_0386	Med-slow
MSMEG_0387	Fast
MSMEG_0388	Med-slow
MSMEG_0389	Slow
MSMEG_0390	Med-slow
MSMEG_0391	Fast
MSMEG_0392	Fast
MSMEG_0393	Fast
MSMEG_0394	Fast
MSMEG_0395	Med-slow
MSMEG_0396	Med-slow
MSMEG_0397	Med-fast
MSMEG_0398	Med-fast
MSMEG_0399	Fast
MSMEG_0400	Med-slow
MSMEG_0401	Slow
MSMEG_0402	Slow
MSMEG_0403	Slow
MSMEG_0404	Med-slow
MSMEG_0405	Med-slow
MSMEG_0406	Med-fast
MSMEG_0409	Med-fast
MSMEG_0410	Slow
MSMEG_0411	Slow
MSMEG_0412	Slow
MSMEG_0413	Med-slow
MSMEG_0414	Med-fast
MSMEG_0415	Fast
MSMEG_0416	Med-fast
MSMEG_0418	Med-fast
MSMEG_0422	Fast
MSMEG_0423	Med-fast
MSMEG_0424	Med-slow
MSMEG_0425	Fast
MSMEG_0426	Med-fast
MSMEG_0431	Med-fast
MSMEG_0432	Med-slow
MSMEG_0433	Med-fast
MSMEG_0434	Med-fast
MSMEG_0435	Med-slow
MSMEG_0436	Med-slow
MSMEG_0437	Fast
MSMEG_0438	Fast
MSMEG_0439	Med-fast
MSMEG_0440	Med-fast
MSMEG_0441	Med-fast
MSMEG_0442	Med-fast
MSMEG_0443	Med-slow
MSMEG_0445	Slow
MSMEG_0446	Slow
MSMEG_0449	Med-slow
MSMEG_0451	Med-slow
MSMEG_0452	Med-fast
MSMEG_0454	Med-slow
MSMEG_0455	Med-slow
MSMEG_0456	Slow
MSMEG_0457	Med-fast
