 	transcript_5p20nt_Avg_First5nt_UnpairedProb
MSMEG_0001	0.7570
MSMEG_0002	NA
MSMEG_0003	NA
MSMEG_0004	NA
MSMEG_0005	0.9272
MSMEG_0006	NA
MSMEG_0007	0.3343
MSMEG_0009	NA
MSMEG_0011	NA
MSMEG_0012	NA
MSMEG_0014	NA
MSMEG_0015	0.8845
MSMEG_0016	0.5692
MSMEG_0017	NA
MSMEG_0018	NA
MSMEG_0019	NA
MSMEG_0020	0.6200
MSMEG_0021	0.8389
MSMEG_0022	NA
MSMEG_0023	0.8535
MSMEG_0024	0.9467
MSMEG_0025	NA
MSMEG_0026	0.9875
MSMEG_0027	0.9615
MSMEG_0028	0.3914
MSMEG_0029	0.8577
MSMEG_0030	0.6350
MSMEG_0031	NA
MSMEG_0032	0.7361
MSMEG_0033	0.8461
MSMEG_0034	0.9953
MSMEG_0035	NA
MSMEG_0036	0.2021
MSMEG_0039	NA
MSMEG_0040	NA
MSMEG_0041	NA
MSMEG_0042	0.4568
MSMEG_0043	NA
MSMEG_0044	0.2678
MSMEG_0045	NA
MSMEG_0046	0.8529
MSMEG_0047	0.9010
MSMEG_0048	0.7580
MSMEG_0049	0.8716
MSMEG_0050	0.7034
MSMEG_0051	0.6005
MSMEG_0052	0.4863
MSMEG_0053	0.7754
MSMEG_0054	NA
MSMEG_0055	0.6113
MSMEG_0056	0.9788
MSMEG_0057	NA
MSMEG_0058	NA
MSMEG_0059	NA
MSMEG_0060	0.6334
MSMEG_0061	0.6309
MSMEG_0062	NA
MSMEG_0063	NA
MSMEG_0064	NA
MSMEG_0065	NA
MSMEG_0066	NA
MSMEG_0067	0.5535
MSMEG_0068	NA
MSMEG_0069	0.2574
MSMEG_0070	0.4331
MSMEG_0071	NA
MSMEG_0072	NA
MSMEG_0073	0.1835
MSMEG_0074	0.1835
MSMEG_0075	NA
MSMEG_0076	0.7868
MSMEG_0077	NA
MSMEG_0078	0.9431
MSMEG_0079	0.5078
MSMEG_0080	NA
MSMEG_0081	NA
MSMEG_0082	NA
MSMEG_0083	0.8255
MSMEG_0084	NA
MSMEG_0085	NA
MSMEG_0086	NA
MSMEG_0087	0.6537
MSMEG_0088	NA
MSMEG_0089	NA
MSMEG_0090	NA
MSMEG_0091	NA
MSMEG_0092	0.2384
MSMEG_0093	0.9370
MSMEG_0094	NA
MSMEG_0095	0.9964
MSMEG_0096	0.9572
MSMEG_0097	NA
MSMEG_0098	0.4821
MSMEG_0099	NA
MSMEG_0100	NA
MSMEG_0101	0.0750
MSMEG_0102	NA
MSMEG_0103	NA
MSMEG_0104	0.8361
MSMEG_0105	NA
MSMEG_0106	NA
MSMEG_0107	0.9372
MSMEG_0108	NA
MSMEG_0109	0.5358
MSMEG_0110	0.2421
MSMEG_0111	0.3481
MSMEG_0112	NA
MSMEG_0113	NA
MSMEG_0114	NA
MSMEG_0115	NA
MSMEG_0116	NA
MSMEG_0117	0.8207
MSMEG_0118	0.8132
MSMEG_0119	0.4116
MSMEG_0120	0.9873
MSMEG_0121	NA
MSMEG_0122	NA
MSMEG_0123	NA
MSMEG_0124	0.2005
MSMEG_0125	NA
MSMEG_0126	NA
MSMEG_0127	0.9757
MSMEG_0128	0.9481
MSMEG_0129	0.7285
MSMEG_0130	0.9789
MSMEG_0131	0.7806
MSMEG_0132	0.7228
MSMEG_0133	0.2060
MSMEG_0134	NA
MSMEG_0135	NA
MSMEG_0136	NA
MSMEG_0137	NA
MSMEG_0138	NA
MSMEG_0139	NA
MSMEG_0140	0.4201
MSMEG_0141	NA
MSMEG_0142	0.9911
MSMEG_0143	0.2124
MSMEG_0144	NA
MSMEG_0145	0.8558
MSMEG_0146	0.7366
MSMEG_0147	NA
MSMEG_0148	0.9731
MSMEG_0149	NA
MSMEG_0150	NA
MSMEG_0151	NA
MSMEG_0152	0.6098
MSMEG_0153	0.4235
MSMEG_0154	NA
MSMEG_0155	0.5682
MSMEG_0156	NA
MSMEG_0157	NA
MSMEG_0158	NA
MSMEG_0159	NA
MSMEG_0160	NA
MSMEG_0161	NA
MSMEG_0162	NA
MSMEG_0163	NA
MSMEG_0164	NA
MSMEG_0165	NA
MSMEG_0166	0.5255
MSMEG_0167	0.5461
MSMEG_0168	0.8001
MSMEG_0169	NA
MSMEG_0170	NA
MSMEG_0171	NA
MSMEG_0172	NA
MSMEG_0173	0.6238
MSMEG_0174	0.0431
MSMEG_0175	NA
MSMEG_0176	NA
MSMEG_0177	NA
MSMEG_0178	NA
MSMEG_0179	0.8783
MSMEG_0180	0.6743
MSMEG_0181	0.8561
MSMEG_0182	NA
MSMEG_0183	NA
MSMEG_0184	NA
MSMEG_0185	NA
MSMEG_0186	0.7439
MSMEG_0187	NA
MSMEG_0188	0.3548
MSMEG_0189	NA
MSMEG_0190	NA
MSMEG_0191	0.4055
MSMEG_0192	NA
MSMEG_0193	NA
MSMEG_0194	0.4666
MSMEG_0195	0.8365
MSMEG_0196	NA
MSMEG_0197	NA
MSMEG_0198	NA
MSMEG_0200	NA
MSMEG_0201	NA
MSMEG_0202	NA
MSMEG_0203	0.0522
MSMEG_0204	NA
MSMEG_0205	NA
MSMEG_0206	0.5235
MSMEG_0207	NA
MSMEG_0208	0.9236
MSMEG_0209	NA
MSMEG_0210	0.4063
MSMEG_0211	NA
MSMEG_0212	0.3073
MSMEG_0213	0.7362
MSMEG_0214	NA
MSMEG_0215	0.9701
MSMEG_0216	NA
MSMEG_0217	NA
MSMEG_0218	0.9831
MSMEG_0219	NA
MSMEG_0220	NA
MSMEG_0221	NA
MSMEG_0222	0.8636
MSMEG_0223	NA
MSMEG_0224	0.4730
MSMEG_0225	NA
MSMEG_0226	0.5905
MSMEG_0227	0.2268
MSMEG_0228	0.7168
MSMEG_0229	0.9898
MSMEG_0230	0.9125
MSMEG_0231	0.6809
MSMEG_0232	0.9350
MSMEG_0233	0.8024
MSMEG_0234	0.7876
MSMEG_0235	0.5678
MSMEG_0236	NA
MSMEG_0237	NA
MSMEG_0238	NA
MSMEG_0239	0.9938
MSMEG_0240	0.8054
MSMEG_0241	0.9457
MSMEG_0242	0.9592
MSMEG_0243	0.0083
MSMEG_0244	NA
MSMEG_0245	0.8867
MSMEG_0246	NA
MSMEG_0247	NA
MSMEG_0248	0.0044
MSMEG_0249	NA
MSMEG_0250	0.9063
MSMEG_0251	NA
MSMEG_0252	0.6405
MSMEG_0253	0.8192
MSMEG_0254	0.2469
MSMEG_0255	0.5822
MSMEG_0256	NA
MSMEG_0257	0.5862
MSMEG_0258	NA
MSMEG_0259	NA
MSMEG_0260	NA
MSMEG_0261	0.5860
MSMEG_0262	NA
MSMEG_0263	NA
MSMEG_0264	0.8781
MSMEG_0265	NA
MSMEG_0266	NA
MSMEG_0267	NA
MSMEG_0268	0.6649
MSMEG_0269	NA
MSMEG_0270	0.2025
MSMEG_0271	NA
MSMEG_0272	NA
MSMEG_0273	NA
MSMEG_0274	NA
MSMEG_0275	NA
MSMEG_0276	NA
MSMEG_0277	NA
MSMEG_0278	NA
MSMEG_0279	NA
MSMEG_0280	NA
MSMEG_0281	NA
MSMEG_0282	0.6049
MSMEG_0283	NA
MSMEG_0284	NA
MSMEG_0285	0.9670
MSMEG_0286	NA
MSMEG_0287	0.9899
MSMEG_0288	NA
MSMEG_0289	0.8087
MSMEG_0290	0.4291
MSMEG_0291	NA
MSMEG_0292	NA
MSMEG_0293	NA
MSMEG_0294	NA
MSMEG_0295	NA
MSMEG_0296	0.8667
MSMEG_0297	NA
MSMEG_0298	NA
MSMEG_0299	0.9715
MSMEG_0300	0.7766
MSMEG_0301	0.9699
MSMEG_0302	NA
MSMEG_0303	0.9797
MSMEG_0304	NA
MSMEG_0305	0.9118
MSMEG_0306	NA
MSMEG_0307	NA
MSMEG_0308	NA
MSMEG_0309	0.0085
MSMEG_0311	0.7465
MSMEG_0312	NA
MSMEG_0313	NA
MSMEG_0314	0.9573
MSMEG_0315	NA
MSMEG_0316	NA
MSMEG_0317	0.7129
MSMEG_0318	NA
MSMEG_0319	0.8933
MSMEG_0320	NA
MSMEG_0321	0.5258
MSMEG_0323	NA
MSMEG_0324	NA
MSMEG_0325	NA
MSMEG_0326	NA
MSMEG_0327	NA
MSMEG_0328	NA
MSMEG_0329	NA
MSMEG_0330	NA
MSMEG_0331	0.5953
MSMEG_0332	NA
MSMEG_0333	NA
MSMEG_0334	NA
MSMEG_0335	NA
MSMEG_0336	NA
MSMEG_0337	NA
MSMEG_0338	NA
MSMEG_0339	NA
MSMEG_0340	NA
MSMEG_0341	0.7530
MSMEG_0342	NA
MSMEG_0343	0.6655
MSMEG_0344	NA
MSMEG_0345	NA
MSMEG_0346	NA
MSMEG_0347	NA
MSMEG_0348	0.9951
MSMEG_0349	NA
MSMEG_0350	NA
MSMEG_0351	NA
MSMEG_0352	NA
MSMEG_0353	NA
MSMEG_0354	NA
MSMEG_0355	NA
MSMEG_0356	0.2949
MSMEG_0357	NA
MSMEG_0358	0.8619
MSMEG_0359	0.6075
MSMEG_0360	0.7549
MSMEG_0361	0.5814
MSMEG_0362	NA
MSMEG_0363	0.0286
MSMEG_0364	0.2057
MSMEG_0365	NA
MSMEG_0366	0.7668
MSMEG_0367	0.6820
MSMEG_0368	0.2068
MSMEG_0369	NA
MSMEG_0370	NA
MSMEG_0371	NA
MSMEG_0372	0.9510
MSMEG_0373	0.9668
MSMEG_0374	NA
MSMEG_0375	NA
MSMEG_0376	0.0311
MSMEG_0377	NA
MSMEG_0378	NA
MSMEG_0379	NA
MSMEG_0380	0.9833
MSMEG_0381	0.5409
MSMEG_0382	0.4305
MSMEG_0383	0.8136
MSMEG_0384	0.3634
MSMEG_0385	NA
MSMEG_0386	0.8332
MSMEG_0387	0.5561
MSMEG_0388	0.6078
MSMEG_0389	NA
MSMEG_0390	NA
MSMEG_0391	0.9292
MSMEG_0392	0.8332
MSMEG_0393	0.8354
MSMEG_0394	0.8303
MSMEG_0395	NA
MSMEG_0396	NA
MSMEG_0397	NA
MSMEG_0398	0.9657
MSMEG_0399	0.9667
MSMEG_0400	NA
MSMEG_0401	NA
MSMEG_0402	0.5712
MSMEG_0403	NA
MSMEG_0404	0.4066
MSMEG_0405	NA
MSMEG_0406	0.6018
MSMEG_0407	0.2953
MSMEG_0408	0.1809
MSMEG_0409	0.2401
MSMEG_0410	0.8985
MSMEG_0411	0.9699
MSMEG_0412	0.8101
MSMEG_0413	0.9705
MSMEG_0414	NA
MSMEG_0415	0.7821
MSMEG_0416	0.9715
MSMEG_0417	NA
MSMEG_0418	NA
MSMEG_0419	0.2099
MSMEG_0420	0.9974
MSMEG_0421	NA
MSMEG_0422	0.6620
MSMEG_0423	0.7281
MSMEG_0424	NA
MSMEG_0425	NA
MSMEG_0426	NA
MSMEG_0427	NA
MSMEG_0428	0.4288
MSMEG_0429	0.8523
MSMEG_0430	NA
MSMEG_0431	NA
MSMEG_0432	NA
MSMEG_0433	0.6855
MSMEG_0434	0.0450
MSMEG_0435	NA
MSMEG_0436	0.5666
MSMEG_0437	0.9089
MSMEG_0438	0.6624
MSMEG_0439	NA
MSMEG_0440	NA
MSMEG_0441	0.4046
MSMEG_0442	NA
MSMEG_0443	0.8278
MSMEG_0444	NA
MSMEG_0445	NA
MSMEG_0446	NA
MSMEG_0447	0.0342
MSMEG_0448	0.8882
MSMEG_0449	0.7061
MSMEG_0450	0.0354
MSMEG_0451	0.6964
MSMEG_0452	NA
MSMEG_0453	0.6190
MSMEG_0454	NA
MSMEG_0455	0.2386
MSMEG_0456	NA
MSMEG_0457	0.6983
MSMEG_0458	NA
MSMEG_0459	NA
MSMEG_0460	NA
MSMEG_0461	NA
MSMEG_0462	0.8186
MSMEG_0463	NA
MSMEG_0464	0.1852
MSMEG_0465	0.6994
MSMEG_0466	0.5470
MSMEG_0467	NA
MSMEG_0468	NA
MSMEG_0469	0.6977
MSMEG_0470	NA
MSMEG_0471	0.9372
MSMEG_0472	NA
MSMEG_0473	0.2138
MSMEG_0474	NA
MSMEG_0475	NA
MSMEG_0476	NA
MSMEG_0477	NA
MSMEG_0478	NA
MSMEG_0479	NA
MSMEG_0480	0.6452
MSMEG_0481	NA
MSMEG_0482	NA
MSMEG_0483	NA
MSMEG_0484	0.4701
MSMEG_0485	NA
MSMEG_0486	NA
MSMEG_0487	NA
MSMEG_0488	NA
MSMEG_0489	NA
MSMEG_0490	NA
MSMEG_0491	0.0332
MSMEG_0492	0.6305
MSMEG_0493	0.6360
MSMEG_0494	0.9358
MSMEG_0496	NA
MSMEG_0497	NA
MSMEG_0498	NA
MSMEG_0499	0.9963
MSMEG_0500	0.3292
MSMEG_0501	NA
MSMEG_0502	NA
MSMEG_0503	NA
MSMEG_0504	0.9349
MSMEG_0505	NA
MSMEG_0506	NA
MSMEG_0507	NA
MSMEG_0508	NA
MSMEG_0509	NA
MSMEG_0510	NA
MSMEG_0511	NA
MSMEG_0512	NA
MSMEG_0513	NA
MSMEG_0514	NA
MSMEG_0515	NA
MSMEG_0516	NA
MSMEG_0517	NA
MSMEG_0518	NA
MSMEG_0519	0.3383
MSMEG_0520	0.9586
MSMEG_0522	NA
MSMEG_0523	NA
MSMEG_0524	NA
MSMEG_0525	NA
MSMEG_0526	NA
MSMEG_0527	NA
MSMEG_0528	NA
MSMEG_0529	NA
MSMEG_0530	0.8075
MSMEG_0531	0.1287
MSMEG_0532	NA
