 	GC_5pUTR
MSMEG_0001	0.581
MSMEG_0005	0.6667
MSMEG_0007	0.6481
MSMEG_0015	0.5
MSMEG_0016	0.65
MSMEG_0020	0.6408
MSMEG_0021	0.6615
MSMEG_0023	0.5938
MSMEG_0026	0.5926
MSMEG_0027	0.5
MSMEG_0028	0.6761
MSMEG_0030	0.7053
MSMEG_0032	0.8063
MSMEG_0033	0.6341
MSMEG_0034	0.7037
MSMEG_0036	0.6327
MSMEG_0044	0.7263
MSMEG_0046	0.7424
MSMEG_0047	0.6111
MSMEG_0048	0.6087
MSMEG_0049	0.6866
MSMEG_0050	0.6855
MSMEG_0051	0.5581
MSMEG_0052	0.6557
MSMEG_0053	0.4884
MSMEG_0055	0.7368
MSMEG_0056	0.662
MSMEG_0060	0.6168
MSMEG_0061	0.8182
MSMEG_0067	0.5357
MSMEG_0069	0.64
MSMEG_0070	0.5541
MSMEG_0076	0.6083
MSMEG_0078	0.5714
MSMEG_0079	0.6463
MSMEG_0083	0.6582
MSMEG_0087	0.5714
MSMEG_0093	1.0
MSMEG_0095	0.7143
MSMEG_0096	0.5854
MSMEG_0101	0.6522
MSMEG_0107	0.5
MSMEG_0109	0.6184
MSMEG_0110	0.6296
MSMEG_0117	0.4138
MSMEG_0118	0.4737
MSMEG_0120	1.0
MSMEG_0130	0.64
MSMEG_0131	0.5
MSMEG_0132	0.637
MSMEG_0133	0.5968
MSMEG_0140	0.6634
MSMEG_0142	0.6306
MSMEG_0143	0.6219
MSMEG_0145	0.6202
MSMEG_0152	0.6071
MSMEG_0153	0.5238
MSMEG_0155	0.5556
MSMEG_0166	0.6429
MSMEG_0167	0.5868
MSMEG_0168	0.6
MSMEG_0173	0.7083
MSMEG_0174	0.6213
MSMEG_0179	0.6897
MSMEG_0181	0.5517
MSMEG_0186	0.4348
MSMEG_0191	0.69
MSMEG_0194	0.625
MSMEG_0195	0.6579
MSMEG_0203	0.5888
MSMEG_0206	0.4545
MSMEG_0208	0.75
MSMEG_0210	0.6369
MSMEG_0218	0.6
MSMEG_0222	0.5
MSMEG_0226	0.6786
MSMEG_0227	0.642
MSMEG_0228	0.6364
MSMEG_0232	0.6667
MSMEG_0233	0.5455
MSMEG_0240	0.6686
MSMEG_0241	0.6087
MSMEG_0242	0.6075
MSMEG_0243	0.5904
MSMEG_0245	0.6268
MSMEG_0250	0.6236
MSMEG_0253	0.5876
MSMEG_0254	1.0
MSMEG_0255	0.5538
MSMEG_0264	0.6882
MSMEG_0268	0.7037
MSMEG_0270	0.6552
MSMEG_0282	0.6912
MSMEG_0285	0.6667
MSMEG_0290	0.6316
MSMEG_0296	0.7619
MSMEG_0299	0.6923
MSMEG_0300	0.6667
MSMEG_0303	0.5
MSMEG_0305	0.5882
MSMEG_0309	0.4857
MSMEG_0311	1.0
MSMEG_0314	0.5714
MSMEG_0317	0.6379
MSMEG_0321	0.7045
MSMEG_0331	0.5357
MSMEG_0341	0.5968
MSMEG_0343	1.0
MSMEG_0348	0.5616
MSMEG_0358	0.5862
MSMEG_0359	0.6798
MSMEG_0363	0.5
MSMEG_0366	0.7073
MSMEG_0368	0.6562
MSMEG_0372	0.5588
MSMEG_0376	0.6216
MSMEG_0380	0.6429
MSMEG_0381	0.5882
MSMEG_0382	0.6221
MSMEG_0383	0.5328
MSMEG_0384	0.6071
MSMEG_0386	0.6667
MSMEG_0387	0.5827
MSMEG_0388	0.5345
MSMEG_0392	0.5867
MSMEG_0398	0.5852
MSMEG_0399	0.5432
MSMEG_0402	0.5537
MSMEG_0404	0.6429
MSMEG_0406	0.5119
MSMEG_0408	0.6329
MSMEG_0409	0.6949
MSMEG_0410	0.6199
