 	transcript_5p20nt_MFE
MSMEG_0001	-1.90
MSMEG_0002	NA
MSMEG_0003	NA
MSMEG_0004	NA
MSMEG_0005	-3.30
MSMEG_0006	NA
MSMEG_0007	-5.10
MSMEG_0009	NA
MSMEG_0011	NA
MSMEG_0012	NA
MSMEG_0014	NA
MSMEG_0015	-2.40
MSMEG_0016	-0.50
MSMEG_0017	NA
MSMEG_0018	NA
MSMEG_0019	NA
MSMEG_0020	-2.50
MSMEG_0021	-5.60
MSMEG_0022	NA
MSMEG_0023	-2.00
MSMEG_0024	0.00
MSMEG_0025	NA
MSMEG_0026	0.00
MSMEG_0027	-1.70
MSMEG_0028	-6.00
MSMEG_0029	0.00
MSMEG_0030	-3.70
MSMEG_0031	NA
MSMEG_0032	-2.30
MSMEG_0033	-0.40
MSMEG_0034	-4.30
MSMEG_0035	NA
MSMEG_0036	-8.40
MSMEG_0039	NA
MSMEG_0040	NA
MSMEG_0041	NA
MSMEG_0042	-1.00
MSMEG_0043	NA
MSMEG_0044	-3.60
MSMEG_0045	NA
MSMEG_0046	-2.00
MSMEG_0047	0.00
MSMEG_0048	-4.00
MSMEG_0049	-3.20
MSMEG_0050	-3.10
MSMEG_0051	-7.50
MSMEG_0052	-1.20
MSMEG_0053	-0.80
MSMEG_0054	NA
MSMEG_0055	-3.60
MSMEG_0056	-3.20
MSMEG_0057	NA
MSMEG_0058	NA
MSMEG_0059	NA
MSMEG_0060	-6.60
MSMEG_0061	-2.80
MSMEG_0062	NA
MSMEG_0063	NA
MSMEG_0064	NA
MSMEG_0065	NA
MSMEG_0066	NA
MSMEG_0067	-0.90
MSMEG_0068	NA
MSMEG_0069	-3.00
MSMEG_0070	-4.50
MSMEG_0071	NA
MSMEG_0072	NA
MSMEG_0073	-5.20
MSMEG_0074	-5.20
MSMEG_0075	NA
MSMEG_0076	-0.10
MSMEG_0077	NA
MSMEG_0078	0.00
MSMEG_0079	-0.80
MSMEG_0080	NA
MSMEG_0081	NA
MSMEG_0082	NA
MSMEG_0083	-3.60
MSMEG_0084	NA
MSMEG_0085	NA
MSMEG_0086	NA
MSMEG_0087	0.00
MSMEG_0088	NA
MSMEG_0089	NA
MSMEG_0090	NA
MSMEG_0091	NA
MSMEG_0092	-4.00
MSMEG_0093	0.00
MSMEG_0094	NA
MSMEG_0095	-6.40
MSMEG_0096	0.00
MSMEG_0097	NA
MSMEG_0098	-1.80
MSMEG_0099	NA
MSMEG_0100	NA
MSMEG_0101	-3.10
MSMEG_0102	NA
MSMEG_0103	NA
MSMEG_0104	-1.30
MSMEG_0105	NA
MSMEG_0106	NA
MSMEG_0107	0.00
MSMEG_0108	NA
MSMEG_0109	-1.70
MSMEG_0110	-3.10
MSMEG_0111	-4.00
MSMEG_0112	NA
MSMEG_0113	NA
MSMEG_0114	NA
MSMEG_0115	NA
MSMEG_0116	NA
MSMEG_0117	0.00
MSMEG_0118	0.00
MSMEG_0119	-2.60
MSMEG_0120	0.00
MSMEG_0121	NA
MSMEG_0122	NA
MSMEG_0123	NA
MSMEG_0124	-6.20
MSMEG_0125	NA
MSMEG_0126	NA
MSMEG_0127	-0.60
MSMEG_0128	-1.10
MSMEG_0129	-1.90
MSMEG_0130	-4.10
MSMEG_0131	0.00
MSMEG_0132	-4.60
MSMEG_0133	-3.00
MSMEG_0134	NA
MSMEG_0135	NA
MSMEG_0136	NA
MSMEG_0137	NA
MSMEG_0138	NA
