 	Nucl_A_5pUTR	Nucl_T_5pUTR	Nucl_G_5pUTR	Nucl_C_5pUTR
MSMEG_0001	0.1714	0.2476	0.3619	0.219
MSMEG_0005	0.193	0.1404	0.2982	0.3684
MSMEG_0007	0.2125	0.1394	0.331	0.3171
MSMEG_0015	0.3846	0.1154	0.2692	0.2308
MSMEG_0016	0.2	0.15	0.3375	0.3125
MSMEG_0020	0.2233	0.1359	0.2913	0.3495
MSMEG_0021	0.2	0.1385	0.4308	0.2308
MSMEG_0023	0.25	0.1562	0.375	0.2188
MSMEG_0026	0.1667	0.2407	0.2407	0.3519
MSMEG_0027	0.2917	0.2083	0.2917	0.2083
MSMEG_0028	0.1878	0.1362	0.3052	0.3709
MSMEG_0030	0.1755	0.1192	0.3709	0.3344
MSMEG_0032	0.1107	0.083	0.3202	0.4862
MSMEG_0033	0.2358	0.1301	0.3496	0.2846
MSMEG_0034	0.1852	0.1111	0.3704	0.3333
MSMEG_0036	0.1837	0.1837	0.2857	0.3469
MSMEG_0044	0.1263	0.1474	0.3684	0.3579
MSMEG_0046	0.1364	0.1212	0.4091	0.3333
MSMEG_0047	0.2037	0.1852	0.3889	0.2222
MSMEG_0048	0.2609	0.1304	0.3913	0.2174
MSMEG_0049	0.1617	0.1517	0.3134	0.3731
MSMEG_0050	0.1662	0.1484	0.3442	0.3412
MSMEG_0051	0.3721	0.0698	0.2326	0.3256
MSMEG_0052	0.2295	0.1148	0.3115	0.3443
MSMEG_0053	0.1163	0.3953	0.3023	0.186
MSMEG_0055	0.2105	0.0526	0.5263	0.2105
MSMEG_0056	0.1549	0.1831	0.4366	0.2254
MSMEG_0060	0.2243	0.1589	0.3364	0.2804
MSMEG_0061	0.0909	0.0909	0.7273	0.0909
MSMEG_0067	0.1786	0.2857	0.2857	0.25
MSMEG_0069	0.1867	0.1733	0.4133	0.2267
MSMEG_0070	0.2381	0.2078	0.2814	0.2727
MSMEG_0076	0.1667	0.225	0.3667	0.2417
MSMEG_0078	0.2527	0.1758	0.3132	0.2582
MSMEG_0079	0.2154	0.1382	0.3252	0.3211
MSMEG_0083	0.1139	0.2278	0.4051	0.2532
MSMEG_0087	0.2857	0.1429	0.2619	0.3095
MSMEG_0093	0	0	1.0	0
MSMEG_0095	0.1429	0.1429	0.4286	0.2857
MSMEG_0096	0.3171	0.0976	0.2439	0.3415
MSMEG_0101	0.1304	0.2174	0.5217	0.1304
MSMEG_0107	0.25	0.25	0.25	0.25
MSMEG_0109	0.1623	0.2193	0.2807	0.3377
MSMEG_0110	0.2222	0.1481	0.2963	0.3333
MSMEG_0117	0.2414	0.3448	0.2069	0.2069
MSMEG_0118	0.2632	0.2632	0.4211	0.0526
MSMEG_0120	0	0	0	1.0
MSMEG_0130	0.2533	0.1067	0.24	0.4
MSMEG_0131	0.3026	0.1974	0.2237	0.2763
MSMEG_0132	0.2074	0.1556	0.3852	0.2519
MSMEG_0133	0.1613	0.2419	0.3387	0.2581
MSMEG_0140	0.2178	0.1188	0.3366	0.3267
MSMEG_0142	0.2252	0.1441	0.2973	0.3333
MSMEG_0143	0.2544	0.1237	0.2898	0.3322
MSMEG_0145	0.2016	0.1783	0.3023	0.3178
MSMEG_0152	0.25	0.1429	0.2857	0.3214
MSMEG_0153	0.2857	0.1905	0.3214	0.2024
MSMEG_0155	0.3056	0.1389	0.2778	0.2778
MSMEG_0166	0.2857	0.0714	0.2857	0.3571
MSMEG_0167	0.1983	0.2149	0.2645	0.3223
MSMEG_0168	0.1895	0.2105	0.3684	0.2316
MSMEG_0173	0.1083	0.1833	0.325	0.3833
MSMEG_0174	0.2098	0.1689	0.2834	0.3379
MSMEG_0179	0.2414	0.069	0.3103	0.3793
MSMEG_0181	0.3103	0.1379	0.3103	0.2414
MSMEG_0186	0.3696	0.1957	0.1957	0.2391
MSMEG_0191	0.16	0.15	0.4	0.29
MSMEG_0194	0.15	0.225	0.475	0.15
