gene	ratio_5pTo3p	coverageRatio_5pTo3p_log2	HalfLife_5p300nt_logPhase	HalfLife_entireGene_logPhase	CDS_length	halfLifeRatio_5pVScds	halfLifeRatio_5pVScds_log2	halfLifeRatio_5pVScds_log2_subset
MSMEG_0011	10.6416170227458	3.41164548383214	0.620963368	0.64	801	0.9702552625	-0.0435637419221806	logPhase_halfLifeRatio_G3
MSMEG_0020	0.862633859457906	-0.213179750118791	1.144928919	1.12	948	1.02225796339286	0.0317593015071103	logPhase_halfLifeRatio_G3
MSMEG_0021	1.07904483974674	0.109754817315403	0.827677537	0.82	411	1.00936285	0.0134448937629755	logPhase_halfLifeRatio_G3
MSMEG_0043	0.945980896374196	-0.0801170455557747	0.816404283	0.84	786	0.971909860714286	-0.0411055768697958	logPhase_halfLifeRatio_G3
MSMEG_0048	0.586773425908522	-0.769124559898761	1.069766613	1.1	504	0.972515102727273	-0.0402074402018433	logPhase_halfLifeRatio_G3
MSMEG_0056	1.06586617554962	0.0920263124022632	0.619195046	0.62	318	0.998701687096774	-0.00187428655566418	logPhase_halfLifeRatio_G3
MSMEG_0064	3.39809545471652	1.76472637933553	2.895969231	2.89	1296	1.00206547785467	0.00297678147709408	logPhase_halfLifeRatio_G3
MSMEG_0065	0.993695559046567	-0.00912417743446015	4.866042779	4.87	303	0.999187428952772	-0.00117276876373208	logPhase_halfLifeRatio_G3
MSMEG_0069	0.943710969747179	-0.0835830216990667	1.373532038	1.34	702	1.02502390895522	0.0356575613686218	logPhase_halfLifeRatio_G3
MSMEG_0070	1.02740996485705	0.0390119715755201	1.007206321	1.01	336	0.997233981188119	-0.00399605074997897	logPhase_halfLifeRatio_G3
MSMEG_0077	1.02048183562239	0.0292505029088738	1.378355228	1.36	318	1.01349649117647	0.0193410940627614	logPhase_halfLifeRatio_G3
MSMEG_0085	1.23105672128987	0.299897235939648	0.871861299	0.88	2016	0.990751476136364	-0.0134048831982415	logPhase_halfLifeRatio_G3
MSMEG_0095	1.12289079699593	0.167217630059964	0.713533349	0.7	936	1.01933335571429	0.0276259376540384	logPhase_halfLifeRatio_G3
MSMEG_0101	1.47350675482385	0.5592536740544	0.562498242	0.58	555	0.969824555172414	-0.044204312820482	logPhase_halfLifeRatio_G3
MSMEG_0128	0.753958897031581	-0.407442219490311	0.640779187	0.66	450	0.970877556060606	-0.0426387358061279	logPhase_halfLifeRatio_G3
MSMEG_0132	3.54617277111326	1.82626282669241	1.002004008	0.97	801	1.03299382268041	0.0468316268893403	logPhase_halfLifeRatio_G3
MSMEG_0141	1.7630989704287	0.818113461691029	2.666531224	2.61	969	1.02165947279693	0.0309144146989204	logPhase_halfLifeRatio_G3
MSMEG_0146	0.984262549401208	-0.0228848929452918	0.652627915	0.65	819	1.00404294615385	0.00582097932661721	logPhase_halfLifeRatio_G3
MSMEG_0173	1.01945464961997	0.0277975985780498	0.828763623	0.82	321	1.01068734512195	0.0153367703337303	logPhase_halfLifeRatio_G3
MSMEG_0187	0.987860513677233	-0.0176207478474292	0.467978567	0.47	477	0.995699078723404	-0.00621829961168933	logPhase_halfLifeRatio_G3
MSMEG_0188	0.815661906254089	-0.293956819218435	0.808200541	0.8	465	1.01025067625	0.0147133172449011	logPhase_halfLifeRatio_G3
MSMEG_0194	1.44109618646723	0.527166631909694	1.011843386	1	699	1.011843386	0.0169860057176879	logPhase_halfLifeRatio_G3
MSMEG_0214	1.23151714438827	0.300436712247565	0.854092527	0.87	1284	0.981715548275862	-0.0266230301634341	logPhase_halfLifeRatio_G3
MSMEG_0220	1.96372738144132	0.973594658398978	0.566107164	0.55	840	1.02928575272727	0.0416435622239056	logPhase_halfLifeRatio_G3
MSMEG_0222	1.47949873819573	0.565108466116467	0.500449809	0.51	744	0.981274135294118	-0.0272718612151821	logPhase_halfLifeRatio_G3
MSMEG_0226	1.48513302865582	0.570592164148143	0.379470638	0.37	429	1.02559631891892	0.0364629889423891	logPhase_halfLifeRatio_G3
MSMEG_0230	0.999458848684082	-0.000780927638917583	0.4844883	0.49	306	0.988751632653061	-0.0163199230834447	logPhase_halfLifeRatio_G3
MSMEG_0245	1.18218457374998	0.241455300190019	0.919836269	0.93	369	0.989071256989247	-0.015853632141832	logPhase_halfLifeRatio_G3
MSMEG_0252	0.588536356485213	-0.764796555238235	0.525067602	0.54	792	0.972347411111111	-0.0404562267992641	logPhase_halfLifeRatio_G3
MSMEG_0268	5.88313709275879	2.55658565527872	0.939967414	0.91	780	1.03293122417582	0.0467441982071609	logPhase_halfLifeRatio_G3
MSMEG_0282	0.94855895423214	-0.0761906530005185	1.128838049	1.13	321	0.998971724778761	-0.00148425080235967	logPhase_halfLifeRatio_G3
MSMEG_0317	2.41783612303175	1.27371646439619	0.536720637	0.55	1197	0.975855703636363	-0.0352602575895492	logPhase_halfLifeRatio_G3
MSMEG_0319	2.13963113413394	1.0973621018486	1.013222554	1.02	1194	0.993355445098039	-0.00961805576032723	logPhase_halfLifeRatio_G3
MSMEG_0371	0.729155006568078	-0.455702554086012	1.846312101	1.91	858	0.96665555026178	-0.048926191178619	logPhase_halfLifeRatio_G3
MSMEG_0383	0.95736079293862	-0.0628653707089829	1.472896082	1.46	339	1.00883293287671	0.0126872776487168	logPhase_halfLifeRatio_G3
MSMEG_0387	0.900692390065348	-0.150893622701042	0.596936013	0.59	735	1.01175595423729	0.0168613393689194	logPhase_halfLifeRatio_G3
MSMEG_0388	1.21989625431878	0.286758459473331	0.758906308	0.76	723	0.998560931578947	-0.00207763216077772	logPhase_halfLifeRatio_G3
MSMEG_0422	1.57970605269034	0.659656130694178	0.75603886	0.78	768	0.96928058974359	-0.0450137338559766	logPhase_halfLifeRatio_G3
MSMEG_0424	0.83914509217973	-0.25300781381632	1.552921341	1.56	438	0.995462398076923	-0.00656127329869519	logPhase_halfLifeRatio_G3
MSMEG_0457	1.68187137324087	0.750067374865734	0.499733475	0.51	2034	0.979869558823529	-0.0293383858265292	logPhase_halfLifeRatio_G3
MSMEG_0464	3.19605253350512	1.67629112203449	1.191313622	1.2	807	0.992761351666667	-0.010481142638425	logPhase_halfLifeRatio_G3
MSMEG_0491	3.08245911602424	1.62408175967264	0.47254885	0.47	1029	1.00542308510638	0.00780271965431788	logPhase_halfLifeRatio_G3
MSMEG_0537	1.13459113354578	0.182172494981228	0.415617727	0.42	429	0.989566016666667	-0.0151321382556862	logPhase_halfLifeRatio_G3
MSMEG_0540	1.57476980567307	0.655140955923446	0.370477855	0.37	624	1.0012915	0.00186203849260355	logPhase_halfLifeRatio_G3
MSMEG_0541	0.971010942869559	-0.042440540607788	0.463667767	0.46	351	1.00797340652174	0.0114575765508121	logPhase_halfLifeRatio_G3
MSMEG_0598	1.15374307776729	0.206321992009067	0.641718093	0.66	435	0.972300140909091	-0.0405263644300949	logPhase_halfLifeRatio_G3
MSMEG_0601	0.997110736648147	-0.00417435922922011	0.784344484	0.78	309	1.00556985128205	0.00801330103464136	logPhase_halfLifeRatio_G3
MSMEG_0608	0.998412853341987	-0.00229158763693971	0.495441934	0.48	600	1.03217069583333	0.0456815770288645	logPhase_halfLifeRatio_G3
MSMEG_0618	1.00842463807728	0.0121032720176232	4.608927053	4.55	312	1.01295100065934	0.018564388536372	logPhase_halfLifeRatio_G3
MSMEG_0638	6.23892611626026	2.64129772458837	0.635808749	0.62	1932	1.02549798225806	0.0363246532130376	logPhase_halfLifeRatio_G3
MSMEG_0644	0.962304897821623	-0.0554340232593195	0.48374223	0.5	450	0.96748446	-0.0476896064065298	logPhase_halfLifeRatio_G3
MSMEG_0645	2.10745220849124	1.07549991498493	0.82444762	0.82	867	1.00542392682927	0.00780392745324575	logPhase_halfLifeRatio_G3
MSMEG_0683	0.981063667055624	-0.0275813303440343	1.175433441	1.19	369	0.987759194117647	-0.0177687249360468	logPhase_halfLifeRatio_G3
MSMEG_0687	4.5448781960748	2.18424163033279	0.947886552	0.92	1236	1.03031146956522	0.0430805390286739	logPhase_halfLifeRatio_G3
MSMEG_0713	0.965496987855737	-0.0506563366046206	1.551862697	1.51	360	1.02772364039735	0.0394523693664969	logPhase_halfLifeRatio_G3
MSMEG_0728	0.990200588137104	-0.0142072886874393	0.733774413	0.73	309	1.00517042876712	0.00744013413208012	logPhase_halfLifeRatio_G3
MSMEG_0736	3.30955664476269	1.72663796348471	0.476050684	0.49	837	0.971532008163265	-0.0416665671593875	logPhase_halfLifeRatio_G3
MSMEG_0750	3.19477227896486	1.67571310058805	0.437732545	0.43	723	1.0179826627907	0.0257129911593117	logPhase_halfLifeRatio_G3
MSMEG_0765	0.993236476810363	-0.0097908491327015	0.339731612	0.34	303	0.999210623529412	-0.00113927923880632	logPhase_halfLifeRatio_G3
MSMEG_0767	0.856946368423494	-0.222723178099899	0.698327506	0.68	486	1.02695221470588	0.0383690529212038	logPhase_halfLifeRatio_G3
MSMEG_0768	1.04839518184371	0.0681826285365497	0.719218723	0.72	411	0.998914893055556	-0.00156632837825821	logPhase_halfLifeRatio_G3
MSMEG_0776	1.03357018009167	0.0476363520267638	0.452748181	0.45	312	1.00610706888889	0.00878384344919691	logPhase_halfLifeRatio_G3
MSMEG_0793	1.11902330488511	0.16224008233045	0.843094156	0.84	759	1.00368351904762	0.00530443116306838	logPhase_halfLifeRatio_G3
MSMEG_0832	0.696213171479805	-0.522398986587266	1.00077107	1.03	594	0.971622398058252	-0.0415323471993875	logPhase_halfLifeRatio_G3
MSMEG_0833	1.00847501888125	0.012175347131335	0.341712893	0.34	312	1.00503792058824	0.00724993604351187	logPhase_halfLifeRatio_G3
MSMEG_0849	1.05308948734184	0.0746280360396219	0.663049364	0.66	318	1.00462024848485	0.0066502584563253	logPhase_halfLifeRatio_G3
MSMEG_0857	0.826523958687999	-0.274871454947046	2.4	2.36	387	1.01694915254237	0.0242475462466772	logPhase_halfLifeRatio_G3
MSMEG_0861	1.4745163240288	0.560241794230802	1.007302946	1.01	699	0.997329649504951	-0.00385765435665739	logPhase_halfLifeRatio_G3
MSMEG_0882	0.87327993611553	-0.195483900702489	0.600793047	0.62	384	0.969021043548387	-0.0454000989134133	logPhase_halfLifeRatio_G3
MSMEG_0884	1.01810295220235	0.0258834564251971	0.485385841	0.49	381	0.990583348979592	-0.0136497244162133	logPhase_halfLifeRatio_G3
MSMEG_0916	1.99642462510458	0.997418604131943	0.416739017	0.43	705	0.969160504651163	-0.0451924817870347	logPhase_halfLifeRatio_G3
MSMEG_0921	1.25976583192901	0.333155587287581	0.750995068	0.74	405	1.0148582	0.0212781624369666	logPhase_halfLifeRatio_G3
MSMEG_0933	12.5475981307355	3.64933932388352	0.910235599	0.9	1305	1.01137288777778	0.016315009272097	logPhase_halfLifeRatio_G3
MSMEG_0936	4.61161032344201	2.20527061182119	0.995470609	1.02	1191	0.97595157745098	-0.0351185256897346	logPhase_halfLifeRatio_G3
MSMEG_0938	2.36861441996626	1.2440433654514	0.530536815	0.52	801	1.02026310576923	0.0289412428252094	logPhase_halfLifeRatio_G3
MSMEG_0941	1.95951205999368	0.97049445216418	0.666483648	0.65	846	1.02535945846154	0.0361297614661718	logPhase_halfLifeRatio_G3
MSMEG_0958	1.01716551058115	0.0245544499590717	2.076057863	2.03	396	1.02268860246305	0.0323669270270567	logPhase_halfLifeRatio_G3
MSMEG_0962	1.28061335096992	0.356834955898808	0.470610382	0.47	594	1.00129868510638	0.00187239100249211	logPhase_halfLifeRatio_G3
MSMEG_0971	1.21315672536783	0.2787659414767	0.592075492	0.61	654	0.970615560655738	-0.0430281056889045	logPhase_halfLifeRatio_G3
MSMEG_0978	1.98168034980012	0.986724270824523	0.971408218	1	1041	0.971408218	-0.0418504034426561	logPhase_halfLifeRatio_G3
MSMEG_0983	1.70087653768406	0.766278423226241	0.611737495	0.63	654	0.971011896825397	-0.0424391232533393	logPhase_halfLifeRatio_G3
MSMEG_0986	0.539388068151235	-0.890604486939055	0.949246073	0.92	729	1.03178920978261	0.0451482643047961	logPhase_halfLifeRatio_G3
MSMEG_0987	0.801153731969029	-0.319848989495953	1.589867246	1.61	372	0.987495183850932	-0.0181543829141285	logPhase_halfLifeRatio_G3
MSMEG_0990	2.76337142202337	1.46642948639873	0.693171109	0.69	780	1.00459581014493	0.00661516310492031	logPhase_halfLifeRatio_G3
MSMEG_1008	2.1099539496199	1.07721151202251	0.374779817	0.37	492	1.01291842432432	0.0185179909587167	logPhase_halfLifeRatio_G3
MSMEG_1010	0.816119477728873	-0.293147720498097	0.429814821	0.43	660	0.999569351162791	-0.000621428760199009	logPhase_halfLifeRatio_G3
MSMEG_1063	0.920555333172229	-0.119423652514867	0.448826319	0.46	324	0.975709389130435	-0.0354765836688497	logPhase_halfLifeRatio_G3
MSMEG_1077	1.04079442084622	0.057685133656566	0.800064005	0.78	462	1.02572308333333	0.0366412960281298	logPhase_halfLifeRatio_G3
MSMEG_1151	3.40912065806515	1.76939966128828	1.38834255	1.43	606	0.970868916083916	-0.0426515746104754	logPhase_halfLifeRatio_G3
MSMEG_1165	0.940614909195284	-0.0883238951052125	1.413113695	1.43	492	0.988191395104895	-0.0171376016333539	logPhase_halfLifeRatio_G3
