 	fprUTR_MFE_20_10nt_5pUTR	fprUTR_MFE_20_10nt_5p	fprUTR_MFE_20_10nt_mid	fprUTR_MFE_20_10nt_3p
MSMEG_0001	-2.65	-3.3	-2.7333	-1.55
MSMEG_0002	NA	NA	NA	NA
MSMEG_0003	NA	NA	NA	NA
MSMEG_0004	NA	NA	NA	NA
MSMEG_0005	-2.55	-4.6	-1.0	0.0
MSMEG_0006	NA	NA	NA	NA
MSMEG_0007	-2.5407	-2.8	-2.85	-1.8625
MSMEG_0009	NA	NA	NA	NA
MSMEG_0011	NA	NA	NA	NA
MSMEG_0012	NA	NA	NA	NA
MSMEG_0014	NA	NA	NA	NA
MSMEG_0015	NA	NA	NA	NA
MSMEG_0016	-1.8667	-2.0667	-2.4	-0.2
MSMEG_0017	NA	NA	NA	NA
MSMEG_0018	NA	NA	NA	NA
MSMEG_0019	NA	NA	NA	NA
MSMEG_0020	-2.8875	-2.7333	-1.7	-4.9
MSMEG_0021	-4.325	-5.05	-3.6	-1.5
MSMEG_0022	NA	NA	NA	NA
MSMEG_0023	NA	NA	NA	NA
MSMEG_0024	NA	NA	NA	NA
MSMEG_0025	NA	NA	NA	NA
MSMEG_0026	-0.7333	-1.1	0.0	0.0
MSMEG_0027	-1.3	-1.7	-1.1	0.0
MSMEG_0028	-3.7316	-4.1857	-4.0	-2.72
MSMEG_0029	NA	NA	NA	NA
MSMEG_0030	-2.65	-2.52	-2.16	-3.425
MSMEG_0031	NA	NA	NA	NA
MSMEG_0032	-4.0652	-6.2125	-3.8125	-1.9
MSMEG_0033	-1.92	-0.75	-3.1	-1.9
MSMEG_0034	-2.5333	-2.15	-3.3	-3.3
MSMEG_0035	NA	NA	NA	NA
MSMEG_0036	-2.4148	-2.41	-1.6778	-3.25
MSMEG_0039	NA	NA	NA	NA
MSMEG_0040	NA	NA	NA	NA
MSMEG_0041	NA	NA	NA	NA
MSMEG_0042	NA	NA	NA	NA
MSMEG_0043	NA	NA	NA	NA
MSMEG_0044	-2.3857	-2.4333	-3.1333	0.0
MSMEG_0045	NA	NA	NA	NA
MSMEG_0046	-2.8	-3.2	-3.8	0.0
MSMEG_0047	-1.3333	-1.0	-2.0	-2.0
MSMEG_0048	NA	NA	NA	NA
MSMEG_0049	-3.3921	-3.5	-3.2538	-3.425
MSMEG_0050	-2.8625	-2.7	-3.2727	-2.59
MSMEG_0051	-3.75	-7.5	0.0	0.0
MSMEG_0052	-1.725	-3.4	-0.1	0.0
MSMEG_0053	-0.4	-0.8	0.0	0.0
MSMEG_0054	NA	NA	NA	NA
MSMEG_0055	NA	NA	NA	NA
