 	CDS_5pUnpairedNt
MSMEG_0001	0
MSMEG_0002	4
MSMEG_0003	6
MSMEG_0004	7
MSMEG_0005	1
MSMEG_0006	1
MSMEG_0007	4
MSMEG_0009	3
MSMEG_0011	0
MSMEG_0012	3
MSMEG_0014	0
MSMEG_0015	6
MSMEG_0016	0
MSMEG_0017	1
MSMEG_0018	2
MSMEG_0019	0
MSMEG_0020	2
MSMEG_0021	9
MSMEG_0022	3
MSMEG_0023	8
MSMEG_0024	0
MSMEG_0025	1
MSMEG_0026	13
MSMEG_0027	2
MSMEG_0028	6
MSMEG_0029	2
MSMEG_0030	1
MSMEG_0031	0
MSMEG_0032	11
MSMEG_0033	0
MSMEG_0034	5
MSMEG_0035	0
MSMEG_0036	0
MSMEG_0039	0
MSMEG_0040	6
MSMEG_0041	9
MSMEG_0042	1
MSMEG_0043	0
MSMEG_0044	1
MSMEG_0045	3
MSMEG_0046	3
MSMEG_0047	0
MSMEG_0048	0
MSMEG_0049	1
MSMEG_0050	4
MSMEG_0051	11
MSMEG_0052	5
MSMEG_0053	0
MSMEG_0054	0
MSMEG_0055	1
MSMEG_0056	0
MSMEG_0057	5
MSMEG_0058	0
MSMEG_0059	1
MSMEG_0060	4
MSMEG_0061	0
MSMEG_0062	2
MSMEG_0063	1
MSMEG_0064	0
MSMEG_0065	0
MSMEG_0066	9
MSMEG_0067	1
MSMEG_0068	9
MSMEG_0069	1
MSMEG_0070	4
MSMEG_0071	2
MSMEG_0072	0
MSMEG_0073	0
MSMEG_0074	0
MSMEG_0075	3
MSMEG_0076	8
MSMEG_0077	0
MSMEG_0078	2
MSMEG_0079	2
MSMEG_0080	3
MSMEG_0081	12
MSMEG_0082	9
MSMEG_0083	3
MSMEG_0084	1
MSMEG_0085	8
MSMEG_0086	4
MSMEG_0087	5
MSMEG_0088	1
MSMEG_0089	3
MSMEG_0090	3
MSMEG_0091	2
MSMEG_0092	2
MSMEG_0093	7
MSMEG_0094	8
MSMEG_0095	2
MSMEG_0096	0
MSMEG_0097	4
MSMEG_0098	8
MSMEG_0099	0
MSMEG_0100	0
MSMEG_0101	19
MSMEG_0102	1
MSMEG_0103	7
MSMEG_0104	3
MSMEG_0105	1
MSMEG_0106	2
MSMEG_0107	6
MSMEG_0108	1
MSMEG_0109	4
MSMEG_0110	7
MSMEG_0111	2
MSMEG_0112	0
MSMEG_0113	0
MSMEG_0114	0
MSMEG_0115	1
MSMEG_0116	6
MSMEG_0117	0
MSMEG_0118	5
MSMEG_0119	2
MSMEG_0120	5
