gene	ratio_5pTo3p	coverageRatio_5pTo3p_log2	HalfLife_5p300nt_logPhase	HalfLife_entireGene_logPhase	CDS_length	halfLifeRatio_5pVScds	halfLifeRatio_5pVScds_log2	HalfLife_entireGene_logPhase_log2	coverageRatio_5pTo3p_log2_subset
MSMEG_0002	0.749978008486221	-0.415079802629551	0.630074349	0.92	894	0.684863422826087	-0.546111783978027	-0.120294233717712	logPhase_G3
MSMEG_0007	0.986139455168821	-0.0201364147607935	1.950784494	1.49	783	1.30925133825503	0.388742079442917	0.575312330687437	logPhase_G3
MSMEG_0020	0.862633859457906	-0.213179750118791	1.144928919	1.12	948	1.02225796339286	0.0317593015071103	0.16349873228288	logPhase_G3
MSMEG_0021	1.07904483974674	0.109754817315403	0.827677537	0.82	411	1.00936285	0.0134448937629755	-0.286304185156641	logPhase_G3
MSMEG_0023	1.16945102029819	0.225831439071569	2.353587259	2.23	411	1.0554202955157	0.0778176316399891	1.15704371014558	logPhase_G3
MSMEG_0024	0.800837318574684	-0.3204188903586	1.128737937	1.06	528	1.06484711037736	0.0906463046910602	0.0840642647884746	logPhase_G3
MSMEG_0025	1.21424144519351	0.280055322045903	0.673597234	0.75	408	0.898129645333333	-0.155004381347137	-0.415037499278844	logPhase_G3
MSMEG_0028	0.931071197472533	-0.103036602384522	1.504508151	1.64	1878	0.917383018902439	-0.124403892036899	0.713695814843359	logPhase_G3
MSMEG_0029	0.965295615248175	-0.050957269250507	0.765902041	0.67	675	1.14313737462687	0.192998787440307	-0.577766999316952	logPhase_G3
MSMEG_0030	1.00617678642794	0.00888381060604113	1.298994516	1.53	1260	0.849016023529412	-0.236136312783638	0.613531652917927	logPhase_G3
MSMEG_0034	0.99322930506572	-0.00980126626701612	0.640138514	0.61	468	1.0494074	0.0695748684358992	-0.713118852211838	logPhase_G3
MSMEG_0035	0.79734391453163	-0.32672596569055	0.68212824	1.22	1149	0.559121508196721	-0.838766251490717	0.286881147788162	logPhase_G3
MSMEG_0042	0.819713656660213	-0.286808061085007	0.683270131	0.64	564	1.0676095796875	0.0943841559893353	-0.643856189774725	logPhase_G3
MSMEG_0043	0.945980896374196	-0.0801170455557747	0.816404283	0.84	786	0.971909860714286	-0.0411055768697958	-0.251538766995964	logPhase_G3
