gene	ratio_5pTo3p	coverageRatio_5pTo3p_log2	HalfLife_5p300nt_hypoxia	HalfLife_entireGene_hypoxia	CDS_length	halfLifeRatio_5pVScds	halfLifeRatio_5pVScds_log2	halfLifeRatio_5pVScds_log2_subset
MSMEG_0024	0.557778182371433	-0.84223659078311	23.64888857	24.47	528	0.966444158970168	-0.0492417187924878	hypoxia_halfLifeRatio_G4
MSMEG_0095	1.09273855521662	0.127948268154519	21.07561589	21.56	936	0.977533204545455	-0.0327823866162639	hypoxia_halfLifeRatio_G4
MSMEG_0194	1.15873565690804	0.212551480955912	22.13337853	21.78	699	1.01622490955005	0.0232197328025625	hypoxia_halfLifeRatio_G4
MSMEG_0230	0.996508118113111	-0.0050465367735354	8.59161943	8.6	306	0.999025515116279	-0.00140656996111113	hypoxia_halfLifeRatio_G4
MSMEG_0371	0.830351320949037	-0.268206226196331	35.12639701	36.27	858	0.968469727322856	-0.0462211414886455	hypoxia_halfLifeRatio_G4
MSMEG_0383	0.988635846758507	-0.0164888770571177	12.62118995	12.7	339	0.993794484251969	-0.00898056020845058	hypoxia_halfLifeRatio_G4
MSMEG_0601	1.02199588261338	0.0313893840003698	22.69258028	22.95	309	0.988783454466231	-0.0162734923805406	hypoxia_halfLifeRatio_G4
MSMEG_0683	1.00606401022599	0.00872209867998833	30.39624657	30.47	369	0.997579473908763	-0.00349631415711966	hypoxia_halfLifeRatio_G4
MSMEG_0693	0.959508485855088	-0.0596325292724214	12.7513656	12.47	552	1.02256340016038	0.032190294767401	hypoxia_halfLifeRatio_G4
MSMEG_0699	1.31882592630572	0.399254153802033	21.80589479	21.98	1851	0.992078925841674	-0.0114731946472863	hypoxia_halfLifeRatio_G4
MSMEG_0736	1.61218079790529	0.689013543875237	11.93441448	12.35	837	0.966349350607287	-0.0493832544033991	hypoxia_halfLifeRatio_G4
MSMEG_0754	0.679986742456117	-0.556421476140954	18.9902112	18.46	417	1.02872216684724	0.0408533975536591	hypoxia_halfLifeRatio_G4
MSMEG_0776	0.999121199605899	-0.00126839838666873	7.429055863	7.44	312	0.998529013844086	-0.00212374681666537	hypoxia_halfLifeRatio_G4
MSMEG_0833	0.979790557593045	-0.0294547066951848	7.577481455	7.61	312	0.995726866622865	-0.00617803754234722	hypoxia_halfLifeRatio_G4
MSMEG_0918	1.06964924852696	0.0971377962824508	12.45884466	12.28	429	1.01456389739414	0.020859729116938	hypoxia_halfLifeRatio_G4
MSMEG_0937	1.18262388943855	0.241991325481235	36.23700963	35.89	678	1.00966869963778	0.0138819822860749	hypoxia_halfLifeRatio_G4
MSMEG_0987	0.802889427043793	-0.316726779672459	19.21285011	19.2	372	1.0006692765625	0.000965239007797457	hypoxia_halfLifeRatio_G4
MSMEG_1033	0.863277917399828	-0.212103009981263	14.0927029	14.44	975	0.975948954293629	-0.0351224033628443	hypoxia_halfLifeRatio_G4
MSMEG_1041	5.76171328723427	2.52649787129667	48.48502497	47.64	1242	1.0177377197733	0.0253658137362901	hypoxia_halfLifeRatio_G4
MSMEG_1066	0.992509246448526	-0.0108475520843663	23.84455925	24.39	312	0.977636705617056	-0.0326296423641255	hypoxia_halfLifeRatio_G4
MSMEG_1067	0.843616430574036	-0.245340901039728	13.18454202	13.41	372	0.983187324384788	-0.0244617788158118	hypoxia_halfLifeRatio_G4
MSMEG_1077	1.00477123589058	0.00686706915108791	21.68801818	21.56	462	1.00593776345083	0.00854104953871673	hypoxia_halfLifeRatio_G4
MSMEG_1110	1.99775345478573	0.998378549343981	30.97760868	31.13	492	0.995104679730164	-0.00707979738784932	hypoxia_halfLifeRatio_G4
MSMEG_1131	0.641680717197596	-0.640072464665256	16.71409857	17.09	486	0.978004597425395	-0.0320868478415213	hypoxia_halfLifeRatio_G4
MSMEG_1246	1.36031374236618	0.443939432618288	40.16112692	40.07	1437	1.00227419316197	0.00327724206691846	hypoxia_halfLifeRatio_G4
MSMEG_1251	0.684965419211709	-0.545896940085883	14.60865903	15.04	366	0.971320414228724	-0.041980811841829	hypoxia_halfLifeRatio_G4
MSMEG_1344	1.0781593356091	0.108570402307855	15.92619429	15.93	435	0.999761097928437	-0.000344704010792946	hypoxia_halfLifeRatio_G4
MSMEG_1418	1.60528931449165	0.682833331595333	11.29874492	11.27	525	1.00255056965395	0.00367500949709205	hypoxia_halfLifeRatio_G4
MSMEG_1422	1.02060309874901	0.0294219271437796	46.47138451	45.54	309	1.02045200944225	0.029208335856486	hypoxia_halfLifeRatio_G4
MSMEG_1556	1.42386131868139	0.509808637460383	35.62125937	36.46	444	0.976995594349973	-0.0335760383475169	hypoxia_halfLifeRatio_G4
MSMEG_1601	0.917836561822654	-0.123690817544868	11.44882667	11.14	411	1.02772232226212	0.0394505189970903	hypoxia_halfLifeRatio_G4
MSMEG_1666	1.45158777350035	0.537631810383524	20.47831942	20.9	915	0.97982389569378	-0.0294056187610487	hypoxia_halfLifeRatio_G4
MSMEG_1777	0.974508030621836	-0.0372540205477986	37.55794413	37.83	306	0.992808462331483	-0.0104126823686956	hypoxia_halfLifeRatio_G4
MSMEG_1791	0.957895509280388	-0.0620598047555385	42.25030451	42.02	309	1.00548083079486	0.00788557733614136	hypoxia_halfLifeRatio_G4
MSMEG_1808	1.28894481930621	0.366190502165571	20.83809178	21.49	411	0.969664577943229	-0.0444423119428098	hypoxia_halfLifeRatio_G4
MSMEG_1813	0.697461555829145	-0.519814397290606	16.75884872	16.19	1629	1.03513580728845	0.0498200582060791	hypoxia_halfLifeRatio_G4
MSMEG_1831	0.782070679187491	-0.354629098728807	12.23614661	11.99	390	1.02052932527106	0.0293176393184662	hypoxia_halfLifeRatio_G4
MSMEG_1832	1.06952037474563	0.0969639666212216	11.20615969	11.47	465	0.976997357454228	-0.0335734348358061	hypoxia_halfLifeRatio_G4
MSMEG_1833	0.85800204579431	-0.220947007239713	11.60022086	11.28	420	1.02838837411348	0.0403852057707471	hypoxia_halfLifeRatio_G4
MSMEG_1842	1.05460234127852	0.0766991047008237	15.67789229	15.35	624	1.02136106123779	0.0304929633503716	hypoxia_halfLifeRatio_G4
MSMEG_1875	5.66002650209268	2.50080880824235	32.86535567	33.54	1587	0.979885380739416	-0.0293150908735468	hypoxia_halfLifeRatio_G4
MSMEG_1915	1.00081477648716	0.00117499538313026	39.44492813	39.87	306	0.989338553549034	-0.0154637964045202	hypoxia_halfLifeRatio_G4
MSMEG_1927	0.75554935498112	-0.40440209481055	19.86997992	19.99	798	0.993995993996999	-0.00868805743814101	hypoxia_halfLifeRatio_G4
MSMEG_1953	0.979638659706113	-0.0296783864552926	21.90285132	22	312	0.995584150909091	-0.00638483120848775	hypoxia_halfLifeRatio_G4
MSMEG_2010	0.985929842485114	-0.0204431049778057	11.62764306	11.56	318	1.00585147577855	0.00841729224391768	hypoxia_halfLifeRatio_G4
MSMEG_2261	1.08988046651717	0.124169914984435	16.90732956	17.04	570	0.992214176056338	-0.0112765253003131	hypoxia_halfLifeRatio_G4
MSMEG_2263	1.24201613734393	0.312683918417339	33.61174897	34.74	1215	0.967522998560737	-0.0476321395577903	hypoxia_halfLifeRatio_G4
MSMEG_2272	1.00453802353577	0.00653217365635288	10.42702258	10.47	336	0.995895184336199	-0.00593418491902262	hypoxia_halfLifeRatio_G4
MSMEG_2309	1.21483087957588	0.280755485699656	14.99287501	15.15	738	0.989628713531353	-0.0150407349648299	hypoxia_halfLifeRatio_G4
MSMEG_2321	5.96865171094554	2.57740507058251	49.52482934	49.94	1242	0.991686610732879	-0.0120438175952785	hypoxia_halfLifeRatio_G4
MSMEG_2394	1.45594939999277	0.541960217042093	44.58577406	43.45	1110	1.02613979424626	0.0372272872095076	hypoxia_halfLifeRatio_G4
MSMEG_2443	0.978813758804453	-0.0308937139242459	11.26341336	11.26	306	1.00030314031972	0.000437272761793114	hypoxia_halfLifeRatio_G4
MSMEG_2456	1.0086837402777	0.012473906997576	13.53997036	13.39	999	1.01120017625093	0.0160686200876274	hypoxia_halfLifeRatio_G4
MSMEG_2457	1.05450434830353	0.076565044171917	16.04892754	16.12	318	0.995591038461539	-0.00637485053193744	hypoxia_halfLifeRatio_G4
MSMEG_2465	1.19011493195518	0.25110090441987	26.99131901	26.62	1221	1.01394887340346	0.0199849088039045	hypoxia_halfLifeRatio_G4
MSMEG_2515	0.541392211833118	-0.885253960992694	13.80156418	13.96	903	0.988650729226361	-0.0164671595551328	hypoxia_halfLifeRatio_G4
MSMEG_2541	0.98646102307073	-0.0196660464052941	23.48055098	23.99	558	0.978764109212172	-0.0309668954019816	hypoxia_halfLifeRatio_G4
MSMEG_2578	0.86271040520475	-0.213051738368664	20.04882763	20.71	1197	0.96807472863351	-0.0468096770695632	hypoxia_halfLifeRatio_G4
MSMEG_2591	1.04890254723397	0.0688806444038955	18.56228678	18.77	657	0.988933765583378	-0.0160541960104457	hypoxia_halfLifeRatio_G4
MSMEG_2606	0.92559748754609	-0.111543146506907	19.92186799	19.41	330	1.02637135445647	0.0375528111595815	hypoxia_halfLifeRatio_G4
MSMEG_2624	2.03049415087768	1.02183087138343	11.559891	11.91	546	0.970603778337532	-0.0430456186939575	hypoxia_halfLifeRatio_G4
MSMEG_2670	0.784615460458617	-0.349942331601818	18.81775877	19.31	801	0.974508481097877	-0.037253353647804	hypoxia_halfLifeRatio_G4
MSMEG_2671	1.55169503599561	0.633845043807942	25.11577391	25.5	465	0.984932310196079	-0.0219035166128371	hypoxia_halfLifeRatio_G4
