gene	ratio_5pTo3p	coverageRatio_5pTo3p_log2	HalfLife_5p300nt_hypoxia	HalfLife_entireGene_hypoxia	CDS_length	halfLifeRatio_5pVScds	halfLifeRatio_5pVScds_log2	HalfLife_entireGene_hypoxia_log2	coverageRatio_5pTo3p_log2_subset
MSMEG_0006	1.000043006341	6.20437007568684e-05	56.60714134	47.58	2529	1.18972554308533	0.250628797652708	5.57228336665041	hypoxia_G3
MSMEG_0093	1.24330583351398	0.314181220141317	13.03117699	14.94	963	0.872234068942436	-0.197212752559585	3.90110824301451	hypoxia_G3
MSMEG_0095	1.09273855521662	0.127948268154519	21.07561589	21.56	936	0.977533204545455	-0.0327823866162639	4.43028527297778	hypoxia_G3
MSMEG_0194	1.15873565690804	0.212551480955912	22.13337853	21.78	699	1.01622490955005	0.0232197328025625	4.44493204894218	hypoxia_G3
MSMEG_0230	0.996508118113111	-0.0050465367735354	8.59161943	8.6	306	0.999025515116279	-0.00140656996111113	3.10433665981474	hypoxia_G3
MSMEG_0234	1.18158319418528	0.240721211718062	11.40383621	22.73	2001	0.501708588209415	-0.99507846062991	4.50652577904312	hypoxia_G3
MSMEG_0268	0.90130338809691	-0.149915280937325	15.76286591	17.65	780	0.893080221529745	-0.163138322670781	4.14159627838382	hypoxia_G3
MSMEG_0317	0.829100319616622	-0.270381419153089	26.13383979	30.59	1197	0.854326243543642	-0.227140994522649	4.93498820178348	hypoxia_G3
MSMEG_0371	0.830351320949037	-0.268206226196331	35.12639701	36.27	858	0.968469727322856	-0.0462211414886455	5.18070484019556	hypoxia_G3
MSMEG_0372	1.37625623771954	0.460749102650065	21.41059149	23.39	1353	0.915373727661394	-0.127567209455829	4.5478199565777	hypoxia_G3
MSMEG_0373	0.808330406044624	-0.306982977989495	40.73444323	29.39	1299	1.38599670738346	0.470923830168351	4.87725345387661	hypoxia_G3
MSMEG_0383	0.988635846758507	-0.0164888770571177	12.62118995	12.7	339	0.993794484251969	-0.00898056020845058	3.6667565918848	hypoxia_G3
MSMEG_0387	1.0220282348973	0.031435053206689	10.77964686	13.3	735	0.810499763909774	-0.303116329386677	3.73335434061383	hypoxia_G3
MSMEG_0391	0.963854716895154	-0.0531123913892594	12.45316041	14.34	789	0.868421228033473	-0.203533102692591	3.84197311892718	hypoxia_G3
MSMEG_0415	0.766913975825159	-0.382863334122198	16.73455132	17.86	486	0.936984956326988	-0.0939022098702207	4.1586601753465	hypoxia_G3
MSMEG_0434	0.957311887672068	-0.062939070392754	20.14196151	19.4	633	1.03824543865979	0.0541475335615517	4.27798474729977	hypoxia_G3
MSMEG_0464	1.30648466285539	0.385690188605621	16.94902314	16.27	807	1.04173467363245	0.0589878747588592	4.0241423458978	hypoxia_G3
MSMEG_0530	0.810552201744631	-0.30302299270663	11.05845706	11.72	702	0.94355435665529	-0.0838224633169088	3.55090066464752	hypoxia_G3
MSMEG_0537	1.10000522137902	0.137510371786069	15.54796056	16.66	429	0.933250933973589	-0.0996630475461145	4.05831649559082	hypoxia_G3
MSMEG_0538	1.01204779127372	0.0172774190891626	16.62402496	15.67	492	1.06088225654116	0.0852645456680173	3.96993327469786	hypoxia_G3
MSMEG_0541	0.898552316174989	-0.154325591053142	17.26851504	16.4	351	1.05295823414634	0.0744482126362239	4.03562390973072	hypoxia_G3
MSMEG_0542	1.38596752607431	0.470893454790852	13.2641579	15.4	705	0.861308954545455	-0.215397264653079	3.94485844580754	hypoxia_G3
MSMEG_0593	1.08407918491899	0.116470140010614	43.04689267	44.82	648	0.960439372378402	-0.05823354807583	5.48607074373567	hypoxia_G3
MSMEG_0594	1.38986112145073	0.474940732298281	19.75557665	27.96	1470	0.706565688483548	-0.501104402630947	4.80529245560071	hypoxia_G3
MSMEG_0601	1.02199588261338	0.0313893840003698	22.69258028	22.95	309	0.988783454466231	-0.0162734923805406	4.52042224852645	hypoxia_G3
MSMEG_0672	0.943721977507187	-0.0835661937203063	40.01730478	34.01	654	1.17663348368127	0.234664996993276	5.08788710093312	hypoxia_G3
MSMEG_0674	0.867134940282377	-0.205671577186606	8.760529736	12.56	1011	0.697494405732484	-0.519746449062911	3.6507645591169	hypoxia_G3
MSMEG_0679	1.10293137521381	0.141343028718315	8.727478584	12.64	1689	0.690465077848101	-0.534359646789907	3.65992455840238	hypoxia_G3
MSMEG_0683	1.00606401022599	0.00872209867998833	30.39624657	30.47	369	0.997579473908763	-0.00349631415711966	4.92931759491176	hypoxia_G3
MSMEG_0693	0.959508485855088	-0.0596325292724214	12.7513656	12.47	552	1.02256340016038	0.032190294767401	3.64038956005495	hypoxia_G3
MSMEG_0699	1.31882592630572	0.399254153802033	21.80589479	21.98	1851	0.992078925841674	-0.0114731946472863	4.45811948117451	hypoxia_G3
