 	SD_GA_percent	SD_GA_count
MSMEG_0001	0.7857	7
MSMEG_0005	0.6429	6
MSMEG_0007	0.7143	7
MSMEG_0015	0.7143	7
MSMEG_0016	0.4286	1
MSMEG_0020	0.4286	2
MSMEG_0021	0.8571	9
MSMEG_0023	0.6429	6
MSMEG_0026	0.5714	4
MSMEG_0027	0.7143	8
MSMEG_0028	0.5714	4
MSMEG_0030	0.7857	7
MSMEG_0032	0.5714	4
MSMEG_0033	0.6429	5
MSMEG_0034	0.7143	7
MSMEG_0036	0.2143	0
MSMEG_0044	0.5	3
MSMEG_0046	0.7857	8
MSMEG_0047	0.5	5
MSMEG_0048	0.7143	7
MSMEG_0049	0.5714	4
MSMEG_0050	0.4286	2
MSMEG_0051	0.6429	6
MSMEG_0052	0.6429	5
MSMEG_0053	0.6429	7
MSMEG_0055	0.7143	7
MSMEG_0056	0.8571	10
MSMEG_0060	0.8571	9
MSMEG_0067	0.5714	6
MSMEG_0069	0.5714	3
MSMEG_0070	0.6429	5
MSMEG_0076	0.7857	8
MSMEG_0078	0.7143	5
MSMEG_0079	0.7143	6
MSMEG_0083	0.7143	7
MSMEG_0087	0.6429	5
MSMEG_0095	0.7143	7
MSMEG_0096	0.5	2
MSMEG_0101	0.6429	5
MSMEG_0109	0.4286	4
MSMEG_0110	0.5714	4
MSMEG_0117	0.5	5
MSMEG_0118	0.5714	4
MSMEG_0130	0.5714	4
MSMEG_0131	0.6429	6
MSMEG_0132	0.7143	7
MSMEG_0133	0.6429	6
MSMEG_0140	0.6429	6
MSMEG_0142	0.6429	6
MSMEG_0143	0.6429	6
MSMEG_0145	0.4286	1
MSMEG_0152	0.7857	9
MSMEG_0153	0.8571	9
MSMEG_0155	0.8571	10
MSMEG_0166	0.5714	5
MSMEG_0167	0.6429	6
MSMEG_0168	0.5714	5
MSMEG_0173	0.3571	2
MSMEG_0174	0.7857	8
MSMEG_0179	0.7143	9
MSMEG_0181	0.7143	5
MSMEG_0186	0.6429	3
MSMEG_0191	0.5	2
MSMEG_0194	0.7143	8
MSMEG_0195	0.7857	8
MSMEG_0203	0.8571	10
MSMEG_0208	0.5714	3
MSMEG_0210	0.3571	1
MSMEG_0218	0.7857	8
MSMEG_0222	0.5	3
MSMEG_0226	0.5714	4
MSMEG_0227	0.7857	8
MSMEG_0233	0.5	4
MSMEG_0240	0.8571	9
MSMEG_0241	0.4286	2
MSMEG_0242	0.6429	6
MSMEG_0243	0.5714	4
MSMEG_0245	0.6429	4
MSMEG_0250	0.6429	6
MSMEG_0253	0.5714	6
MSMEG_0255	0.6429	6
MSMEG_0264	0.5714	5
MSMEG_0268	0.7857	8
MSMEG_0270	0.8571	9
MSMEG_0282	0.5	4
MSMEG_0285	0.6429	5
MSMEG_0290	0.7143	7
MSMEG_0296	0.7143	6
MSMEG_0299	0.7143	6
MSMEG_0300	0.6429	6
MSMEG_0305	0.6429	6
MSMEG_0309	0.7857	8
MSMEG_0314	0.4286	5
MSMEG_0317	0.7143	8
MSMEG_0321	0.7143	7
MSMEG_0331	0.3571	2
MSMEG_0341	0.5	3
MSMEG_0348	0.7857	7
MSMEG_0358	0.5714	5
MSMEG_0359	0.5	2
MSMEG_0366	0.5	3
MSMEG_0368	0.7857	9
MSMEG_0372	0.7143	7
MSMEG_0376	0.3571	2
MSMEG_0380	0.3571	2
MSMEG_0381	0.4286	4
MSMEG_0382	0.6429	6
MSMEG_0383	0.7143	9
MSMEG_0384	0.6429	6
MSMEG_0387	0.5714	3
MSMEG_0388	0.7857	7
MSMEG_0392	0.3571	1
MSMEG_0398	0.8571	10
MSMEG_0399	0.7857	8
MSMEG_0402	0.8571	9
MSMEG_0406	0.6429	7
MSMEG_0408	0.7143	8
MSMEG_0409	0.7143	7
MSMEG_0410	0.6429	4
MSMEG_0411	0.5	2
MSMEG_0412	0.7143	6
MSMEG_0416	0.7857	7
MSMEG_0419	0.7857	8
MSMEG_0420	0.6429	7
MSMEG_0422	0.7143	8
MSMEG_0428	0.5714	5
MSMEG_0429	0.5714	4
MSMEG_0433	0.2857	1
MSMEG_0443	0.4286	4
MSMEG_0447	0.7857	7
MSMEG_0449	0.4286	3
MSMEG_0450	0.5714	4
MSMEG_0451	0.5714	3
MSMEG_0453	0.7857	8
MSMEG_0455	0.7857	8
MSMEG_0457	0.7143	8
MSMEG_0462	0.7143	6
MSMEG_0465	0.7143	7
MSMEG_0466	0.5714	5
MSMEG_0473	0.5	2
MSMEG_0484	0.7143	6
MSMEG_0493	0.7143	7
MSMEG_0494	0.7143	7
MSMEG_0499	0.7143	7
MSMEG_0500	0.7857	8
MSMEG_0504	0.7857	9
MSMEG_0520	0.7857	9
MSMEG_0530	0.7143	8
MSMEG_0531	0.5	4
MSMEG_0537	0.6429	6
MSMEG_0539	0.7143	6
MSMEG_0540	0.6429	4
MSMEG_0545	0.6429	5
MSMEG_0549	0.2857	1
MSMEG_0557	0.5	4
MSMEG_0559	0.8571	9
MSMEG_0560	0.7143	8
MSMEG_0566	0.8571	9
MSMEG_0572	0.5	6
MSMEG_0574	0.2857	1
MSMEG_0575	0.2857	1
MSMEG_0581	0.7857	7
MSMEG_0583	0.4286	2
MSMEG_0586	0.5	3
MSMEG_0595	0.6429	6
MSMEG_0596	0.5	3
MSMEG_0600	0.5714	3
MSMEG_0602	0.5714	3
MSMEG_0603	0.5714	5
MSMEG_0605	0.4286	2
MSMEG_0606	0.5714	4
MSMEG_0608	0.6429	5
MSMEG_0615	0.4286	3
MSMEG_0623	0.6429	5
MSMEG_0641	0.6429	5
MSMEG_0643	0.8571	10
