 	fpr_UTR_length
MSMEG_0001	105
MSMEG_0002	NA
MSMEG_0003	NA
MSMEG_0004	NA
MSMEG_0005	57
MSMEG_0006	NA
MSMEG_0007	287
MSMEG_0009	NA
MSMEG_0011	NA
MSMEG_0012	NA
MSMEG_0014	NA
MSMEG_0015	26
MSMEG_0016	80
MSMEG_0017	NA
MSMEG_0018	NA
MSMEG_0019	NA
MSMEG_0020	103
MSMEG_0021	65
MSMEG_0022	NA
MSMEG_0023	32
MSMEG_0024	0
MSMEG_0025	NA
MSMEG_0026	54
MSMEG_0027	48
MSMEG_0028	213
MSMEG_0029	0
MSMEG_0030	302
MSMEG_0031	NA
MSMEG_0032	253
MSMEG_0033	123
MSMEG_0034	54
MSMEG_0035	NA
MSMEG_0036	294
MSMEG_0039	NA
MSMEG_0040	NA
MSMEG_0041	NA
MSMEG_0042	0
MSMEG_0043	NA
MSMEG_0044	95
MSMEG_0045	NA
MSMEG_0046	66
MSMEG_0047	54
MSMEG_0048	23
MSMEG_0049	402
MSMEG_0050	337
MSMEG_0051	43
MSMEG_0052	61
MSMEG_0053	43
MSMEG_0054	NA
MSMEG_0055	19
MSMEG_0056	71
MSMEG_0057	NA
MSMEG_0058	NA
MSMEG_0059	NA
MSMEG_0060	107
MSMEG_0061	11
MSMEG_0062	NA
MSMEG_0063	NA
MSMEG_0064	NA
MSMEG_0065	NA
MSMEG_0066	NA
MSMEG_0067	28
MSMEG_0068	NA
MSMEG_0069	75
MSMEG_0070	462
MSMEG_0071	NA
MSMEG_0072	NA
MSMEG_0073	0
MSMEG_0074	0
MSMEG_0075	NA
MSMEG_0076	120
MSMEG_0077	NA
MSMEG_0078	182
MSMEG_0079	246
MSMEG_0080	NA
MSMEG_0081	NA
MSMEG_0082	NA
MSMEG_0083	79
MSMEG_0084	NA
MSMEG_0085	NA
MSMEG_0086	NA
MSMEG_0087	42
MSMEG_0088	NA
MSMEG_0089	NA
MSMEG_0090	NA
MSMEG_0091	NA
MSMEG_0092	0
MSMEG_0093	1
MSMEG_0094	NA
MSMEG_0095	42
MSMEG_0096	41
MSMEG_0097	NA
MSMEG_0098	0
MSMEG_0099	NA
MSMEG_0100	NA
MSMEG_0101	23
MSMEG_0102	NA
MSMEG_0103	NA
MSMEG_0104	0
MSMEG_0105	NA
MSMEG_0106	NA
MSMEG_0107	4
MSMEG_0108	NA
MSMEG_0109	228
MSMEG_0110	27
MSMEG_0111	0
MSMEG_0112	NA
MSMEG_0113	NA
MSMEG_0114	NA
MSMEG_0115	NA
MSMEG_0116	NA
MSMEG_0117	29
MSMEG_0118	19
MSMEG_0119	0
MSMEG_0120	3
MSMEG_0121	NA
MSMEG_0122	NA
MSMEG_0123	NA
MSMEG_0124	0
MSMEG_0125	NA
MSMEG_0126	NA
MSMEG_0127	0
MSMEG_0128	0
MSMEG_0129	0
MSMEG_0130	75
MSMEG_0131	76
MSMEG_0132	135
MSMEG_0133	62
MSMEG_0134	NA
MSMEG_0135	NA
MSMEG_0136	NA
MSMEG_0137	NA
MSMEG_0138	NA
MSMEG_0139	NA
MSMEG_0140	101
MSMEG_0141	NA
MSMEG_0142	111
MSMEG_0143	283
MSMEG_0144	NA
MSMEG_0145	258
MSMEG_0146	0
MSMEG_0147	NA
MSMEG_0148	0
MSMEG_0149	NA
MSMEG_0150	NA
MSMEG_0151	NA
MSMEG_0152	84
MSMEG_0153	84
MSMEG_0154	NA
MSMEG_0155	36
MSMEG_0156	NA
MSMEG_0157	NA
MSMEG_0158	NA
MSMEG_0159	NA
MSMEG_0160	NA
MSMEG_0161	NA
MSMEG_0162	NA
MSMEG_0163	NA
MSMEG_0164	NA
MSMEG_0165	NA
MSMEG_0166	28
MSMEG_0167	121
MSMEG_0168	95
MSMEG_0169	NA
MSMEG_0170	NA
MSMEG_0171	NA
MSMEG_0172	NA
MSMEG_0173	360
MSMEG_0174	367
MSMEG_0175	NA
MSMEG_0176	NA
MSMEG_0177	NA
MSMEG_0178	NA
MSMEG_0179	29
MSMEG_0180	0
MSMEG_0181	29
MSMEG_0182	NA
MSMEG_0183	NA
MSMEG_0184	NA
MSMEG_0185	NA
MSMEG_0186	46
MSMEG_0187	NA
MSMEG_0188	0
MSMEG_0189	NA
MSMEG_0190	NA
MSMEG_0191	100
MSMEG_0192	NA
MSMEG_0193	NA
MSMEG_0194	40
MSMEG_0195	456
MSMEG_0196	NA
MSMEG_0197	NA
MSMEG_0198	NA
MSMEG_0200	NA
MSMEG_0201	NA
MSMEG_0202	NA
MSMEG_0203	107
MSMEG_0204	NA
MSMEG_0205	NA
MSMEG_0206	11
MSMEG_0207	NA
MSMEG_0208	40
MSMEG_0209	NA
MSMEG_0210	358
MSMEG_0211	NA
MSMEG_0212	0
MSMEG_0213	0
MSMEG_0214	NA
MSMEG_0215	0
MSMEG_0216	NA
MSMEG_0217	NA
MSMEG_0218	30
MSMEG_0219	NA
MSMEG_0220	NA
MSMEG_0221	NA
MSMEG_0222	38
MSMEG_0223	NA
MSMEG_0224	0
MSMEG_0225	NA
MSMEG_0226	140
MSMEG_0227	81
MSMEG_0228	11
MSMEG_0229	0
MSMEG_0230	0
MSMEG_0231	0
MSMEG_0232	3
MSMEG_0233	22
MSMEG_0234	0
MSMEG_0235	0
MSMEG_0236	NA
MSMEG_0237	NA
MSMEG_0238	NA
MSMEG_0239	0
MSMEG_0240	175
MSMEG_0241	69
MSMEG_0242	214
MSMEG_0243	83
MSMEG_0244	NA
MSMEG_0245	142
MSMEG_0246	NA
MSMEG_0247	NA
MSMEG_0248	0
MSMEG_0249	NA
MSMEG_0250	457
MSMEG_0251	NA
MSMEG_0252	0
MSMEG_0253	97
MSMEG_0254	10
MSMEG_0255	65
MSMEG_0256	NA
MSMEG_0257	0
MSMEG_0258	NA
MSMEG_0259	NA
MSMEG_0260	NA
MSMEG_0261	0
MSMEG_0262	NA
MSMEG_0263	NA
MSMEG_0264	186
MSMEG_0265	NA
MSMEG_0266	NA
MSMEG_0267	NA
MSMEG_0268	27
MSMEG_0269	NA
MSMEG_0270	116
MSMEG_0271	NA
MSMEG_0272	NA
MSMEG_0273	NA
MSMEG_0274	NA
MSMEG_0275	NA
MSMEG_0276	NA
MSMEG_0277	NA
MSMEG_0278	NA
MSMEG_0279	NA
MSMEG_0280	NA
MSMEG_0281	NA
MSMEG_0282	68
MSMEG_0283	NA
MSMEG_0284	NA
MSMEG_0285	54
MSMEG_0286	NA
MSMEG_0287	0
MSMEG_0288	NA
MSMEG_0289	0
MSMEG_0290	152
MSMEG_0291	NA
MSMEG_0292	NA
MSMEG_0293	NA
MSMEG_0294	NA
MSMEG_0295	NA
MSMEG_0296	21
MSMEG_0297	NA
MSMEG_0298	NA
MSMEG_0299	65
MSMEG_0300	126
MSMEG_0301	0
MSMEG_0302	NA
MSMEG_0303	16
MSMEG_0304	NA
MSMEG_0305	34
MSMEG_0306	NA
MSMEG_0307	NA
MSMEG_0308	NA
MSMEG_0309	35
MSMEG_0311	1
MSMEG_0312	NA
MSMEG_0313	NA
MSMEG_0314	84
MSMEG_0315	NA
MSMEG_0316	NA
MSMEG_0317	58
MSMEG_0318	NA
MSMEG_0319	0
MSMEG_0320	NA
MSMEG_0321	44
MSMEG_0323	NA
MSMEG_0324	NA
MSMEG_0325	NA
MSMEG_0326	NA
MSMEG_0327	NA
MSMEG_0328	NA
MSMEG_0329	NA
MSMEG_0330	NA
MSMEG_0331	28
MSMEG_0332	NA
MSMEG_0333	NA
MSMEG_0334	NA
MSMEG_0335	NA
MSMEG_0336	NA
MSMEG_0337	NA
MSMEG_0338	NA
MSMEG_0339	NA
MSMEG_0340	NA
MSMEG_0341	124
MSMEG_0342	NA
MSMEG_0343	2
MSMEG_0344	NA
MSMEG_0345	NA
MSMEG_0346	NA
MSMEG_0347	NA
MSMEG_0348	146
MSMEG_0349	NA
MSMEG_0350	NA
MSMEG_0351	NA
MSMEG_0352	NA
MSMEG_0353	NA
MSMEG_0354	NA
MSMEG_0355	NA
MSMEG_0356	0
MSMEG_0357	NA
MSMEG_0358	29
MSMEG_0359	178
MSMEG_0360	0
MSMEG_0361	0
MSMEG_0362	NA
MSMEG_0363	8
MSMEG_0364	0
MSMEG_0365	NA
MSMEG_0366	41
MSMEG_0367	0
MSMEG_0368	32
MSMEG_0369	NA
MSMEG_0370	NA
MSMEG_0371	NA
MSMEG_0372	34
MSMEG_0373	0
MSMEG_0374	NA
MSMEG_0375	NA
MSMEG_0376	37
MSMEG_0377	NA
MSMEG_0378	NA
MSMEG_0379	NA
MSMEG_0380	98
MSMEG_0381	68
MSMEG_0382	434
MSMEG_0383	122
MSMEG_0384	84
MSMEG_0385	NA
MSMEG_0386	3
MSMEG_0387	139
MSMEG_0388	116
MSMEG_0389	NA
MSMEG_0390	NA
MSMEG_0391	0
MSMEG_0392	150
MSMEG_0393	0
MSMEG_0394	0
MSMEG_0395	NA
MSMEG_0396	NA
MSMEG_0397	NA
MSMEG_0398	135
MSMEG_0399	81
MSMEG_0400	NA
MSMEG_0401	NA
MSMEG_0402	307
MSMEG_0403	NA
MSMEG_0404	14
MSMEG_0405	NA
MSMEG_0406	84
MSMEG_0407	0
MSMEG_0408	79
MSMEG_0409	59
MSMEG_0410	492
MSMEG_0411	61
MSMEG_0412	28
MSMEG_0413	3
MSMEG_0414	NA
MSMEG_0415	3
MSMEG_0416	32
MSMEG_0417	NA
MSMEG_0418	NA
MSMEG_0419	307
MSMEG_0420	26
MSMEG_0421	NA
MSMEG_0422	38
MSMEG_0423	0
MSMEG_0424	NA
MSMEG_0425	NA
MSMEG_0426	NA
MSMEG_0427	NA
MSMEG_0428	233
MSMEG_0429	91
MSMEG_0430	NA
MSMEG_0431	NA
MSMEG_0432	NA
MSMEG_0433	282
MSMEG_0434	0
MSMEG_0435	NA
MSMEG_0436	0
MSMEG_0437	0
MSMEG_0438	0
MSMEG_0439	NA
MSMEG_0440	NA
MSMEG_0441	0
MSMEG_0442	NA
MSMEG_0443	23
MSMEG_0444	NA
MSMEG_0445	NA
MSMEG_0446	NA
MSMEG_0447	43
MSMEG_0448	0
MSMEG_0449	37
MSMEG_0450	317
MSMEG_0451	31
MSMEG_0452	NA
MSMEG_0453	29
MSMEG_0454	NA
MSMEG_0455	132
MSMEG_0456	NA
MSMEG_0457	34
