 	adja_AA_5pUTR	adja_AC_5pUTR	adja_AG_5pUTR	adja_AU_5pUTR	adja_CA_5pUTR	adja_CC_5pUTR	adja_CG_5pUTR	adja_CU_5pUTR	adja_GA_5pUTR	adja_GC_5pUTR	adja_GG_5pUTR	adja_GU_5pUTR	adja_UA_5pUTR	adja_UC_5pUTR	adja_UG_5pUTR	adja_UU_5pUTR
MSMEG_0001	0.0192	0.0385	0.0577	0.0577	0.0385	0.0288	0.0865	0.0577	0.0865	0.0962	0.1154	0.0673	0.0288	0.0577	0.0962	0.0673
MSMEG_0002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0005	0.0357	0.0714	0.0714	0.0179	0.0714	0.1429	0.0893	0.0536	0.0893	0.0714	0.0714	0.0714	0.0	0.0893	0.0536	0.0
MSMEG_0006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0007	0.035	0.0769	0.0699	0.0315	0.0629	0.0839	0.1364	0.035	0.1014	0.0944	0.0734	0.0594	0.0105	0.0629	0.0524	0.014
MSMEG_0009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0015	0.12	0.16	0.08	0.04	0.16	0.0	0.08	0.0	0.08	0.04	0.08	0.08	0.0	0.04	0.04	0.0
MSMEG_0016	0.0127	0.1013	0.0759	0.0127	0.0759	0.0886	0.1266	0.0253	0.0633	0.0886	0.1013	0.0759	0.0506	0.038	0.0253	0.038
MSMEG_0017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0020	0.0294	0.0784	0.0686	0.049	0.0882	0.098	0.1176	0.0392	0.0784	0.098	0.0882	0.0294	0.0294	0.0686	0.0196	0.0196
MSMEG_0021	0.0781	0.0781	0.0312	0.0156	0.0469	0.0312	0.0938	0.0625	0.0625	0.1094	0.1875	0.0625	0.0156	0.0156	0.1094	0.0
MSMEG_0022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0023	0.0645	0.0323	0.1613	0.0	0.0968	0.0323	0.0968	0.0	0.0645	0.0968	0.0323	0.1613	0.0323	0.0645	0.0645	0.0
MSMEG_0024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0026	0.0377	0.0755	0.0189	0.0377	0.0566	0.0943	0.1321	0.0566	0.0566	0.0755	0.0189	0.0943	0.0189	0.1132	0.0566	0.0566
MSMEG_0027	0.0851	0.0213	0.1702	0.0213	0.0213	0.0638	0.0426	0.0851	0.1064	0.0851	0.0213	0.0638	0.0638	0.0426	0.0638	0.0426
MSMEG_0028	0.0142	0.0755	0.0519	0.0472	0.0708	0.1132	0.1557	0.033	0.0943	0.1179	0.0472	0.0425	0.0094	0.066	0.0519	0.0094
MSMEG_0029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0030	0.0299	0.0532	0.0598	0.0299	0.0664	0.0997	0.1495	0.0199	0.0698	0.1329	0.1196	0.0498	0.01	0.0498	0.0399	0.0199
MSMEG_0031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0032	0.0198	0.0635	0.0159	0.0119	0.0476	0.2222	0.1905	0.0238	0.0437	0.1429	0.0873	0.0476	0.0	0.0556	0.0278	0.0
MSMEG_0033	0.0492	0.0656	0.0902	0.0246	0.0738	0.0656	0.123	0.0246	0.082	0.1311	0.0902	0.0492	0.0246	0.0246	0.0492	0.0328
MSMEG_0034	0.0	0.1321	0.0377	0.0189	0.0377	0.0943	0.1509	0.0566	0.1132	0.0755	0.1321	0.0377	0.0377	0.0377	0.0377	0.0
MSMEG_0035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0036	0.0478	0.0717	0.0341	0.0273	0.0444	0.1092	0.1229	0.0717	0.0819	0.1024	0.058	0.0444	0.0068	0.0648	0.0717	0.041
MSMEG_0039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0044	0.0	0.0851	0.0426	0.0	0.0851	0.0851	0.1383	0.0532	0.0319	0.1596	0.117	0.0532	0.0106	0.0319	0.0638	0.0426
MSMEG_0045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0046	0.0308	0.0462	0.0462	0.0154	0.0462	0.0462	0.1538	0.0769	0.0462	0.1846	0.1846	0.0	0.0154	0.0462	0.0308	0.0308
MSMEG_0047	0.0	0.0755	0.1132	0.0189	0.0377	0.0566	0.0755	0.0566	0.1509	0.0566	0.1132	0.0755	0.0	0.0377	0.0943	0.0377
MSMEG_0048	0.0	0.0455	0.1818	0.0455	0.0455	0.0455	0.0455	0.0455	0.1818	0.1364	0.0455	0.0455	0.0	0.0	0.1364	0.0
MSMEG_0049	0.015	0.0698	0.0449	0.0324	0.0599	0.0973	0.1596	0.0574	0.0723	0.1322	0.0673	0.0399	0.015	0.0748	0.0399	0.0224
MSMEG_0050	0.0417	0.0685	0.0238	0.0327	0.0536	0.0923	0.1518	0.0417	0.0476	0.1101	0.119	0.0685	0.0208	0.0714	0.0506	0.006
MSMEG_0051	0.119	0.1667	0.0952	0.0	0.1429	0.0476	0.0952	0.0238	0.0476	0.0952	0.0476	0.0476	0.0476	0.0238	0.0	0.0
MSMEG_0052	0.0333	0.0667	0.0833	0.05	0.1167	0.1333	0.0833	0.0167	0.0833	0.0833	0.1	0.0333	0.0	0.0667	0.0333	0.0167
MSMEG_0053	0.0	0.0	0.0952	0.0238	0.0	0.0238	0.0714	0.0714	0.0952	0.0	0.0714	0.1429	0.0238	0.1667	0.0476	0.1667
MSMEG_0054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0055	0.0	0.0556	0.1111	0.0556	0.0556	0.0556	0.0556	0.0	0.1111	0.1111	0.3333	0.0	0.0556	0.0	0.0	0.0
MSMEG_0056	0.0429	0.0	0.0429	0.0714	0.0143	0.0571	0.1286	0.0143	0.0857	0.0857	0.2	0.0714	0.0143	0.0857	0.0571	0.0286
MSMEG_0057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0060	0.0283	0.0755	0.0849	0.0377	0.0755	0.0283	0.1415	0.0377	0.1038	0.0943	0.0755	0.0566	0.0189	0.0849	0.0377	0.0189
MSMEG_0061	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.5	0.0	0.0	0.0	0.1	0.0
MSMEG_0062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0067	0.037	0.037	0.0741	0.037	0.0	0.1111	0.0	0.1111	0.0741	0.037	0.1111	0.0741	0.037	0.0741	0.1111	0.0741
MSMEG_0068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0069	0.0135	0.027	0.0946	0.0541	0.0676	0.0946	0.0676	0.0	0.1081	0.0811	0.1351	0.0946	0.0	0.027	0.1081	0.027
MSMEG_0070	0.0456	0.0651	0.0629	0.0651	0.0694	0.0672	0.0911	0.0434	0.0824	0.0911	0.0564	0.0521	0.0412	0.0499	0.0694	0.0477
MSMEG_0071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0076	0.0168	0.0504	0.042	0.0588	0.042	0.042	0.1176	0.042	0.0756	0.084	0.1429	0.0672	0.0336	0.0672	0.0588	0.0588
MSMEG_0077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0078	0.0442	0.105	0.0718	0.0331	0.0884	0.0331	0.0773	0.0608	0.0829	0.0829	0.105	0.0387	0.0387	0.0387	0.0552	0.0442
MSMEG_0079	0.0531	0.0735	0.0653	0.0204	0.0653	0.0694	0.1388	0.049	0.0816	0.1224	0.0816	0.0408	0.0163	0.0531	0.0408	0.0286
MSMEG_0080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0083	0.0128	0.0256	0.0385	0.0385	0.0385	0.0513	0.0897	0.0641	0.0641	0.1026	0.1795	0.0641	0.0	0.0641	0.1026	0.0641
MSMEG_0084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0087	0.0976	0.0732	0.0732	0.0488	0.122	0.0976	0.0488	0.0244	0.0732	0.0976	0.0732	0.0244	0.0	0.0488	0.0488	0.0488
MSMEG_0088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0095	0.0	0.0488	0.0488	0.0488	0.0	0.0732	0.1463	0.0732	0.1463	0.1707	0.0976	0.0244	0.0	0.0	0.122	0.0
MSMEG_0096	0.05	0.1	0.125	0.025	0.125	0.175	0.025	0.025	0.15	0.025	0.05	0.025	0.0	0.05	0.025	0.025
MSMEG_0097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0101	0.0455	0.0455	0.0	0.0	0.0455	0.0	0.0909	0.0	0.0455	0.0	0.2727	0.2273	0.0	0.0909	0.1364	0.0
MSMEG_0102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0107	0.0	0.0	0.0	0.3333	0.0	0.0	0.0	0.0	0.3333	0.0	0.0	0.0	0.0	0.3333	0.0	0.0
MSMEG_0108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0109	0.0308	0.0617	0.0176	0.0529	0.0837	0.0705	0.1233	0.0617	0.0396	0.1145	0.0617	0.0617	0.0088	0.0925	0.0749	0.0441
MSMEG_0110	0.0385	0.1154	0.0385	0.0385	0.0769	0.1538	0.1154	0.0	0.1154	0.0769	0.0385	0.0385	0.0	0.0	0.0769	0.0769
MSMEG_0111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0117	0.0357	0.0714	0.0714	0.0714	0.0714	0.0	0.0	0.1071	0.0	0.0	0.1429	0.0714	0.1071	0.1429	0.0	0.1071
MSMEG_0118	0.0	0.0	0.1667	0.0556	0.0556	0.0	0.0	0.0	0.1111	0.0556	0.2222	0.0556	0.0556	0.0	0.0556	0.1667
MSMEG_0119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0120	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSMEG_0121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0130	0.027	0.1081	0.0541	0.0676	0.0946	0.1892	0.0946	0.0135	0.1081	0.0541	0.0676	0.0135	0.027	0.0541	0.0135	0.0135
MSMEG_0131	0.08	0.0933	0.0667	0.0667	0.1333	0.0533	0.0667	0.0267	0.0667	0.08	0.0133	0.0533	0.0267	0.0533	0.0667	0.0533
MSMEG_0132	0.0299	0.0821	0.0672	0.0299	0.0672	0.0522	0.0896	0.0448	0.0821	0.0597	0.1791	0.0672	0.0299	0.0597	0.0448	0.0149
MSMEG_0133	0.0164	0.0656	0.0492	0.0328	0.0984	0.0328	0.0984	0.0328	0.0492	0.0656	0.0984	0.1311	0.0	0.0984	0.082	0.0492
MSMEG_0134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0140	0.04	0.09	0.07	0.02	0.07	0.12	0.11	0.03	0.08	0.08	0.1	0.07	0.03	0.04	0.05	0.0
MSMEG_0141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0142	0.0636	0.0909	0.0545	0.0091	0.0818	0.0818	0.1091	0.0636	0.0818	0.0818	0.0818	0.0545	0.0	0.0727	0.0545	0.0182
MSMEG_0143	0.0638	0.0887	0.0674	0.0319	0.1028	0.0957	0.117	0.0177	0.0851	0.0851	0.0745	0.0461	0.0035	0.0603	0.0319	0.0284
MSMEG_0144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0145	0.0311	0.0739	0.0584	0.0389	0.0817	0.0661	0.1167	0.0545	0.07	0.0934	0.0623	0.0739	0.0195	0.0817	0.0661	0.0117
MSMEG_0146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0152	0.0843	0.0602	0.0843	0.0241	0.0723	0.1205	0.0964	0.0241	0.0964	0.0964	0.0602	0.0361	0.0	0.0482	0.0361	0.0602
MSMEG_0153	0.0723	0.0482	0.0723	0.0964	0.0602	0.0482	0.0482	0.0482	0.0964	0.0723	0.1325	0.0241	0.0602	0.0361	0.0602	0.0241
MSMEG_0154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0155	0.1714	0.0286	0.0571	0.0571	0.0286	0.1143	0.1143	0.0	0.0571	0.1143	0.0286	0.0857	0.0571	0.0286	0.0571	0.0
MSMEG_0156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0166	0.0741	0.037	0.1852	0.0	0.0741	0.1481	0.037	0.0741	0.0741	0.1481	0.0741	0.0	0.037	0.037	0.0	0.0
MSMEG_0167	0.025	0.05	0.0417	0.0833	0.0667	0.125	0.0917	0.0333	0.0833	0.0667	0.05	0.0667	0.025	0.0833	0.075	0.0333
MSMEG_0168	0.0319	0.0319	0.0638	0.0638	0.0319	0.0745	0.0957	0.0319	0.0745	0.0957	0.1383	0.0532	0.0532	0.0319	0.0638	0.0638
MSMEG_0169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0173	0.0111	0.0585	0.0167	0.0223	0.0474	0.1086	0.1421	0.0864	0.0418	0.1309	0.0919	0.0585	0.0084	0.0864	0.0724	0.0167
MSMEG_0174	0.0273	0.0765	0.0519	0.0519	0.0847	0.1175	0.1093	0.0273	0.0847	0.0792	0.0683	0.0519	0.0137	0.0656	0.0519	0.0383
MSMEG_0175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0179	0.0714	0.0714	0.1071	0.0	0.0357	0.1786	0.0714	0.0714	0.1071	0.1429	0.0714	0.0	0.0	0.0	0.0714	0.0
MSMEG_0180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSMEG_0181	0.0714	0.1071	0.1071	0.0357	0.0714	0.0	0.1429	0.0357	0.1071	0.1071	0.0357	0.0357	0.0357	0.0357	0.0357	0.0357
