 	CDS_MFE_50_25nt_CDS	CDS_MFE_50_25nt_5p	CDS_MFE_50_25nt_mid	CDS_MFE_50_25nt_3p
MSMEG_0001	-17.0809	-17.75	-18.0938	-15.2867
MSMEG_0002	-15.8486	-16.2583	-15.4917	-15.7909
MSMEG_0003	-17.0587	-17.1438	-17.8867	-16.14
MSMEG_0004	-18.9043	-20.825	-18.1	-17.6286
MSMEG_0005	-13.5074	-14.6889	-12.8036	-13.0385
MSMEG_0006	-14.6614	-15.4941	-13.7647	-14.7273
MSMEG_0007	-16.9968	-18.1727	-17.33	-15.37
MSMEG_0009	-17.2	-19.1	-13.4	-13.4
MSMEG_0011	-15.6188	-15.6182	-17.2091	-13.87
MSMEG_0012	-17.1341	-16.4	-16.5286	-18.5769
MSMEG_0014	-13.5842	-13.0615	-13.4769	-14.2667
MSMEG_0015	-16.3727	-16.4167	-14.8	-18.05
MSMEG_0016	-15.94	-13.925	-19.5	-12.85
MSMEG_0017	-17.0232	-17.5435	-17.5208	-15.9364
MSMEG_0018	-17.0743	-18.0292	-16.0167	-17.1864
MSMEG_0019	-16.6775	-16.9076	-16.4402	-16.6847
MSMEG_0020	-13.9865	-14.2385	-13.5923	-14.1545
MSMEG_0021	-12.8438	-13.1667	-12.6	-12.7
MSMEG_0022	-15.5577	-12.6944	-17.0222	-17.1312
MSMEG_0023	-17.4312	-15.5	-18.08	-19.1
MSMEG_0024	-14.0143	-12.5857	-15.2	-14.1
MSMEG_0025	-12.825	-13.1	-13.72	-11.6
MSMEG_0026	-12.2	-14.825	-11.675	-9.4
MSMEG_0027	-15.4828	-16.15	-15.17	-15.0889
MSMEG_0028	-17.2427	-16.704	-17.6	-17.4167
MSMEG_0029	-17.1654	-16.9222	-17.5	-17.0625
MSMEG_0030	-17.492	-17.8588	-18.2235	-16.325
MSMEG_0031	-16.0322	-17.3	-16.52	-14.1842
MSMEG_0032	-15.6816	-16.9211	-14.1579	-15.9817
MSMEG_0033	-16.459	-16.6619	-16.355	-16.35
MSMEG_0034	-16.1778	-18.2571	-18.5333	-10.44
MSMEG_0035	-17.2378	-15.9938	-18.8333	-16.95
MSMEG_0036	-14.05	-17.8	-14.2	-6.4
MSMEG_0039	-16.7143	-14.94	-16.62	-19.05
MSMEG_0040	-12.4417	-15.82	-11.55	-8.0
MSMEG_0041	-19.0947	-19.2	-21.5167	-16.55
MSMEG_0042	-15.2545	-16.9	-14.7571	-13.8714
MSMEG_0043	-14.5194	-14.6091	-16.36	-12.58
MSMEG_0044	-16.5795	-14.025	-18.4821	-17.2556
MSMEG_0045	-18.6755	-18.1242	-20.4091	-17.4562
MSMEG_0046	-16.0174	-15.7875	-15.0267	-17.2533
MSMEG_0047	-16.473	-17.7923	-17.0917	-14.425
MSMEG_0048	-16.22	-15.7429	-17.7429	-15.0
MSMEG_0049	-16.6895	-15.6077	-17.5846	-16.8917
MSMEG_0050	-14.49	-15.1	-13.825	-14.6
MSMEG_0051	-17.4	-16.375	-21.075	-13.8667
MSMEG_0052	-16.8968	-18.0	-16.08	-16.5
MSMEG_0053	-15.2109	-15.3842	-15.1333	-15.1056
MSMEG_0054	-12.2023	-15.6933	-11.6714	-8.9929
MSMEG_0055	-15.5524	-13.9952	-16.7	-15.925
MSMEG_0056	-18.0917	-18.72	-20.35	-14.0333
MSMEG_0057	-16.1515	-16.6417	-16.9273	-14.71
MSMEG_0058	-15.1238	-15.5857	-17.9625	-10.8
MSMEG_0059	-16.4059	-17.413	-15.9304	-15.85
MSMEG_0060	-15.8702	-16.21	-16.5158	-14.8111
MSMEG_0061	-14.9966	-15.6233	-16.3033	-12.9966
MSMEG_0062	-14.9859	-15.7333	-13.7542	-15.4913
