 	MFE_unfold
MSMEG_0001	7.0000
MSMEG_0002	NA
MSMEG_0003	NA
MSMEG_0004	NA
MSMEG_0005	7.1000
MSMEG_0006	NA
MSMEG_0007	8.8000
MSMEG_0009	NA
MSMEG_0011	NA
MSMEG_0012	NA
MSMEG_0014	NA
MSMEG_0015	6.3000
MSMEG_0016	13.0000
MSMEG_0017	NA
MSMEG_0018	NA
MSMEG_0019	NA
MSMEG_0020	17.4000
MSMEG_0021	2.6000
MSMEG_0022	NA
MSMEG_0023	6.4000
MSMEG_0024	2.8000
MSMEG_0025	NA
MSMEG_0026	6.3000
MSMEG_0027	9.6000
MSMEG_0028	3.7000
MSMEG_0029	7.7000
MSMEG_0030	16.4000
MSMEG_0031	NA
MSMEG_0032	12.6600
MSMEG_0033	12.2600
MSMEG_0034	14.1000
MSMEG_0035	NA
MSMEG_0036	7.9000
MSMEG_0039	NA
MSMEG_0040	NA
MSMEG_0041	NA
MSMEG_0042	0.4000
MSMEG_0043	NA
MSMEG_0044	10.0000
MSMEG_0045	NA
MSMEG_0046	18.7000
MSMEG_0047	10.3000
MSMEG_0048	11.7000
MSMEG_0049	10.5000
MSMEG_0050	20.0000
MSMEG_0051	5.7000
MSMEG_0052	9.4000
MSMEG_0053	10.1000
MSMEG_0054	NA
MSMEG_0055	7.5000
MSMEG_0056	12.5000
MSMEG_0057	NA
MSMEG_0058	NA
MSMEG_0059	NA
MSMEG_0060	13.9000
MSMEG_0061	NA
MSMEG_0062	NA
MSMEG_0063	NA
MSMEG_0064	NA
MSMEG_0065	NA
MSMEG_0066	NA
MSMEG_0067	10.1000
MSMEG_0068	NA
MSMEG_0069	12.4000
MSMEG_0070	11.0000
MSMEG_0071	NA
MSMEG_0072	NA
MSMEG_0073	12.2000
MSMEG_0074	12.2000
MSMEG_0075	NA
MSMEG_0076	9.2000
MSMEG_0077	NA
MSMEG_0078	12.1000
MSMEG_0079	9.4900
MSMEG_0080	NA
MSMEG_0081	NA
MSMEG_0082	NA
MSMEG_0083	11.8000
MSMEG_0084	NA
MSMEG_0085	NA
MSMEG_0086	NA
MSMEG_0087	7.6000
MSMEG_0088	NA
MSMEG_0089	NA
MSMEG_0090	NA
MSMEG_0091	NA
MSMEG_0092	11.7000
MSMEG_0093	NA
MSMEG_0094	NA
MSMEG_0095	13.1000
MSMEG_0096	6.2000
MSMEG_0097	NA
MSMEG_0098	7.2000
MSMEG_0099	NA
MSMEG_0100	NA
MSMEG_0101	7.7000
MSMEG_0102	NA
MSMEG_0103	NA
MSMEG_0104	12.3000
MSMEG_0105	NA
MSMEG_0106	NA
MSMEG_0107	NA
MSMEG_0108	NA
MSMEG_0109	6.7000
MSMEG_0110	6.3000
MSMEG_0111	0.3000
MSMEG_0112	NA
MSMEG_0113	NA
MSMEG_0114	NA
MSMEG_0115	NA
MSMEG_0116	NA
MSMEG_0117	7.5000
MSMEG_0118	10.2000
