 	Nucl_A_5pUTR	Nucl_T_5pUTR	Nucl_G_5pUTR	Nucl_C_5pUTR
MSMEG_0001	0.1714	0.2476	0.3619	0.219
MSMEG_0002	NA	NA	NA	NA
MSMEG_0003	NA	NA	NA	NA
MSMEG_0004	NA	NA	NA	NA
MSMEG_0005	0.193	0.1404	0.2982	0.3684
MSMEG_0006	NA	NA	NA	NA
MSMEG_0007	0.2125	0.1394	0.331	0.3171
MSMEG_0009	NA	NA	NA	NA
MSMEG_0011	NA	NA	NA	NA
MSMEG_0012	NA	NA	NA	NA
MSMEG_0014	NA	NA	NA	NA
MSMEG_0015	0.3846	0.1154	0.2692	0.2308
MSMEG_0016	0.2	0.15	0.3375	0.3125
MSMEG_0017	NA	NA	NA	NA
MSMEG_0018	NA	NA	NA	NA
MSMEG_0019	NA	NA	NA	NA
MSMEG_0020	0.2233	0.1359	0.2913	0.3495
MSMEG_0021	0.2	0.1385	0.4308	0.2308
MSMEG_0022	NA	NA	NA	NA
MSMEG_0023	0.25	0.1562	0.375	0.2188
MSMEG_0024	NA	NA	NA	NA
MSMEG_0025	NA	NA	NA	NA
MSMEG_0026	0.1667	0.2407	0.2407	0.3519
MSMEG_0027	0.2917	0.2083	0.2917	0.2083
MSMEG_0028	0.1878	0.1362	0.3052	0.3709
MSMEG_0029	NA	NA	NA	NA
MSMEG_0030	0.1755	0.1192	0.3709	0.3344
MSMEG_0031	NA	NA	NA	NA
MSMEG_0032	0.1107	0.083	0.3202	0.4862
MSMEG_0033	0.2358	0.1301	0.3496	0.2846
MSMEG_0034	0.1852	0.1111	0.3704	0.3333
MSMEG_0035	NA	NA	NA	NA
MSMEG_0036	0.1837	0.1837	0.2857	0.3469
MSMEG_0039	NA	NA	NA	NA
MSMEG_0040	NA	NA	NA	NA
MSMEG_0041	NA	NA	NA	NA
MSMEG_0042	NA	NA	NA	NA
MSMEG_0043	NA	NA	NA	NA
MSMEG_0044	0.1263	0.1474	0.3684	0.3579
MSMEG_0045	NA	NA	NA	NA
MSMEG_0046	0.1364	0.1212	0.4091	0.3333
MSMEG_0047	0.2037	0.1852	0.3889	0.2222
MSMEG_0048	0.2609	0.1304	0.3913	0.2174
MSMEG_0049	0.1617	0.1517	0.3134	0.3731
MSMEG_0050	0.1662	0.1484	0.3442	0.3412
MSMEG_0051	0.3721	0.0698	0.2326	0.3256
MSMEG_0052	0.2295	0.1148	0.3115	0.3443
MSMEG_0053	0.1163	0.3953	0.3023	0.186
MSMEG_0054	NA	NA	NA	NA
MSMEG_0055	0.2105	0.0526	0.5263	0.2105
MSMEG_0056	0.1549	0.1831	0.4366	0.2254
MSMEG_0057	NA	NA	NA	NA
MSMEG_0058	NA	NA	NA	NA
MSMEG_0059	NA	NA	NA	NA
MSMEG_0060	0.2243	0.1589	0.3364	0.2804
MSMEG_0061	0.0909	0.0909	0.7273	0.0909
MSMEG_0062	NA	NA	NA	NA
MSMEG_0063	NA	NA	NA	NA
MSMEG_0064	NA	NA	NA	NA
MSMEG_0065	NA	NA	NA	NA
MSMEG_0066	NA	NA	NA	NA
MSMEG_0067	0.1786	0.2857	0.2857	0.25
MSMEG_0068	NA	NA	NA	NA
MSMEG_0069	0.1867	0.1733	0.4133	0.2267
MSMEG_0070	0.2381	0.2078	0.2814	0.2727
MSMEG_0071	NA	NA	NA	NA
MSMEG_0072	NA	NA	NA	NA
MSMEG_0073	NA	NA	NA	NA
MSMEG_0074	NA	NA	NA	NA
MSMEG_0075	NA	NA	NA	NA
MSMEG_0076	0.1667	0.225	0.3667	0.2417
MSMEG_0077	NA	NA	NA	NA
MSMEG_0078	0.2527	0.1758	0.3132	0.2582
MSMEG_0079	0.2154	0.1382	0.3252	0.3211
MSMEG_0080	NA	NA	NA	NA
MSMEG_0081	NA	NA	NA	NA
MSMEG_0082	NA	NA	NA	NA
MSMEG_0083	0.1139	0.2278	0.4051	0.2532
MSMEG_0084	NA	NA	NA	NA
MSMEG_0085	NA	NA	NA	NA
MSMEG_0086	NA	NA	NA	NA
MSMEG_0087	0.2857	0.1429	0.2619	0.3095
MSMEG_0088	NA	NA	NA	NA
MSMEG_0089	NA	NA	NA	NA
MSMEG_0090	NA	NA	NA	NA
MSMEG_0091	NA	NA	NA	NA
MSMEG_0092	NA	NA	NA	NA
MSMEG_0093	0	0	1.0	0
