 	fprUTRlast30nt_plusStartCodon_all_StartCodon_UnpairedProb
MSMEG_0001	0.4884
MSMEG_0002	NA
MSMEG_0003	NA
MSMEG_0004	NA
MSMEG_0005	0.1107
MSMEG_0006	NA
MSMEG_0007	0.4524
MSMEG_0009	NA
MSMEG_0011	NA
MSMEG_0012	NA
MSMEG_0014	NA
MSMEG_0015	NA
MSMEG_0016	0.0441
MSMEG_0017	NA
MSMEG_0018	NA
MSMEG_0019	NA
MSMEG_0020	0.9868
MSMEG_0021	0.9970
MSMEG_0022	NA
MSMEG_0023	0.7539
MSMEG_0024	NA
MSMEG_0025	NA
MSMEG_0026	0.9610
MSMEG_0027	0.6505
MSMEG_0028	0.8615
MSMEG_0029	NA
MSMEG_0030	0.9891
MSMEG_0031	NA
MSMEG_0032	0.9922
MSMEG_0033	0.9780
MSMEG_0034	0.8781
MSMEG_0035	NA
MSMEG_0036	0.7992
MSMEG_0039	NA
MSMEG_0040	NA
MSMEG_0041	NA
MSMEG_0042	NA
MSMEG_0043	NA
MSMEG_0044	0.9610
MSMEG_0045	NA
MSMEG_0046	0.9840
MSMEG_0047	0.9403
MSMEG_0048	NA
MSMEG_0049	1.0000
MSMEG_0050	0.9246
MSMEG_0051	0.9913
MSMEG_0052	0.6345
MSMEG_0053	0.2843
MSMEG_0054	NA
MSMEG_0055	NA
MSMEG_0056	0.9095
MSMEG_0057	NA
MSMEG_0058	NA
MSMEG_0059	NA
MSMEG_0060	0.0793
MSMEG_0061	NA
MSMEG_0062	NA
MSMEG_0063	NA
MSMEG_0064	NA
MSMEG_0065	NA
MSMEG_0066	NA
MSMEG_0067	NA
MSMEG_0068	NA
MSMEG_0069	0.3484
MSMEG_0070	0.6984
MSMEG_0071	NA
MSMEG_0072	NA
MSMEG_0073	NA
MSMEG_0074	NA
MSMEG_0075	NA
MSMEG_0076	0.0105
MSMEG_0077	NA
MSMEG_0078	0.1126
MSMEG_0079	0.9425
MSMEG_0080	NA
MSMEG_0081	NA
MSMEG_0082	NA
MSMEG_0083	0.9962
MSMEG_0084	NA
MSMEG_0085	NA
MSMEG_0086	NA
MSMEG_0087	0.9983
MSMEG_0088	NA
MSMEG_0089	NA
MSMEG_0090	NA
MSMEG_0091	NA
MSMEG_0092	NA
MSMEG_0093	NA
MSMEG_0094	NA
MSMEG_0095	0.9332
MSMEG_0096	0.0150
MSMEG_0097	NA
MSMEG_0098	NA
MSMEG_0099	NA
MSMEG_0100	NA
MSMEG_0101	NA
MSMEG_0102	NA
MSMEG_0103	NA
MSMEG_0104	NA
MSMEG_0105	NA
MSMEG_0106	NA
MSMEG_0107	NA
MSMEG_0108	NA
MSMEG_0109	0.8571
MSMEG_0110	NA
MSMEG_0111	NA
MSMEG_0112	NA
MSMEG_0113	NA
MSMEG_0114	NA
MSMEG_0115	NA
MSMEG_0116	NA
MSMEG_0117	NA
MSMEG_0118	NA
MSMEG_0119	NA
MSMEG_0120	NA
MSMEG_0121	NA
MSMEG_0122	NA
MSMEG_0123	NA
MSMEG_0124	NA
MSMEG_0125	NA
MSMEG_0126	NA
MSMEG_0127	NA
MSMEG_0128	NA
MSMEG_0129	NA
MSMEG_0130	0.8549
MSMEG_0131	0.6515
MSMEG_0132	0.9037
MSMEG_0133	0.9191
MSMEG_0134	NA
MSMEG_0135	NA
MSMEG_0136	NA
MSMEG_0137	NA
MSMEG_0138	NA
MSMEG_0139	NA
MSMEG_0140	0.9607
MSMEG_0141	NA
MSMEG_0142	0.8641
MSMEG_0143	0.8631
MSMEG_0144	NA
MSMEG_0145	0.9731
MSMEG_0146	NA
MSMEG_0147	NA
MSMEG_0148	NA
MSMEG_0149	NA
MSMEG_0150	NA
MSMEG_0151	NA
MSMEG_0152	0.9986
MSMEG_0153	0.1405
MSMEG_0154	NA
MSMEG_0155	0.8651
MSMEG_0156	NA
MSMEG_0157	NA
MSMEG_0158	NA
MSMEG_0159	NA
MSMEG_0160	NA
MSMEG_0161	NA
MSMEG_0162	NA
MSMEG_0163	NA
MSMEG_0164	NA
MSMEG_0165	NA
MSMEG_0166	NA
MSMEG_0167	0.9980
MSMEG_0168	0.9653
MSMEG_0169	NA
MSMEG_0170	NA
MSMEG_0171	NA
MSMEG_0172	NA
MSMEG_0173	0.2393
MSMEG_0174	0.1743
MSMEG_0175	NA
MSMEG_0176	NA
MSMEG_0177	NA
MSMEG_0178	NA
MSMEG_0179	NA
MSMEG_0180	NA
MSMEG_0181	NA
MSMEG_0182	NA
MSMEG_0183	NA
MSMEG_0184	NA
MSMEG_0185	NA
MSMEG_0186	0.8777
MSMEG_0187	NA
MSMEG_0188	NA
MSMEG_0189	NA
MSMEG_0190	NA
MSMEG_0191	0.4363
MSMEG_0192	NA
MSMEG_0193	NA
MSMEG_0194	0.3455
MSMEG_0195	0.6340
MSMEG_0196	NA
MSMEG_0197	NA
MSMEG_0198	NA
MSMEG_0200	NA
MSMEG_0201	NA
MSMEG_0202	NA
MSMEG_0203	0.9541
MSMEG_0204	NA
MSMEG_0205	NA
MSMEG_0206	NA
MSMEG_0207	NA
MSMEG_0208	0.7102
MSMEG_0209	NA
MSMEG_0210	0.0013
MSMEG_0211	NA
MSMEG_0212	NA
MSMEG_0213	NA
MSMEG_0214	NA
MSMEG_0215	NA
MSMEG_0216	NA
MSMEG_0217	NA
MSMEG_0218	0.9404
MSMEG_0219	NA
MSMEG_0220	NA
MSMEG_0221	NA
MSMEG_0222	0.1614
MSMEG_0223	NA
MSMEG_0224	NA
MSMEG_0225	NA
MSMEG_0226	0.9764
MSMEG_0227	0.6876
MSMEG_0228	NA
MSMEG_0229	NA
MSMEG_0230	NA
MSMEG_0231	NA
MSMEG_0232	NA
MSMEG_0233	NA
MSMEG_0234	NA
MSMEG_0235	NA
MSMEG_0236	NA
MSMEG_0237	NA
MSMEG_0238	NA
MSMEG_0239	NA
MSMEG_0240	0.8629
MSMEG_0241	0.9051
MSMEG_0242	0.8880
MSMEG_0243	0.0263
MSMEG_0244	NA
MSMEG_0245	0.9512
MSMEG_0246	NA
MSMEG_0247	NA
